date,open,high,low,close,volume
1999-10-04,2399.48,2488.25,2399.48,2486.29,2123178.00,Alphavantage
1999-10-05,2486.29,2526.29,2480.44,2526.29,3039115.00,Alphavantage
1999-10-06,2509.70,2613.10,2506.78,2605.29,4274373.00,Alphavantage
1999-10-07,2623.83,2697.96,2623.83,2683.33,6013413.00,Alphavantage
1999-10-08,2672.76,2728.19,2651.14,2710.64,6755478.00,Alphavantage
1999-10-11,2697.96,2769.16,2697.96,2766.23,4458818.00,Alphavantage
1999-10-12,2745.75,2786.72,2704.30,2760.38,10395642.00,Alphavantage
1999-10-13,2704.78,2771.11,2703.81,2760.38,2952649.00,Alphavantage
1999-10-14,2753.55,2772.09,2696.01,2702.83,4795198.00,Alphavantage
1999-10-15,2656.01,2706.73,2656.01,2669.67,3217476.00,Alphavantage
1999-10-18,2672.11,2695.03,2601.39,2658.94,2422057.00,Alphavantage
1999-10-19,2666.74,2758.43,2663.82,2749.65,4459859.00,Alphavantage
1999-10-20,2750.63,2804.27,2736.00,2793.55,8312736.00,Alphavantage
1999-10-21,2764.28,2812.08,2711.61,2750.63,1874979.00,Alphavantage
1999-10-22,2750.63,2778.91,2717.46,2758.43,2048362.00,Alphavantage
1999-10-25,2768.19,2770.14,2703.81,2733.07,2248495.00,Alphavantage
1999-10-26,2726.89,2770.14,2709.66,2761.36,3337920.00,Alphavantage
1999-10-27,2761.36,2761.36,2664.79,2682.35,3587211.00,Alphavantage
1999-10-28,2683.81,2770.14,2664.79,2723.32,4622172.00,Alphavantage
1999-10-29,2736.00,2771.11,2677.47,2684.30,4977082.00,Alphavantage
1999-11-01,2684.99,2730.14,2678.45,2706.73,2598568.00,Alphavantage
1999-11-02,2705.27,2705.27,2628.70,2640.41,3993315.00,Alphavantage
1999-11-03,2697.96,2697.96,2608.71,2688.20,2454035.00,Alphavantage
1999-11-04,2689.18,2692.10,2657.96,2665.77,2889610.00,Alphavantage
1999-11-05,2687.23,2806.23,2687.23,2748.68,3266294.00,Alphavantage
1999-11-08,2731.12,2776.96,2714.54,2764.28,1530846.00,Alphavantage
1999-11-09,2760.38,2807.20,2756.97,2782.82,4162563.00,Alphavantage
1999-11-10,2789.64,2837.44,2746.73,2822.81,3519982.00,Alphavantage
1999-11-11,2822.81,2861.82,2741.85,2854.02,3561374.00,Alphavantage
1999-11-12,2864.75,2875.48,2779.89,2823.78,1921029.00,Alphavantage
1999-11-15,2828.66,2843.29,2779.89,2814.03,2294079.00,Alphavantage
1999-11-16,2814.95,2826.71,2782.82,2784.77,1499978.00,Alphavantage
1999-11-17,2778.91,2815.98,2719.42,2736.97,4336912.00,Alphavantage
1999-11-18,2742.82,2764.28,2693.08,2723.32,4125197.00,Alphavantage
1999-11-19,2737.95,2760.38,2692.10,2720.39,2614157.00,Alphavantage
1999-11-22,2703.32,2740.87,2678.45,2725.27,1886399.00,Alphavantage
1999-11-23,2735.02,2818.91,2701.86,2808.18,3819517.00,Alphavantage
1999-11-24,2808.18,2877.43,2773.06,2805.25,3318443.00,Alphavantage
1999-11-25,2813.05,2835.49,2791.59,2817.93,2140239.00,Alphavantage
1999-11-26,2821.88,2852.07,2805.25,2846.22,2061182.00,Alphavantage
1999-11-29,2789.64,2871.58,2774.04,2792.57,3349304.00,Alphavantage
