date,open,high,low,close,volume,
2019-01-14,200,200,200,200,0,Fidelity
2019-01-15,200,200,200,200,0,Fidelity
2019-01-16,200,200,200,200,0,Fidelity
2019-01-17,199.6,199.6,199.6,199.6,0,Fidelity
2019-01-18,200.8,200.8,200.8,200.8,0,Fidelity
2019-01-19,200.8,200.8,200.8,200.8,0,Fidelity
2019-01-20,200.8,200.8,200.8,200.8,0,Fidelity
2019-01-21,203.3,203.3,203.3,203.3,0,Fidelity
2019-01-22,201.9,201.9,201.9,201.9,0,Fidelity
2019-01-23,198.7,198.7,198.7,198.7,0,Fidelity
2019-01-24,199.3,199.3,199.3,199.3,0,Fidelity
2019-01-25,199.1,199.1,199.1,199.1,0,Fidelity
2019-01-26,199.1,199.1,199.1,199.1,0,Fidelity
2019-01-27,199.1,199.1,199.1,199.1,0,Fidelity
2019-01-28,199.4,199.4,199.4,199.4,0,Fidelity
2019-01-29,198.7,198.7,198.7,198.7,0,Fidelity
2019-01-30,199.4,199.4,199.4,199.4,0,Fidelity
2019-01-31,201.9,201.9,201.9,201.9,0,Fidelity
2019-02-01,203.6,203.6,203.6,203.6,0,Fidelity
2019-02-02,203.6,203.6,203.6,203.6,0,Fidelity
2019-02-03,203.6,203.6,203.6,203.6,0,Fidelity
2019-02-04,203.7,203.7,203.7,203.7,0,Fidelity
2019-02-05,205.6,205.6,205.6,205.6,0,Fidelity
2019-02-06,207.4,207.4,207.4,207.4,0,Fidelity
2019-02-07,206.7,206.7,206.7,206.7,0,Fidelity
2019-02-08,203.6,203.6,203.6,203.6,0,Fidelity
2019-02-09,203.6,203.6,203.6,203.6,0,Fidelity
2019-02-10,203.6,203.6,203.6,203.6,0,Fidelity
2019-02-11,205,205,205,205,0,Fidelity
2019-02-12,207.3,207.3,207.3,207.3,0,Fidelity
2019-02-13,207.5,207.5,207.5,207.5,0,Fidelity
2019-02-14,209.6,209.6,209.6,209.6,0,Fidelity
2019-02-15,208.8,208.8,208.8,208.8,0,Fidelity
2019-02-16,208.8,208.8,208.8,208.8,0,Fidelity
2019-02-17,208.8,208.8,208.8,208.8,0,Fidelity
2019-02-18,209.5,209.5,209.5,209.5,0,Fidelity
2019-02-19,209.2,209.2,209.2,209.2,0,Fidelity
2019-02-20,208.8,208.8,208.8,208.8,0,Fidelity
2019-02-21,208.9,208.9,208.9,208.9,0,Fidelity
2019-02-22,209,209,209,209,0,Fidelity
2019-02-23,209,209,209,209,0,Fidelity
2019-02-24,209,209,209,209,0,Fidelity
