date,open,high,low,close,volume
2018-10-01,3377.0,3441.0,3362.0,3383.5,0,null
2018-11-01,3425.0,3462.5,3347.5,3357.5,3,null
2018-12-01,3346.5,3348.0,32.639999,32.869999,1274,null
2019-01-01,3312.0,3443.0,3265.0,3437.0,152,null
2019-02-01,3426.0,3503.5,33.389999,34.900002,10,null
2019-03-01,3476.0,3512.0,3401.5,3414.0,0,null
2019-04-01,3449.0,3501.0,3429.5,3501.0,0,null
2019-05-01,3496.5,3525.0,3342.0,3342.0,0,null
2019-06-01,3324.0,3336.0,3259.0,3269.0,0,null
2019-07-01,3288.5,3288.5,3174.5,3190.0,0,null
2019-08-01,3181.0,3181.0,3083.0,3178.0,0,null
2019-09-01,3152.5,3228.5,3146.0,3220.5,0,null
