date,open,high,low,close,volume
2018-10-01,33355.0,33370.0,29992.5,30895.0,122,null
2018-11-01,30637.5,30865.0,29790.0,30555.0,40,null
2018-12-01,31200.0,31300.0,29182.5,29572.5,212,null
2019-01-01,29572.5,31252.5,29572.5,30352.5,0,null
2019-02-01,30840.0,31792.5,30757.5,30875.0,0,null
2019-03-01,31260.0,32595.0,30885.0,31650.0,64,null
2019-04-01,31882.5,33045.0,31882.5,32430.0,1119,null
2019-05-01,32500.0,32500.0,31080.0,31305.0,437,null
2019-06-01,31652.5,33387.5,31652.5,33347.5,21478,null
2019-07-01,33735.0,34257.5,33190.0,33505.0,35,null
2019-08-01,33842.5,33842.5,32178.099609,32862.5,3894,null
2019-09-01,33258.5,34000.0,33090.0,34000.0,109,null
2019-09-11,33420.0,33665.0,33420.0,33780.0,42,null
