date,open,high,low,close,volume
2012-09-25,100.42,100.42,100.40,100.07,1618260.00,Alphavantage
2012-09-26,100.36,100.36,100.36,100.07,38.00,Alphavantage
2012-09-27,100.08,100.08,100.08,100.08,0.00,Alphavantage
2012-09-28,100.07,100.07,100.07,100.07,0.00,Alphavantage
2012-10-01,100.21,100.21,100.21,100.21,0.00,Alphavantage
2012-10-02,100.66,100.66,100.59,100.41,6303.00,Alphavantage
2012-10-03,100.39,100.39,100.39,100.39,0.00,Alphavantage
2012-10-04,101.00,101.00,100.71,100.86,2483.00,Alphavantage
2012-10-05,100.81,100.81,100.81,100.81,0.00,Alphavantage
2012-10-08,100.62,100.62,100.62,100.62,0.00,Alphavantage
2012-10-09,100.65,100.73,100.65,100.55,1267.00,Alphavantage
2012-10-10,100.62,100.62,100.62,100.62,0.00,Alphavantage
2012-10-11,100.75,100.75,100.75,100.75,0.00,Alphavantage
2012-10-12,101.01,101.05,101.01,101.13,16726.00,Alphavantage
2012-10-15,101.20,101.20,101.20,101.20,0.00,Alphavantage
2012-10-16,101.45,101.45,101.45,101.32,4100.00,Alphavantage
2012-10-17,101.57,101.57,101.57,101.57,0.00,Alphavantage
2012-10-18,101.61,101.61,101.32,101.47,3593.00,Alphavantage
2012-10-19,101.29,101.29,101.29,101.29,0.00,Alphavantage
2012-10-22,101.29,101.29,101.29,101.29,0.00,Alphavantage
2012-10-23,100.94,101.00,100.94,100.99,5673.00,Alphavantage
2012-10-24,101.21,101.21,101.21,100.98,383.00,Alphavantage
2012-10-25,101.15,101.15,100.90,100.83,4167.00,Alphavantage
2012-10-26,100.96,100.96,100.96,100.96,0.00,Alphavantage
2012-10-29,100.87,100.87,100.87,101.04,301.00,Alphavantage
2012-10-30,99.99,101.25,99.99,101.33,12047.00,Alphavantage
2012-10-31,101.40,101.40,101.03,101.03,1598.00,Alphavantage
2012-11-01,101.19,101.19,101.19,101.19,0.00,Alphavantage
2012-11-02,101.02,101.02,101.02,100.92,18302.00,Alphavantage
2012-11-05,101.34,101.37,101.34,101.18,424.00,Alphavantage
2012-11-06,100.96,101.01,100.96,100.95,10006.00,Alphavantage
2012-11-07,101.70,101.70,101.70,101.11,35.00,Alphavantage
2012-11-08,100.91,100.91,100.91,100.91,0.00,Alphavantage
2012-11-09,100.63,100.63,100.63,100.83,286.00,Alphavantage
2012-11-12,101.14,101.14,101.14,100.94,690.00,Alphavantage
2012-11-13,101.11,101.11,101.11,100.91,87.00,Alphavantage
2012-11-14,100.84,100.84,100.84,100.84,0.00,Alphavantage
2012-11-15,101.02,101.02,101.02,100.92,1255.00,Alphavantage
2012-11-16,100.75,100.75,100.75,100.75,0.00,Alphavantage
2012-11-19,100.98,100.98,100.81,100.84,12042.00,Alphavantage
2012-11-20,100.97,100.97,100.59,100.79,11363.00,Alphavantage
2012-11-21,100.87,100.88,100.57,100.67,15055.00,Alphavantage
2012-11-22,100.85,100.85,100.85,100.85,0.00,Alphavantage
2012-11-23,101.06,101.06,101.06,101.06,0.00,Alphavantage
2012-11-26,101.02,101.02,101.02,101.22,829.00,Alphavantage
2012-11-27,101.20,101.31,101.20,101.11,836.00,Alphavantage
2012-11-28,101.43,101.50,101.40,101.33,6772.00,Alphavantage
2012-11-29,101.59,101.59,101.56,101.37,464.00,Alphavantage
2012-11-30,101.50,101.50,101.50,101.50,0.00,Alphavantage
2012-12-03,101.53,101.53,101.53,101.53,0.00,Alphavantage
2012-12-04,101.78,101.78,101.78,101.78,0.00,Alphavantage
2012-12-05,102.04,102.04,102.04,101.88,3000.00,Alphavantage
2012-12-06,102.08,102.09,101.99,101.80,15452.00,Alphavantage
2012-12-07,101.62,101.76,101.60,101.60,6353.00,Alphavantage
2012-12-10,101.41,101.41,101.41,101.57,185.00,Alphavantage
2012-12-11,101.81,101.82,101.42,101.59,1560.00,Alphavantage
2012-12-12,101.65,101.65,101.65,101.65,0.00,Alphavantage
2012-12-13,101.96,101.96,101.57,101.77,2159.00,Alphavantage
2012-12-14,101.91,101.91,101.75,101.98,1584.00,Alphavantage
2012-12-17,102.00,102.15,101.78,101.99,8817.00,Alphavantage
2012-12-18,101.93,101.93,101.93,101.93,0.00,Alphavantage
2012-12-19,102.07,102.07,102.07,102.07,0.00,Alphavantage
2012-12-20,101.88,102.33,101.85,101.85,23981.00,Alphavantage
2012-12-21,102.18,102.18,102.18,101.93,190.00,Alphavantage
2012-12-24,102.02,102.02,102.02,102.01,12000.00,Alphavantage
2012-12-27,102.18,102.18,102.10,102.07,490.00,Alphavantage
2012-12-28,102.96,102.96,102.96,102.22,3002.00,Alphavantage
2012-12-31,103.01,103.01,102.89,102.20,7685.00,Alphavantage
2013-01-02,101.68,101.68,101.68,101.81,4438.00,Alphavantage
2013-01-03,101.82,101.82,101.82,101.69,34.00,Alphavantage
2013-01-04,101.17,101.17,101.17,101.17,0.00,Alphavantage
2013-01-07,101.63,101.66,101.63,101.54,2653.00,Alphavantage
2013-01-08,101.64,101.64,101.64,101.64,0.00,Alphavantage
2013-01-09,101.87,101.87,101.42,101.62,20152.00,Alphavantage
2013-01-10,101.90,101.90,101.90,101.87,546.00,Alphavantage
2013-01-11,102.17,102.17,102.17,102.17,0.00,Alphavantage
2013-01-14,102.27,102.27,102.27,102.27,0.00,Alphavantage
2013-01-15,102.43,102.52,102.42,102.28,86481.00,Alphavantage
2013-01-16,102.37,102.37,102.37,102.18,2000.00,Alphavantage
2013-01-17,102.25,102.25,101.82,101.97,1948.00,Alphavantage
2013-01-18,102.08,102.08,102.08,101.85,2193.00,Alphavantage
2013-01-21,101.65,101.65,101.65,101.65,2249.00,Alphavantage
2013-01-22,101.99,102.09,101.67,101.89,8228.00,Alphavantage
2013-01-23,101.90,101.90,101.90,101.97,170.00,Alphavantage
2013-01-24,102.10,102.10,102.04,101.85,2035.00,Alphavantage
2013-01-25,101.56,101.67,101.56,101.71,69.00,Alphavantage
2013-01-28,101.39,101.39,101.39,101.39,0.00,Alphavantage
2013-01-29,101.61,101.61,101.59,101.46,3210.00,Alphavantage
2013-01-30,101.42,101.42,101.42,101.42,0.00,Alphavantage
2013-01-31,101.28,101.28,101.00,101.28,3444.00,Alphavantage
