date,open,high,low,close,volume
2018-10-01,10.9,11.34,9.76,9.9,7816441,null
2018-11-01,9.7,9.76,7.38,7.57,27967792,null
2018-12-01,8.0,8.13,6.62,6.7225,18463589,null
2019-01-01,6.9,8.205,6.63,8.19,10002730,null
2019-02-01,7.985,8.5075,7.6125,8.4075,8042776,null
2019-03-01,8.485,8.8475,8.03,8.7875,13133185,null
2019-04-01,8.84,9.72,8.84,9.3625,6151291,null
2019-05-01,9.2675,9.3525,8.025,8.105,5741023,null
2019-06-01,7.7775,8.72,7.51,8.64875,11709224,null
2019-07-01,8.74,8.88,8.0325,8.5125,6541800,null
2019-08-01,8.4325,8.4425,7.3925,8.0275,6474346,null
2019-09-01,8.05,8.5875,7.75,8.015,3276918,null
2019-09-13,8.0625,8.155,8.0,8.0275,816187,null
