date,open,high,low,close,volume
2011-05-16,76.00,76.83,76.00,75.95,10685.00,Alphavantage
2011-05-17,75.08,75.08,75.08,75.08,0.00,Alphavantage
2011-05-18,76.78,76.78,76.78,76.78,0.00,Alphavantage
2011-05-19,76.95,76.95,76.95,76.95,0.00,Alphavantage
2011-05-20,76.75,76.75,76.75,76.75,0.00,Alphavantage
2011-05-23,75.92,75.92,75.92,75.92,0.00,Alphavantage
2011-05-24,76.60,76.60,76.60,76.60,0.00,Alphavantage
2011-05-25,76.61,76.61,76.61,76.61,0.00,Alphavantage
2011-05-26,75.97,75.97,75.97,75.97,0.00,Alphavantage
2011-05-27,76.44,76.44,76.44,76.44,0.00,Alphavantage
2011-05-31,77.02,77.02,77.02,77.02,0.00,Alphavantage
2011-06-01,76.50,76.50,76.50,76.50,0.00,Alphavantage
2011-06-02,74.79,74.79,74.79,74.79,0.00,Alphavantage
2011-06-03,74.88,74.88,73.75,74.50,21284.00,Alphavantage
2011-06-06,74.34,74.34,74.08,74.47,3908.00,Alphavantage
2011-06-07,74.20,74.20,74.20,73.99,825.00,Alphavantage
2011-06-08,73.69,73.69,73.64,73.30,4182.00,Alphavantage
2011-06-09,73.67,73.67,73.67,73.67,0.00,Alphavantage
2011-06-10,73.44,73.44,73.44,73.44,0.00,Alphavantage
2011-06-13,72.72,72.72,72.72,72.72,0.00,Alphavantage
2011-06-14,73.32,73.32,73.32,73.32,0.00,Alphavantage
2011-06-15,73.27,73.27,73.27,73.27,0.00,Alphavantage
2011-06-16,72.67,72.67,72.67,72.67,0.00,Alphavantage
2011-06-17,72.43,72.43,72.37,72.44,6003.00,Alphavantage
2011-06-20,72.30,72.30,72.30,71.94,855.00,Alphavantage
2011-06-21,73.59,73.59,73.59,73.59,0.00,Alphavantage
2011-06-22,74.42,74.42,74.42,74.42,0.00,Alphavantage
2011-06-23,72.92,72.92,72.92,72.92,0.00,Alphavantage
2011-06-24,73.67,73.67,73.67,73.09,1900.00,Alphavantage
2011-06-27,72.55,72.74,72.55,72.78,5900.00,Alphavantage
2011-06-28,73.97,73.97,73.97,73.97,0.00,Alphavantage
2011-06-29,75.48,75.48,75.48,75.48,0.00,Alphavantage
2011-06-30,76.17,76.17,76.17,76.17,0.00,Alphavantage
2011-07-01,76.92,76.92,76.92,77.01,9155.00,Alphavantage
2011-07-04,77.00,77.00,77.00,76.98,3000.00,Alphavantage
2011-07-05,77.14,77.14,77.14,77.14,0.00,Alphavantage
2011-07-06,77.23,77.23,77.23,77.23,0.00,Alphavantage
2011-07-07,78.06,78.06,78.06,78.06,0.00,Alphavantage
2011-07-08,76.99,76.99,76.99,76.81,3000.00,Alphavantage
2011-07-11,76.94,76.95,76.19,76.28,15006.00,Alphavantage
2011-07-12,76.08,76.08,76.08,76.08,0.00,Alphavantage
