date,open,high,low,close,volume
2011-05-16,59.82,59.82,59.82,58.70,4000.00,Alphavantage
2011-05-17,57.90,57.90,57.90,57.90,0.00,Alphavantage
2011-05-18,59.00,59.00,59.00,59.00,0.00,Alphavantage
2011-05-19,58.01,58.01,58.01,57.98,8000.00,Alphavantage
2011-05-20,57.52,57.52,57.52,57.52,0.00,Alphavantage
2011-05-23,56.93,56.93,56.93,56.93,0.00,Alphavantage
2011-05-24,57.06,57.06,57.06,57.06,0.00,Alphavantage
2011-05-25,57.02,57.02,57.02,57.02,0.00,Alphavantage
2011-05-26,57.19,57.19,57.19,57.19,0.00,Alphavantage
2011-05-27,57.22,57.22,57.22,57.22,0.00,Alphavantage
2011-05-31,57.99,57.99,57.99,57.99,0.00,Alphavantage
2011-06-01,57.84,57.84,57.84,57.84,0.00,Alphavantage
2011-06-02,57.56,57.56,57.56,57.56,0.00,Alphavantage
2011-06-03,57.12,57.12,57.12,57.12,0.00,Alphavantage
2011-06-06,56.90,56.90,56.90,56.90,0.00,Alphavantage
2011-06-07,57.03,57.03,57.03,57.03,0.00,Alphavantage
2011-06-08,57.34,57.34,57.29,57.33,9124.00,Alphavantage
2011-06-09,57.42,57.42,57.42,57.42,0.00,Alphavantage
2011-06-10,57.49,57.49,57.49,57.49,0.00,Alphavantage
2011-06-13,57.16,57.16,57.16,57.16,0.00,Alphavantage
2011-06-14,57.63,57.63,57.63,57.63,0.00,Alphavantage
2011-06-15,57.57,57.57,57.57,57.57,0.00,Alphavantage
2011-06-16,57.59,57.59,57.59,57.59,0.00,Alphavantage
2011-06-17,57.63,57.63,57.63,57.63,0.00,Alphavantage
2011-06-20,57.49,57.49,57.49,57.49,0.00,Alphavantage
2011-06-21,58.27,58.27,58.27,58.27,0.00,Alphavantage
2011-06-22,59.05,59.05,59.05,59.05,0.00,Alphavantage
2011-06-23,58.56,58.56,58.56,58.56,0.00,Alphavantage
2011-06-24,59.48,59.48,59.48,59.48,0.00,Alphavantage
2011-06-27,59.07,59.07,59.07,59.07,0.00,Alphavantage
2011-06-28,59.55,59.55,59.55,59.55,0.00,Alphavantage
2011-06-29,60.11,60.11,60.11,60.24,50.00,Alphavantage
2011-06-30,60.90,60.90,60.90,60.90,0.00,Alphavantage
2011-07-01,61.02,61.02,61.02,61.02,0.00,Alphavantage
2011-07-04,61.31,61.31,61.31,61.31,0.00,Alphavantage
2011-07-05,61.15,61.15,61.15,61.15,0.00,Alphavantage
2011-07-06,61.98,61.98,61.98,61.98,0.00,Alphavantage
2011-07-07,62.13,62.28,62.13,62.40,9005.00,Alphavantage
2011-07-08,61.76,61.76,61.76,61.67,1005.00,Alphavantage
2011-07-11,61.84,61.84,61.84,61.84,0.00,Alphavantage
2011-07-12,62.11,62.11,62.11,62.11,0.00,Alphavantage
2011-07-13,62.56,62.56,62.56,62.56,0.00,Alphavantage
2011-07-14,61.87,61.87,61.87,61.87,0.00,Alphavantage
2011-07-15,61.98,61.98,61.98,61.98,0.00,Alphavantage
2011-07-18,61.48,61.48,61.48,61.48,0.00,Alphavantage
2011-07-19,61.99,61.99,61.99,61.99,0.00,Alphavantage
2011-07-20,62.30,62.30,62.30,62.30,0.00,Alphavantage
2011-07-21,62.34,62.34,62.34,62.34,0.00,Alphavantage
2011-07-22,62.40,62.40,62.40,62.40,0.00,Alphavantage
2011-07-25,62.25,62.25,62.25,62.25,0.00,Alphavantage
2011-07-26,62.12,62.12,62.12,62.12,0.00,Alphavantage
2011-07-27,61.58,61.58,61.58,61.58,0.00,Alphavantage
2011-07-28,61.62,61.62,61.62,61.62,0.00,Alphavantage
2011-07-29,61.03,61.03,61.03,61.03,0.00,Alphavantage
2011-08-01,61.33,61.33,61.33,61.33,0.00,Alphavantage
2011-08-02,61.16,61.16,61.16,61.16,0.00,Alphavantage
2011-08-03,60.39,60.39,60.39,59.90,4000.00,Alphavantage
2011-08-04,57.80,57.80,57.80,57.80,0.00,Alphavantage
2011-08-05,57.47,57.47,57.44,56.76,6668.00,Alphavantage
2011-08-08,56.23,56.23,56.23,56.23,0.00,Alphavantage
2011-08-09,55.83,56.47,55.83,57.05,10668.00,Alphavantage
2011-08-10,55.81,55.81,55.81,55.81,0.00,Alphavantage
2011-08-11,56.66,56.66,56.66,56.66,0.00,Alphavantage
2011-08-12,56.66,56.66,56.66,56.66,0.00,Alphavantage
2011-08-15,56.45,56.45,56.45,56.45,0.00,Alphavantage
2011-08-16,56.33,56.33,56.33,56.33,0.00,Alphavantage
2011-08-17,56.01,56.01,56.01,56.01,0.00,Alphavantage
2011-08-18,54.19,54.19,54.19,54.19,0.00,Alphavantage
2011-08-19,54.30,54.30,54.30,54.30,0.00,Alphavantage
2011-08-22,54.06,54.06,54.06,54.06,0.00,Alphavantage
2011-08-23,54.30,54.30,54.30,54.30,0.00,Alphavantage
2011-08-24,54.25,54.25,54.25,54.25,0.00,Alphavantage
2011-08-25,54.35,54.35,54.35,54.35,0.00,Alphavantage
2011-08-26,55.16,55.16,55.16,55.16,0.00,Alphavantage
2011-08-30,55.50,55.50,55.50,55.81,3020.00,Alphavantage
2011-08-31,56.98,56.98,56.98,56.98,0.00,Alphavantage
2011-09-01,56.63,56.63,56.63,56.94,4000.00,Alphavantage
2011-09-02,56.05,56.15,55.88,55.80,21520.00,Alphavantage
2011-09-05,54.91,54.91,54.91,54.91,0.00,Alphavantage
2011-09-06,54.73,54.78,54.50,54.91,13094.00,Alphavantage
2011-09-07,56.09,56.09,56.09,56.09,0.00,Alphavantage
2011-09-08,55.59,55.59,55.59,55.59,0.00,Alphavantage
2011-09-09,54.81,54.81,54.81,54.81,0.00,Alphavantage
2011-09-12,55.20,55.20,55.09,55.08,4000.00,Alphavantage
2011-09-13,56.09,56.09,56.09,56.09,0.00,Alphavantage
2011-09-14,56.55,56.55,56.55,56.55,0.00,Alphavantage
2011-09-15,56.99,56.99,56.99,56.99,0.00,Alphavantage
2011-09-16,57.38,57.38,57.38,57.38,0.00,Alphavantage
2011-09-19,57.38,57.38,57.38,57.38,0.00,Alphavantage
2011-09-20,57.59,57.59,57.59,57.59,0.00,Alphavantage
2011-09-21,57.55,57.55,57.55,57.70,3020.00,Alphavantage
2011-09-22,56.94,56.94,56.94,56.94,0.00,Alphavantage
