date,open,high,low,close,volume
2018-10-01,17236.0,17272.0,15907.0,16433.0,1845,null
2018-11-01,16342.0,16442.0,16073.0,16146.0,2584,null
2018-12-01,16372.0,16372.0,15252.0,15576.0,6287,null
2019-01-01,15576.0,16150.0,15529.0,16122.0,36,null
2019-02-01,16258.0,16796.0,16258.0,16526.0,1275,null
2019-03-01,16554.0,17198.0,16554.0,17018.0,62,null
2019-04-01,17106.0,17610.0,17106.0,17378.0,4575,null
2019-05-01,17292.0,17318.0,16830.0,16878.0,2048,null
2019-06-01,16937.0,17607.0,16937.0,17567.0,1019,null
2019-07-01,17725.0,18169.0,17701.0,17936.0,7924,null
2019-08-01,17891.0,17891.0,16776.0,17101.0,3453,null
2019-09-01,17341.0,17501.0,17247.0,17501.0,0,null
2019-09-12,17468.0,17468.0,17468.0,17575.0,1019,null
