date,open,high,low,close,volume
2010-09-16,6512.00,6512.00,6512.00,6484.00,50.00,Alphavantage
2010-09-17,6484.00,6484.00,6484.00,6484.00,0.00,Alphavantage
2010-09-20,6526.00,6526.00,6526.00,6549.00,50.00,Alphavantage
2010-09-21,6743.00,6743.00,6743.00,6520.00,1.00,Alphavantage
2010-09-22,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-09-23,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-09-24,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-09-27,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-09-28,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-09-29,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-09-30,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-01,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-04,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-05,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-06,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-07,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-08,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-11,6520.00,6520.00,6520.00,6520.00,0.00,Alphavantage
2010-10-12,6640.00,6640.00,6640.00,6593.00,1037.00,Alphavantage
2010-10-13,6715.00,6715.00,6715.00,6725.00,2330.00,Alphavantage
2010-10-14,6725.00,6725.00,6725.00,6725.00,0.00,Alphavantage
2010-10-15,6725.00,6725.00,6725.00,6725.00,0.00,Alphavantage
2010-10-18,6704.00,6704.00,6704.00,6724.00,50950.00,Alphavantage
2010-10-19,6691.00,6691.00,6691.00,6673.00,180.00,Alphavantage
2010-10-20,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-21,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-22,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-25,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-26,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-27,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-28,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-10-29,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-11-01,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-11-02,6673.00,6673.00,6673.00,6673.00,0.00,Alphavantage
2010-11-03,6750.00,6750.00,6750.00,6741.00,3509.00,Alphavantage
2010-11-04,6861.00,6875.00,6861.00,6872.00,5589.00,Alphavantage
2010-11-05,6872.00,6872.00,6872.00,6872.00,0.00,Alphavantage
