date,open,high,low,close,volume
2008-01-02,3266.00,3269.00,3251.00,3240.00,66576.00,Alphavantage
2008-01-03,3238.00,3244.00,3238.00,3249.00,14736.00,Alphavantage
2008-01-04,3238.00,3238.00,3201.00,3207.00,18406.00,Alphavantage
2008-01-07,3206.00,3213.00,3190.00,3206.00,57303.00,Alphavantage
2008-01-08,3212.00,3231.00,3212.00,3216.00,17574.00,Alphavantage
2008-01-09,3200.00,3213.00,3200.00,3205.00,19191.00,Alphavantage
2008-01-10,3211.00,3219.00,3198.00,3205.00,65479.00,Alphavantage
2008-01-11,3223.00,3223.00,3202.00,3203.00,80741.00,Alphavantage
2008-01-14,3210.00,3247.00,3210.00,3236.00,18669.00,Alphavantage
2008-01-15,3213.00,3213.00,3150.00,3137.00,34101.00,Alphavantage
2008-01-16,3122.00,3122.00,3078.00,3078.00,102326.00,Alphavantage
2008-01-17,3106.00,3106.00,3035.00,3035.00,32141.00,Alphavantage
2008-01-18,3028.00,3034.00,3007.00,3008.00,40153.00,Alphavantage
2008-01-21,2946.00,2946.00,2794.00,2769.00,149551.00,Alphavantage
2008-01-22,2633.00,2794.00,2633.00,2814.00,125324.00,Alphavantage
2008-01-23,2857.00,2865.00,2725.00,2696.00,93764.00,Alphavantage
2008-01-24,2806.00,2851.00,2803.00,2858.00,33182.00,Alphavantage
2008-01-25,2894.00,2894.00,2810.00,2814.00,23542.00,Alphavantage
2008-01-28,2777.00,2817.00,2777.00,2816.00,9363.00,Alphavantage
2008-01-29,2830.00,2852.00,2827.00,2846.00,82609.00,Alphavantage
2008-01-30,2821.00,2838.00,2816.00,2825.00,34081.00,Alphavantage
2008-01-31,2831.00,2832.00,2785.00,2825.00,24172.00,Alphavantage
2008-02-01,2874.00,2920.00,2866.00,2920.00,14485.00,Alphavantage
2008-02-04,2932.00,2932.00,2901.00,2901.00,13076.00,Alphavantage
2008-02-05,2896.00,2896.00,2773.00,2778.00,91238.00,Alphavantage
2008-02-06,2763.00,2813.00,2763.00,2813.00,12419.00,Alphavantage
2008-02-07,2789.00,2807.00,2758.00,2766.00,12473.00,Alphavantage
2008-02-08,2756.00,2762.00,2756.00,2762.00,10057.00,Alphavantage
2008-02-11,2744.00,2761.00,2728.00,2744.00,129553.00,Alphavantage
2008-02-12,2750.00,2813.00,2750.00,2836.00,167982.00,Alphavantage
2008-02-13,2824.00,2824.00,2824.00,2829.00,22661.00,Alphavantage
2008-02-14,2860.00,2860.00,2819.00,2826.00,1836.00,Alphavantage
2008-02-15,2811.00,2811.00,2788.00,2788.00,2932.00,Alphavantage
2008-02-18,2842.00,2854.00,2842.00,2852.00,1392.00,Alphavantage
2008-02-19,2858.00,2905.00,2844.00,2878.00,55030.00,Alphavantage
2008-02-20,2849.00,2869.00,2842.00,2844.00,71489.00,Alphavantage
2008-02-21,2870.00,2876.00,2870.00,2856.00,19624.00,Alphavantage
2008-02-22,2843.00,2843.00,2812.00,2817.00,6798.00,Alphavantage
2008-02-25,2854.00,2873.00,2851.00,2868.00,12759.00,Alphavantage
2008-02-26,2887.00,2910.00,2887.00,2910.00,248039.00,Alphavantage
2008-02-27,2899.00,2941.00,2899.00,2932.00,58016.00,Alphavantage
2008-02-28,2919.00,2919.00,2893.00,2893.00,30182.00,Alphavantage
2008-02-29,2887.00,2887.00,2866.00,2849.00,42192.00,Alphavantage
2008-03-03,2816.00,2816.00,2816.00,2819.00,4925.00,Alphavantage
2008-03-04,2768.00,2768.00,2768.00,2771.00,951.00,Alphavantage
2008-03-05,2799.00,2829.00,2799.00,2828.00,2198.00,Alphavantage
2008-03-06,2822.00,2822.00,2804.00,2770.00,7535.00,Alphavantage
2008-03-07,2755.00,2755.00,2747.00,2726.00,11444.00,Alphavantage
2008-03-10,2717.00,2720.00,2712.00,2709.00,11869.00,Alphavantage
2008-03-11,2741.00,2758.00,2741.00,2759.00,31739.00,Alphavantage
2008-03-12,2800.00,2810.00,2800.00,2801.00,75815.00,Alphavantage
2008-03-13,2750.00,2752.00,2750.00,2764.00,1633.00,Alphavantage
2008-03-14,2796.00,2796.00,2740.00,2749.00,15565.00,Alphavantage
2008-03-17,2715.00,2743.00,2694.00,2707.00,143665.00,Alphavantage
2008-03-18,2745.00,2782.00,2742.00,2789.00,203588.00,Alphavantage
2008-03-19,2805.00,2813.00,2771.00,2782.00,292172.00,Alphavantage
2008-03-20,2740.00,2740.00,2721.00,2731.00,28379.00,Alphavantage
