date,open,high,low,close,volume
2019-10-01,2321.76,2321.76,2321.76,2313.00,218.00,Alphavantage
2019-09-30,2322.75,2322.75,2322.75,2322.75,0.00,Alphavantage
2019-09-20,2324.58,2324.58,2319.22,2316.25,594.00,Alphavantage
2019-09-19,2322.00,2322.00,2322.00,2322.00,0.00,Alphavantage
2019-09-18,2346.82,2346.82,2336.68,2334.75,278.00,Alphavantage
2019-09-17,2333.60,2333.60,2333.60,2334.25,36.00,Alphavantage
2019-07-26,2382.00,2382.00,2382.00,2387.00,5552.00,Alphavantage
2019-05-15,27.03,27.03,26.93,27.03,13268.00,Alphavantage
2019-05-13,2071.50,2071.50,2045.00,2054.25,347.00,Alphavantage
2019-05-10,2090.50,2090.50,2090.50,2088.25,444.00,Alphavantage
2019-05-09,2099.50,2099.50,2075.50,2063.00,606.00,Alphavantage
2019-05-08,2133.50,2133.50,2133.50,2137.00,1539.00,Alphavantage
2019-05-07,2135.00,2146.00,2135.00,2139.00,2504.00,Alphavantage
2019-05-03,2205.50,2205.50,2205.50,2210.00,578.00,Alphavantage
2019-05-02,2218.00,2218.00,2218.00,2202.50,208.00,Alphavantage
2019-05-01,2213.50,2213.50,2213.50,2221.75,170.00,Alphavantage
2019-04-30,2222.00,2222.00,2222.00,2217.50,84.00,Alphavantage
2019-04-29,2239.50,2251.50,2239.50,2243.00,219.00,Alphavantage
2019-04-26,2249.00,2249.00,2240.00,2246.25,1568.00,Alphavantage
2019-04-25,2228.50,2228.50,2225.50,2235.75,1988.00,Alphavantage
2019-04-24,2252.82,2252.82,2244.06,2241.00,770.00,Alphavantage
2019-04-23,2266.50,2266.50,2242.00,2256.00,220.00,Alphavantage
2019-04-18,2265.00,2265.00,2265.00,2277.50,728.00,Alphavantage
2019-04-17,2281.00,2289.00,2281.00,2278.75,690.00,Alphavantage
2019-04-16,2263.00,2263.00,2263.00,2273.25,3398.00,Alphavantage
2019-04-15,2260.50,2260.50,2241.50,2251.25,1554.00,Alphavantage
2019-04-12,2278.50,2278.50,2278.50,2267.00,1170.00,Alphavantage
2019-04-11,2275.00,2275.00,2254.00,2259.75,1014.00,Alphavantage
2019-04-10,2316.50,2316.50,2316.00,2306.25,572.00,Alphavantage
2019-04-09,2301.00,2301.00,2301.00,2302.75,3150.00,Alphavantage
2019-04-08,2293.00,2293.00,2293.00,2298.75,516.00,Alphavantage
2019-04-05,2307.50,2307.50,2307.50,2310.75,192.00,Alphavantage
2019-04-04,2285.00,2285.00,2285.00,2287.75,670.00,Alphavantage
2019-04-03,2265.00,2265.00,2264.00,2279.50,2989.00,Alphavantage
2019-04-02,2293.50,2293.50,2293.50,2271.50,982.00,Alphavantage
2019-04-01,2250.50,2250.50,2250.50,2257.75,655.00,Alphavantage
2019-03-29,2247.50,2247.50,2241.50,2237.50,1270.00,Alphavantage
2019-03-28,2210.00,2210.00,2210.00,2218.50,184.00,Alphavantage
2019-03-27,2235.74,2235.74,2202.00,2201.50,1148.00,Alphavantage
