date,open,high,low,close,volume
2010-11-16,103.15,103.15,103.15,102.38,624.00,Alphavantage
2010-11-17,102.55,103.17,102.55,102.55,0.00,Alphavantage
2010-11-18,104.44,105.08,104.44,104.44,0.00,Alphavantage
2010-11-19,103.32,103.95,103.32,103.32,0.00,Alphavantage
2010-11-22,102.05,102.68,102.05,102.05,0.00,Alphavantage
2010-11-23,99.80,100.41,99.80,99.80,0.00,Alphavantage
2010-11-24,101.42,101.42,101.42,101.42,1.00,Alphavantage
2010-11-25,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-11-26,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-11-29,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-11-30,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-01,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-02,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-03,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-06,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-07,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-08,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-09,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-10,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-13,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-14,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-15,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-16,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-17,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-20,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-21,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-22,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-23,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-24,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-29,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-30,101.42,101.42,101.42,101.42,0.00,Alphavantage
2010-12-31,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-04,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-05,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-06,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-07,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-10,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-11,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-12,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-13,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-14,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-17,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-18,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-19,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-20,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-21,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-24,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-25,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-26,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-27,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-28,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-01-31,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-01,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-02,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-03,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-04,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-07,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-08,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-09,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-10,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-11,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-14,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-15,101.42,101.42,101.42,101.42,0.00,Alphavantage
2011-02-16,116.67,116.67,116.67,116.67,17.00,Alphavantage
2011-02-17,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-18,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-21,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-22,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-23,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-24,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-25,116.67,116.67,116.67,116.67,0.00,Alphavantage
2011-02-28,116.67,116.67,116.67,116.67,0.00,Alphavantage
