date,open,high,low,close,volume
2018-09-01,33.82,34.102501,25.950001,33.790001,90732,null
2018-10-01,29.264999,29.309999,27.75,28.264999,383757,null
2018-11-01,27.889999,28.83,27.865,28.674999,175103,null
2018-12-01,29.16,32.549999,26.530001,30.440001,374045,null
2019-01-01,27.014999,29.01,26.700001,28.785,486216,null
2019-02-01,28.65,29.41,28.485001,29.245001,283782,null
2019-03-01,29.264999,29.785,29.0,29.575001,343475,null
2019-04-01,29.83,30.52,29.74,30.280001,420680,null
2019-05-01,30.280001,2559.5,29.4,29.725,68490,null
2019-09-13,27.17,27.17,27.07,27.110001,1355,null
