date,open,high,low,close,volume
2018-10-01,4357.5,4381.5,4271.5,4313.5,0,null
2018-11-01,4273.5,4275.5,4186.0,4220.0,599,null
2018-12-01,4256.0,4321.0,4166.5,4171.5,619,null
2019-01-01,4171.5,4280.5,4124.0,4175.0,50,null
2019-02-01,4195.0,4216.0,4063.0,4069.5,728,null
2019-03-01,4080.5,4181.0,4036.0,4121.0,708,null
2019-04-01,4102.5,4175.5,4100.5,4100.5,162,null
2019-05-01,4086.0,4190.5,4037.0,4071.5,278,null
2019-06-01,4192.5,4289.0,4166.5,4262.0,1071,null
2019-07-01,4265.0,4354.0,4265.0,4299.5,3275,null
2019-08-01,4289.5,4315.0,4153.5,4153.5,633,null
2019-09-01,4180.0,4192.0,4161.5,4170.0,232,null
2019-09-02,4180.0,4180.0,4180.0,4130.5,232,null
