date,open,high,low,close,volume
2010-07-16,5090.00,5090.00,5090.00,5079.00,392.00,Alphavantage
2010-07-19,5133.00,5133.00,5108.00,5121.00,1174.00,Alphavantage
2010-07-20,5136.00,5136.00,5136.00,5083.00,783.00,Alphavantage
2010-07-21,5069.00,5069.00,5069.00,5069.00,0.00,Alphavantage
2010-07-22,5086.00,5086.00,5086.00,5086.00,0.00,Alphavantage
2010-07-23,5008.00,5008.00,5008.00,5008.00,0.00,Alphavantage
2010-07-26,5036.00,5036.00,5036.00,5036.00,0.00,Alphavantage
2010-07-27,5062.00,5062.00,5062.00,5019.00,98.00,Alphavantage
2010-07-28,5010.00,5010.00,5010.00,5010.00,0.00,Alphavantage
2010-07-29,5037.00,5037.00,5037.00,5037.00,0.00,Alphavantage
2010-07-30,4995.00,4995.00,4995.00,4995.00,0.00,Alphavantage
2010-08-02,4975.00,4975.00,4961.00,4986.00,682.00,Alphavantage
2010-08-03,4984.00,4984.00,4984.00,4986.00,98.00,Alphavantage
2010-08-04,4976.00,4976.00,4976.00,4976.00,0.00,Alphavantage
2010-08-05,4988.00,4988.00,4988.00,4988.00,0.00,Alphavantage
2010-08-06,4997.00,4997.00,4997.00,4997.00,0.00,Alphavantage
2010-08-09,4987.00,4987.00,4987.00,4987.00,0.00,Alphavantage
2010-08-10,4994.00,4994.00,4994.00,4994.00,0.00,Alphavantage
2010-08-11,4946.00,4946.00,4946.00,4946.00,0.00,Alphavantage
2010-08-12,4960.00,4960.00,4960.00,4960.00,0.00,Alphavantage
2010-08-13,4910.00,4910.00,4910.00,4919.00,292.00,Alphavantage
2010-08-16,4910.00,4910.00,4910.00,4917.00,0.00,Alphavantage
2010-08-17,4910.00,4910.00,4910.00,4966.00,0.00,Alphavantage
2010-08-18,4910.00,4910.00,4910.00,4956.00,0.00,Alphavantage
2010-08-19,4910.00,4910.00,4910.00,4939.00,0.00,Alphavantage
2010-08-20,4910.00,4910.00,4910.00,4914.00,0.00,Alphavantage
2010-08-23,4910.00,4910.00,4910.00,4898.00,0.00,Alphavantage
2010-08-24,4910.00,4910.00,4910.00,4927.00,0.00,Alphavantage
2010-08-25,4910.00,4910.00,4910.00,4913.00,0.00,Alphavantage
2010-08-26,4905.00,4905.00,4905.00,4907.00,98.00,Alphavantage
2010-08-27,4905.00,4905.00,4905.00,4938.00,0.00,Alphavantage
2010-08-31,4905.00,4905.00,4905.00,4975.00,0.00,Alphavantage
2010-09-01,4905.00,4905.00,4905.00,4977.00,0.00,Alphavantage
2010-09-02,4905.00,4905.00,4905.00,4999.00,0.00,Alphavantage
2010-09-03,4905.00,4905.00,4905.00,5000.00,0.00,Alphavantage
2010-09-06,5021.00,5021.00,5021.00,5021.00,0.00,Alphavantage
2010-09-07,4984.00,4984.00,4984.00,4984.00,0.00,Alphavantage
2010-09-08,4929.00,4929.00,4929.00,4929.00,0.00,Alphavantage
2010-09-09,4944.00,4944.00,4944.00,4944.00,0.00,Alphavantage
