date,open,high,low,close,volume
2009-10-06,2608.00,2610.00,2608.00,2655.00,20100.00,Alphavantage
2009-10-07,2646.00,2646.00,2639.00,2635.00,20272.00,Alphavantage
2009-10-08,2672.00,2672.00,2667.00,2655.00,337.00,Alphavantage
2009-10-09,2654.00,2654.00,2654.00,2672.00,20000.00,Alphavantage
2009-10-12,2726.00,2726.00,2726.00,2732.00,1012.00,Alphavantage
2009-10-13,2727.00,2727.00,2727.00,2689.00,20000.00,Alphavantage
2009-10-14,2725.00,2739.00,2725.00,2757.00,35007.00,Alphavantage
2009-10-15,2757.00,2757.00,2757.00,2757.00,0.00,Alphavantage
2009-10-16,2656.00,2656.00,2651.00,2638.00,15045.00,Alphavantage
2009-10-19,2638.00,2638.00,2638.00,2638.00,0.00,Alphavantage
2009-10-20,2667.00,2667.00,2667.00,2662.00,112.00,Alphavantage
2009-10-21,2650.00,2650.00,2616.00,2659.00,10148.00,Alphavantage
2009-10-22,2618.00,2618.00,2618.00,2627.00,42.00,Alphavantage
2009-10-23,2658.00,2691.00,2658.00,2656.00,95082.00,Alphavantage
2009-10-26,2591.00,2591.00,2591.00,2591.00,0.00,Alphavantage
2009-10-27,2583.00,2583.00,2578.00,2568.00,45021.00,Alphavantage
2009-10-28,2540.00,2540.00,2530.00,2503.00,15047.00,Alphavantage
2009-10-29,2494.00,2534.00,2494.00,2534.00,15457.00,Alphavantage
2009-10-30,2534.00,2534.00,2534.00,2534.00,0.00,Alphavantage
2009-11-02,2483.00,2496.00,2476.00,2503.00,50281.00,Alphavantage
2009-11-03,2503.00,2503.00,2503.00,2503.00,0.00,Alphavantage
2009-11-04,2454.00,2479.00,2454.00,2477.00,25747.00,Alphavantage
2009-11-05,2472.00,2516.00,2464.00,2509.00,20507.00,Alphavantage
2009-11-06,2504.00,2504.00,2504.00,2504.00,0.00,Alphavantage
2009-11-09,2567.00,2567.00,2567.00,2567.00,0.00,Alphavantage
2009-11-10,2573.00,2573.00,2572.00,2561.00,45121.00,Alphavantage
2009-11-11,2594.00,2599.00,2594.00,2610.00,3101.00,Alphavantage
2009-11-12,2612.00,2612.00,2605.00,2589.00,15123.00,Alphavantage
2009-11-13,2572.00,2572.00,2562.00,2584.00,20115.00,Alphavantage
2009-11-16,2614.00,2614.00,2606.00,2619.00,11007.00,Alphavantage
2009-11-17,2578.00,2578.00,2578.00,2578.00,0.00,Alphavantage
2009-11-18,2678.00,2678.00,2601.00,2608.00,865.00,Alphavantage
2009-11-19,2593.00,2593.00,2564.00,2566.00,1202.00,Alphavantage
2009-11-20,2566.00,2566.00,2553.00,2557.00,22514.00,Alphavantage
2009-11-23,2616.00,2616.00,2616.00,2621.00,2500.00,Alphavantage
