date,open,high,low,close,volume
2013-10-04,35.49,35.49,35.49,35.23,4400.00,Alphavantage
2013-10-07,35.80,34.69,34.69,34.95,650.00,Alphavantage
2013-10-08,21.79,21.79,21.79,21.79,0.00,Alphavantage
2013-10-09,21.75,21.75,21.75,21.75,0.00,Alphavantage
2013-10-10,22.09,22.09,22.09,22.09,0.00,Alphavantage
2013-10-11,22.32,22.32,22.32,22.32,0.00,Alphavantage
2013-10-14,22.18,22.18,22.18,22.18,0.00,Alphavantage
2013-10-15,22.43,22.43,22.43,22.43,0.00,Alphavantage
2013-10-16,22.36,22.36,22.36,22.36,0.00,Alphavantage
2013-10-17,22.18,22.18,22.18,22.18,0.00,Alphavantage
2013-10-18,22.27,22.27,22.27,22.27,0.00,Alphavantage
2013-10-21,22.27,22.27,22.27,22.27,0.00,Alphavantage
2013-10-22,22.27,22.27,22.27,22.27,0.00,Alphavantage
2013-10-23,21.84,21.84,21.84,21.84,0.00,Alphavantage
2013-10-24,21.86,21.86,21.86,21.86,0.00,Alphavantage
2013-10-25,21.86,21.86,21.86,21.86,0.00,Alphavantage
2013-10-28,22.00,22.00,22.00,22.00,0.00,Alphavantage
2013-10-29,22.16,22.16,22.16,22.16,0.00,Alphavantage
2013-10-30,22.18,22.18,22.18,22.18,0.00,Alphavantage
2013-10-31,22.12,22.12,22.12,22.12,0.00,Alphavantage
2013-11-01,22.25,22.25,22.25,22.25,0.00,Alphavantage
2013-11-04,22.25,22.25,22.25,22.25,0.00,Alphavantage
2013-11-05,21.94,21.94,21.94,21.94,0.00,Alphavantage
2013-11-06,21.98,21.98,21.98,21.98,0.00,Alphavantage
2013-11-07,21.71,21.71,21.71,21.71,0.00,Alphavantage
2013-11-08,21.64,21.64,21.64,21.64,0.00,Alphavantage
2013-11-11,21.75,21.75,21.75,21.75,0.00,Alphavantage
2013-11-12,21.77,21.77,21.77,21.77,0.00,Alphavantage
2013-11-13,21.39,21.39,21.39,21.39,0.00,Alphavantage
2013-11-14,21.55,21.55,21.55,21.55,0.00,Alphavantage
2013-11-15,22.09,22.09,22.09,22.09,0.00,Alphavantage
2013-11-18,22.32,22.32,22.32,22.32,0.00,Alphavantage
2013-11-19,22.25,22.25,22.25,22.25,0.00,Alphavantage
2013-11-20,22.11,22.11,22.11,22.11,0.00,Alphavantage
2013-11-21,21.86,21.86,21.86,21.86,0.00,Alphavantage
2013-11-22,21.80,21.80,21.80,21.80,0.00,Alphavantage
2013-11-25,21.89,21.89,21.89,21.89,0.00,Alphavantage
2013-11-26,21.82,21.82,21.82,21.82,0.00,Alphavantage
2013-11-27,21.96,21.96,21.96,21.96,0.00,Alphavantage
2013-11-28,21.88,21.88,21.88,21.88,0.00,Alphavantage
2013-11-29,21.89,21.99,21.89,21.98,200.00,Alphavantage
2013-12-02,21.89,21.89,21.89,21.89,0.00,Alphavantage
2013-12-03,21.61,21.61,21.61,21.61,0.00,Alphavantage
2013-12-04,21.68,21.68,21.68,21.68,0.00,Alphavantage
2013-12-05,21.62,21.62,21.62,21.62,0.00,Alphavantage
2013-12-06,21.83,21.83,21.83,21.83,0.00,Alphavantage
2013-12-09,21.82,21.82,21.82,21.82,0.00,Alphavantage
2013-12-10,21.59,21.59,21.59,21.59,0.00,Alphavantage
2013-12-11,21.39,21.39,21.39,21.39,0.00,Alphavantage
2013-12-12,21.29,21.29,21.29,21.29,0.00,Alphavantage
2013-12-13,21.33,21.33,21.33,21.33,0.00,Alphavantage
2013-12-16,21.53,21.53,21.53,21.53,0.00,Alphavantage
2013-12-17,21.40,21.40,21.40,21.40,0.00,Alphavantage
2013-12-18,21.23,21.23,21.23,21.23,0.00,Alphavantage
2013-12-19,21.25,21.26,21.25,21.11,2502.00,Alphavantage
2013-12-20,21.21,21.21,21.21,21.21,0.00,Alphavantage
2013-12-23,21.29,21.29,21.29,21.29,0.00,Alphavantage
2013-12-24,21.29,21.29,21.29,21.29,0.00,Alphavantage
2013-12-27,21.30,21.30,21.30,21.30,0.00,Alphavantage
2013-12-30,21.40,21.40,21.40,21.40,0.00,Alphavantage
2013-12-31,21.43,21.43,21.43,21.43,0.00,Alphavantage
2014-01-02,21.12,21.12,21.12,21.12,0.00,Alphavantage
2014-01-03,20.89,20.89,20.89,20.89,0.00,Alphavantage
2014-01-06,20.80,20.80,20.80,20.80,0.00,Alphavantage
2014-01-07,20.95,20.95,20.85,20.83,3000.00,Alphavantage
2014-01-08,20.80,20.80,20.80,20.80,0.00,Alphavantage
2014-01-09,20.61,20.61,20.61,20.61,0.00,Alphavantage
2014-01-10,20.91,20.91,20.91,20.91,0.00,Alphavantage
2014-01-13,21.03,21.03,21.03,21.03,0.00,Alphavantage
2014-01-14,20.93,20.93,20.93,20.93,0.00,Alphavantage
2014-01-15,21.09,21.09,21.09,21.09,0.00,Alphavantage
2014-01-16,21.05,21.05,21.05,21.05,0.00,Alphavantage
2014-01-17,20.93,20.93,20.93,20.93,0.00,Alphavantage
2014-01-20,20.95,20.95,20.95,20.95,0.00,Alphavantage
2014-01-21,20.76,20.76,20.76,20.76,0.00,Alphavantage
2014-01-22,20.77,20.77,20.77,20.77,0.00,Alphavantage
2014-01-23,20.38,20.38,20.38,20.38,0.00,Alphavantage
2014-01-24,20.08,20.08,20.08,20.08,0.00,Alphavantage
2014-01-27,19.89,19.89,19.89,19.89,0.00,Alphavantage
2014-01-28,19.98,19.98,19.98,19.98,0.00,Alphavantage
2014-01-29,19.98,19.98,19.98,19.98,0.00,Alphavantage
2014-01-30,20.09,20.09,20.09,20.09,0.00,Alphavantage
2014-01-31,20.14,20.14,20.14,20.14,0.00,Alphavantage
2014-02-03,19.96,19.96,19.96,19.96,0.00,Alphavantage
2014-02-04,20.13,20.13,20.13,20.13,0.00,Alphavantage
2014-02-05,19.93,19.93,19.93,19.93,0.00,Alphavantage
2014-02-06,20.25,20.25,20.25,20.25,0.00,Alphavantage
2014-02-07,20.34,20.34,20.34,20.34,0.00,Alphavantage
2014-02-10,20.17,20.17,20.13,20.07,40240.00,Alphavantage
2014-02-11,20.39,20.39,20.39,20.39,0.00,Alphavantage
2014-02-12,20.43,20.43,20.43,20.43,0.00,Alphavantage
2014-02-13,20.25,20.25,20.25,20.25,0.00,Alphavantage
2014-02-14,20.49,20.49,20.49,20.49,0.00,Alphavantage
2014-02-17,20.50,20.50,20.50,20.50,0.00,Alphavantage
2014-02-18,20.44,20.44,20.44,20.44,0.00,Alphavantage
2014-02-19,20.43,20.43,20.43,20.43,0.00,Alphavantage
2014-02-20,20.34,20.34,20.34,20.34,0.00,Alphavantage
2014-02-21,20.52,20.52,20.52,20.52,0.00,Alphavantage
2014-02-24,20.54,20.54,20.54,20.54,0.00,Alphavantage
2014-02-25,20.37,20.37,20.37,20.37,0.00,Alphavantage
2014-02-26,20.50,20.50,20.50,20.50,0.00,Alphavantage
2014-02-27,20.69,20.69,20.69,20.69,0.00,Alphavantage
2014-02-28,20.56,20.56,20.56,20.56,0.00,Alphavantage
2014-03-03,20.36,20.36,20.36,20.36,0.00,Alphavantage
2014-03-04,20.74,20.74,20.74,20.74,0.00,Alphavantage
2014-03-05,20.55,20.55,20.55,20.55,0.00,Alphavantage
2014-03-06,20.86,20.86,20.86,20.86,0.00,Alphavantage
2014-03-07,20.56,20.56,20.56,20.56,0.00,Alphavantage
2014-03-10,20.46,20.46,20.46,20.46,0.00,Alphavantage
2014-03-11,20.54,20.54,20.54,20.54,0.00,Alphavantage
2014-03-12,20.32,20.32,20.32,20.32,0.00,Alphavantage
2014-03-13,20.09,20.09,20.09,20.09,0.00,Alphavantage
2014-03-14,20.18,20.18,20.18,20.18,0.00,Alphavantage
2014-03-17,20.33,20.33,20.33,20.33,0.00,Alphavantage
2014-03-18,20.54,20.54,20.54,20.54,0.00,Alphavantage
2014-03-19,20.26,20.26,20.26,20.26,0.00,Alphavantage
2014-03-20,20.11,20.11,20.11,20.11,0.00,Alphavantage
