date,open,high,low,close,volume
2011-06-23,18.48,18.48,18.25,18.095,30016,Alphavantage
2011-06-24,18.23,18.23,18.08,18.215,30016,Alphavantage
2011-06-27,18.2,18.2,18.2,18.195,10008,Alphavantage
2011-06-29,18.49,18.49,18.49,18.565,10008,Alphavantage
2011-07-01,18.75,18.75,18.75,18.815,1065,Alphavantage
2011-07-06,19.07,19.07,19.07,19.035,520,Alphavantage
2011-07-07,19.11,19.11,19.11,19.205,10008,Alphavantage
2011-07-08,19.18,19.18,19.02,19.065,70016,Alphavantage
2011-07-11,19.01,19.01,18.88,18.805,50040,Alphavantage
2011-07-12,18.52,18.67,18.47,18.795,50032,Alphavantage
2011-07-21,18.83,18.97,18.83,19.075,20008,Alphavantage
2011-07-25,19.02,19.02,19.01,19.075,30016,Alphavantage
2011-07-27,19.09,19.09,19.09,18.945,10000,Alphavantage
2011-07-28,18.74,18.74,18.74,18.855,10000,Alphavantage
2011-07-29,11.51,11.51,11.44,11.385,19000,Alphavantage
2011-08-01,19.0,19.04,18.8,18.685,45000,Alphavantage
2011-08-02,18.57,18.57,18.53,18.405,18000,Alphavantage
2011-08-04,17.71,17.71,17.61,17.61,18000,Alphavantage
2011-08-08,16.28,16.34,16.1,16.17,32000,Alphavantage
2011-08-10,16.35,16.38,16.35,16.38,18000,Alphavantage
2011-08-11,16.7,16.7,16.69,16.695,18000,Alphavantage
2011-08-15,10.5,10.5,10.5,10.5,1550,Alphavantage
2011-08-18,16.7,16.75,16.7,16.75,18000,Alphavantage
2011-08-24,16.74,16.74,16.74,16.71,9000,Alphavantage
2011-08-30,17.35,17.35,17.35,17.35,0,Alphavantage
2011-08-31,17.625,17.625,17.625,17.625,0,Alphavantage
2011-09-01,17.565,17.565,17.565,17.565,0,Alphavantage
2011-09-02,17.14,17.14,17.13,17.1,18000,Alphavantage
2011-09-05,16.71,16.71,16.71,16.71,0,Alphavantage
2011-09-06,16.69,16.99,16.58,16.81,99000,Alphavantage
2011-09-07,17.02,17.15,17.02,17.19,18000,Alphavantage
2011-09-08,17.25,17.32,17.17,17.27,36000,Alphavantage
2011-09-09,17.16,17.16,16.83,16.61,27000,Alphavantage
2011-09-12,16.27,16.27,16.27,16.35,9000,Alphavantage
2011-09-13,16.38,16.38,16.38,16.38,0,Alphavantage
2011-09-14,16.36,16.36,16.36,16.36,0,Alphavantage
2011-09-15,16.65,16.65,16.65,16.65,0,Alphavantage
2011-09-16,16.71,16.71,16.71,16.71,0,Alphavantage
2011-09-19,16.36,16.36,16.36,16.36,0,Alphavantage
2011-09-20,16.64,16.64,16.64,16.64,0,Alphavantage
2011-09-21,16.29,16.29,16.29,16.29,0,Alphavantage
2011-09-22,15.4,15.4,15.4,15.3,9000,Alphavantage
2011-09-23,15.46,15.46,15.46,15.46,0,Alphavantage
2011-09-26,15.43,15.43,15.43,15.43,0,Alphavantage
2011-09-27,16.03,16.03,16.03,16.03,0,Alphavantage
2011-09-28,15.75,15.75,15.75,15.75,0,Alphavantage
2011-09-29,15.76,15.76,15.76,15.76,0,Alphavantage
2011-09-30,15.39,15.39,15.39,15.39,0,Alphavantage
2011-10-03,15.12,15.12,15.12,15.12,0,Alphavantage
2011-10-04,14.54,14.54,14.54,14.54,0,Alphavantage
2011-10-05,14.63,14.63,14.63,14.63,0,Alphavantage
2011-10-06,15.27,15.27,15.27,15.27,0,Alphavantage
2011-10-07,15.41,15.41,15.41,15.41,0,Alphavantage
2011-10-10,15.67,15.67,15.67,15.67,0,Alphavantage
2011-10-11,15.57,15.57,15.57,15.57,0,Alphavantage
2011-10-12,15.97,15.97,15.97,15.97,0,Alphavantage
2011-10-13,15.73,15.73,15.73,15.73,0,Alphavantage
2011-10-14,16.14,16.14,16.14,16.14,0,Alphavantage
2011-10-17,16.03,16.03,16.03,16.03,0,Alphavantage
2011-10-18,15.86,15.86,15.86,15.86,0,Alphavantage
2011-10-19,16.11,16.11,16.11,16.11,0,Alphavantage
2011-10-20,15.71,15.71,15.71,15.71,0,Alphavantage
2011-10-21,16.38,16.38,16.38,16.38,0,Alphavantage
2011-10-24,16.73,16.73,16.73,16.73,0,Alphavantage
2011-10-25,16.44,16.44,16.44,16.44,0,Alphavantage
2011-10-26,16.41,16.41,16.41,16.41,0,Alphavantage
2011-10-27,17.16,17.27,17.16,17.22,36000,Alphavantage
2011-10-28,17.38,17.38,17.38,17.38,0,Alphavantage
2011-10-31,17.05,17.05,17.05,17.05,0,Alphavantage
2011-11-01,16.55,16.55,16.55,16.55,9000,Alphavantage
2011-11-02,16.68,16.68,16.68,16.83,9000,Alphavantage
2011-11-03,16.74,16.9,16.74,16.89,18360,Alphavantage
2011-11-04,16.74,16.74,16.74,16.74,0,Alphavantage
2011-11-07,16.76,16.76,16.76,16.68,271,Alphavantage
2011-11-08,16.71,16.71,16.71,16.71,0,Alphavantage
2011-11-09,16.7,16.7,16.54,16.57,27000,Alphavantage
2011-11-10,16.29,16.29,16.29,16.29,0,Alphavantage
2011-11-11,16.81,16.81,16.81,16.81,0,Alphavantage
2011-11-14,16.51,16.51,16.51,16.51,0,Alphavantage
2011-11-15,16.24,16.24,16.24,16.24,0,Alphavantage
2011-11-16,16.32,16.32,16.32,16.32,0,Alphavantage
2011-11-17,16.08,16.08,16.08,16.08,0,Alphavantage
2011-11-18,15.92,15.92,15.92,15.92,0,Alphavantage
2011-11-21,15.58,15.58,15.58,15.42,9000,Alphavantage
2011-11-22,15.47,15.47,15.47,15.47,0,Alphavantage
2011-11-23,15.06,15.06,15.06,15.06,0,Alphavantage
2011-11-24,15.17,15.17,15.17,15.17,0,Alphavantage
2011-11-25,15.31,15.31,15.31,15.31,0,Alphavantage
2011-11-28,15.68,15.69,15.65,15.65,27000,Alphavantage
2011-11-29,15.72,15.72,15.72,15.72,0,Alphavantage
2011-11-30,15.76,16.28,15.76,16.33,45000,Alphavantage
2011-12-01,16.13,16.13,16.13,16.13,0,Alphavantage
2011-12-02,16.42,16.42,16.42,16.36,9000,Alphavantage
2011-12-05,16.49,16.49,16.49,16.45,9000,Alphavantage
2011-12-06,16.24,16.26,16.24,16.21,18000,Alphavantage
2011-12-07,16.28,16.28,16.28,16.28,0,Alphavantage
2011-12-08,15.99,15.99,15.99,15.99,0,Alphavantage
2011-12-09,16.19,16.19,16.19,16.19,0,Alphavantage
2011-12-12,15.82,15.82,15.8,15.8,18000,Alphavantage
2011-12-13,15.85,15.85,15.85,15.85,0,Alphavantage
2011-12-14,15.57,15.57,15.57,15.57,0,Alphavantage
2011-12-15,15.79,15.79,15.79,15.79,0,Alphavantage
2011-12-16,15.99,15.99,15.99,15.99,0,Alphavantage
2011-12-19,15.8,15.8,15.8,15.8,0,Alphavantage
2011-12-20,15.96,16.16,15.96,16.16,27000,Alphavantage
2011-12-21,16.01,16.01,16.01,16.01,0,Alphavantage
2011-12-22,16.27,16.27,16.27,16.27,0,Alphavantage
2011-12-23,16.39,16.39,16.39,16.39,0,Alphavantage
2011-12-28,16.28,16.28,16.28,16.09,9000,Alphavantage
