date,open,high,low,close,volume
2018-10-01,7490.0,7535.0,6876.0,7156.5,209349,null
2018-11-01,7141.0,7212.0,6969.0,7019.0,187238,null
2018-12-01,7156.0,7195.0,84.239998,84.239998,121556,null
2019-01-01,6781.5,7052.0,6670.0,6890.0,157845,null
2019-02-01,6918.0,7194.0,6908.0,7056.0,82028,null
2019-03-01,7088.0,7363.0,7075.0,7278.0,87926,null
2019-04-01,7322.0,7520.0,7298.0,7428.5,153652,null
2019-05-01,7460.0,7460.0,7185.0,7218.5,142828,null
2019-06-01,7195.0,7539.0,7144.0,7512.5,144180,null
2019-07-01,7554.0,7804.0,7554.0,7692.0,227367,null
2019-08-01,7437.0,7487.600098,6989.0,7190.0,199362,null
2019-09-01,7229.0,7358.0,7206.0,7329.5,65895,null
2019-09-13,7338.0,7372.0,7324.558594,7361.5,4977,null
