date,open,high,low,close,volume
2018-10-01,4900.0,4917.0,4453.5,4591.75,152301,null
2018-11-01,4581.0,4683.5,4536.5,4607.75,160052,null
2018-12-01,4689.0,4689.0,4281.5,4352.25,92938,null
2019-01-01,4352.25,4538.0,4292.0,4521.0,183455,null
2019-02-01,4568.0,4730.5,4568.0,4638.75,171376,null
2019-03-01,4647.5,4772.5,4565.0,4713.0,117481,null
2019-04-01,4750.0,4938.5,4725.0,4930.25,134735,null
2019-05-01,4948.5,4948.5,4746.0,4831.5,98221,null
2019-06-01,4788.5,5020.0,4785.5,5010.0,490809,null
2019-07-01,5058.0,5273.0,5058.0,5199.0,65383,null
2019-08-01,5193.0,5196.0,4911.0,5047.0,157174,null
2019-09-01,5093.0,5132.0,5079.0,5129.5,57375,null
2019-09-13,5112.0,5113.0,5112.0,5112.5,82,null
