date,open,high,low,close,volume
2018-10-01,14951.0,15039.5,14628.0,14956.5,8436,null
2018-11-01,14814.0,15091.5,14601.0,15040.0,1619,null
2018-12-01,15142.0,15416.0,15128.0,15284.0,17234,null
2019-01-01,15284.0,15416.0,14828.0,14937.0,2718,null
2019-02-01,14998.0,15078.0,14611.0,14646.0,48553,null
2019-03-01,14677.200195,14974.0,14609.0,14816.0,6584,null
2019-04-01,14684.0,14868.0,14638.0,14785.5,5364,null
2019-05-01,14779.0,15206.5,14642.5,15206.5,919,null
2019-06-01,15281.0,15566.0,15259.0,15533.0,12851,null
2019-07-01,15550.0,15975.099609,15550.0,15894.0,24272,null
2019-08-01,15901.0,16197.5,15837.0,15865.0,8429,null
2019-09-01,15979.0,16063.799805,15625.299805,15684.0,3053,null
2019-09-13,155.862,155.862,155.679993,155.479996,372,null
