date,open,high,low,close,volume
2008-01-02,1012.50,1012.50,1012.50,1006.00,4583.00,Alphavantage
2008-01-03,999.50,1006.00,999.50,1008.00,11771.00,Alphavantage
2008-01-04,995.50,995.50,995.50,994.00,3598.00,Alphavantage
2008-01-07,995.00,995.00,995.00,993.50,2146.00,Alphavantage
2008-01-08,997.50,997.50,997.50,997.50,4684.00,Alphavantage
2008-01-09,993.50,993.50,993.50,992.50,13116.00,Alphavantage
2008-01-10,991.50,991.50,991.50,992.50,11138.00,Alphavantage
2008-01-11,992.00,992.00,992.00,992.50,5256.00,Alphavantage
2008-01-14,999.00,1005.00,999.00,1005.00,16759.00,Alphavantage
2008-01-15,973.50,976.00,973.50,973.00,8473.00,Alphavantage
2008-01-16,969.00,969.00,956.00,955.50,9272.00,Alphavantage
2008-01-17,963.00,965.00,945.50,941.50,23446.00,Alphavantage
2008-01-18,953.00,953.00,942.50,936.50,13707.00,Alphavantage
2008-01-21,944.50,944.50,869.50,866.00,53158.00,Alphavantage
2008-01-22,826.00,876.00,826.00,878.50,82284.00,Alphavantage
2008-01-23,873.00,891.50,835.00,840.50,139263.00,Alphavantage
2008-01-24,877.50,890.50,877.50,890.50,12737.00,Alphavantage
2008-01-25,901.50,902.50,900.50,880.50,21698.00,Alphavantage
2008-01-28,866.00,866.00,866.00,878.50,1064.00,Alphavantage
2008-01-29,889.50,889.50,889.50,888.50,5387.00,Alphavantage
2008-01-30,879.00,888.00,879.00,884.50,21262.00,Alphavantage
2008-01-31,870.50,885.50,870.50,885.50,30930.00,Alphavantage
2008-02-01,898.50,912.00,898.50,914.00,41083.00,Alphavantage
2008-02-04,910.00,910.00,910.00,910.00,5450.00,Alphavantage
2008-02-05,880.00,880.00,880.00,870.50,45000.00,Alphavantage
2008-02-06,880.00,880.00,880.00,884.00,25356.00,Alphavantage
2008-02-07,878.00,878.00,878.00,868.50,17535.00,Alphavantage
2008-02-08,869.00,869.00,860.50,867.00,54903.00,Alphavantage
2008-02-11,863.00,864.00,856.00,860.00,54966.00,Alphavantage
2008-02-12,863.50,878.00,863.50,887.00,100916.00,Alphavantage
2008-02-13,882.50,882.50,882.50,886.00,6732.00,Alphavantage
2008-02-14,888.50,888.50,888.50,886.00,10468.00,Alphavantage
2008-02-15,882.00,882.00,882.00,875.00,12784.00,Alphavantage
2008-02-18,884.00,892.00,884.00,896.00,168850.00,Alphavantage
2008-02-19,904.00,904.00,904.00,905.50,3533.00,Alphavantage
2008-02-20,901.00,901.00,901.00,893.50,2660.00,Alphavantage
2008-02-21,903.00,903.00,903.00,897.50,4513.00,Alphavantage
2008-02-22,890.00,895.50,890.00,886.50,18434.00,Alphavantage
2008-02-25,894.50,894.50,893.00,901.50,5254.00,Alphavantage
2008-02-26,902.50,915.50,902.50,914.50,36113.00,Alphavantage
2008-02-27,911.00,917.00,907.50,920.50,27607.00,Alphavantage
2008-02-28,910.50,910.50,910.50,909.00,7089.00,Alphavantage
