date,open,high,low,close,volume
2018-10-01,2785.5,2821.5,2536.5,2639.5,3128989,null
2018-11-01,2613.0,2654.5,2557.0,2617.75,1612540,null
2018-12-01,2674.0,2679.5,24.34,24.932501,5287655,null
2019-01-01,2495.5,2607.5,2461.5,2567.25,1730284,null
2019-02-01,2583.5,2663.0,2556.0,2626.75,1543637,null
2019-03-01,2630.0,2725.5,2602.5,2687.25,1343023,null
2019-04-01,2700.0,2818.5,2689.5,2797.25,2146030,null
2019-05-01,2829.5,2829.5,2676.5,2744.0,1417643,null
2019-06-01,2728.0,2870.5,2719.0,2867.75,2142154,null
2019-07-01,2877.5,2982.0,2871.0,2920.5,1029187,null
2019-08-01,2894.0,2948.98999,2784.73999,2864.0,2198766,null
2019-09-01,2878.5,2932.0,2878.5,2930.0,904216,null
2019-09-13,2941.5,2941.5,2911.5,2912.0,53296,null
