date,open,high,low,close,volume
2004-10-04,5.605,5.605,5.535,5.575,63930,Alphavantage
2004-10-05,5.52,5.52,5.52,5.5375,46000,Alphavantage
2004-10-06,5.5075,5.52,5.5075,5.5225,40000,Alphavantage
2004-10-07,5.545,5.545,5.545,5.525,19062,Alphavantage
2004-10-08,5.5125,5.5125,5.5125,5.5125,0,Alphavantage
2004-10-11,5.565,5.565,5.565,5.5525,10000,Alphavantage
2004-10-12,5.535,5.535,5.485,5.495,30000,Alphavantage
2004-10-13,5.5,5.5,5.5,5.5,0,Alphavantage
2004-10-14,5.47,5.47,5.43,5.385,20000,Alphavantage
2004-10-15,5.405,5.405,5.405,5.38,10000,Alphavantage
2004-10-18,5.355,5.355,5.35,5.3775,40000,Alphavantage
2004-10-19,5.41,5.42,5.41,5.42,23944,Alphavantage
2004-10-20,5.38,5.38,5.33,5.3275,60856,Alphavantage
2004-10-21,5.3,5.32,5.3,5.315,39000,Alphavantage
2004-10-22,5.3325,5.34,5.3325,5.3225,35000,Alphavantage
2004-10-25,5.195,5.24,5.195,5.2175,13431,Alphavantage
2004-10-26,5.25,5.25,5.25,5.27,10000,Alphavantage
2004-10-27,5.28,5.28,5.2575,5.3225,10000,Alphavantage
2004-10-28,5.4625,5.4625,5.3925,5.39,14552,Alphavantage
2004-10-29,5.3825,5.395,5.36,5.335,29888,Alphavantage
2004-11-01,5.3275,5.35,5.3275,5.35,21541,Alphavantage
2004-11-02,5.3475,5.3475,5.2975,5.37,10505,Alphavantage
2004-11-03,5.39,5.44,5.38,5.44,45269,Alphavantage
2004-11-04,5.4,5.43,5.39,5.4375,16796,Alphavantage
2004-11-05,5.485,5.515,5.465,5.5,134285,Alphavantage
2004-11-08,5.425,5.445,5.425,5.41,6977,Alphavantage
2004-11-09,5.365,5.395,5.365,5.4,1042,Alphavantage
2004-11-10,5.395,5.42,5.375,5.38,32291,Alphavantage
2004-11-11,5.3525,5.3525,5.33,5.34,21053,Alphavantage
2004-11-12,5.395,5.455,5.395,5.405,56437,Alphavantage
2004-11-15,5.495,5.495,5.455,5.4725,2266,Alphavantage
2004-11-16,5.495,5.505,5.465,5.46,33265,Alphavantage
2004-11-17,5.5075,5.59,5.5,5.565,1089053,Alphavantage
2004-11-18,5.525,5.57,5.525,5.57,117724,Alphavantage
2004-11-19,5.535,5.54,5.535,5.5275,20025,Alphavantage
2004-11-22,5.465,5.505,5.465,5.465,121404,Alphavantage
2004-11-23,5.43,5.4525,5.405,5.42,191628,Alphavantage
2004-11-24,5.445,5.445,5.415,5.4175,170218,Alphavantage
2004-11-25,5.455,5.455,5.445,5.4475,7979,Alphavantage
2004-11-26,5.395,5.43,5.395,5.4125,65173,Alphavantage
2004-11-29,5.445,5.485,5.41,5.41,175670,Alphavantage
2004-11-30,5.385,5.415,5.365,5.36,215435,Alphavantage
2004-12-01,5.37,5.37,5.31,5.35,147553,Alphavantage
2004-12-02,5.33,5.37,5.33,5.3725,107732,Alphavantage
2004-12-03,5.405,5.425,5.385,5.4,163932,Alphavantage
2004-12-06,5.365,5.365,5.31,5.32,164805,Alphavantage
2004-12-07,5.27,5.295,5.26,5.28,345112,Alphavantage
2004-12-08,5.28,5.28,5.21,5.25,186765,Alphavantage
2004-12-09,5.19,5.27,5.19,5.21,103740,Alphavantage
2004-12-10,5.1725,5.19,5.17,5.19,118907,Alphavantage
2004-12-13,5.16,5.22,5.14,5.2,578525,Alphavantage
2004-12-14,5.23,5.245,5.215,5.22,109958,Alphavantage
2004-12-15,5.24,5.27,5.2225,5.225,77110,Alphavantage
2004-12-16,5.26,5.28,5.26,5.28,69963,Alphavantage
2004-12-17,5.3,5.31,5.2625,5.27,76604,Alphavantage
2004-12-20,5.29,5.325,5.29,5.29,34019,Alphavantage
2004-12-21,5.27,5.37,5.27,5.36,696978,Alphavantage
2004-12-22,5.36,5.44,5.36,5.44,145607,Alphavantage
2004-12-23,5.47,5.505,5.44,5.49,187833,Alphavantage
2004-12-24,5.44,5.48,5.435,5.455,51829,Alphavantage
2004-12-29,5.51,5.54,5.51,5.52,258998,Alphavantage
2004-12-30,5.52,5.58,5.52,5.58,108150,Alphavantage
2004-12-31,5.635,5.635,5.52,5.585,69,Alphavantage
2005-01-04,5.68,5.7025,5.65,5.645,309251,Alphavantage
2005-01-05,5.65,5.665,5.59,5.63,540387,Alphavantage
2005-01-06,5.645,5.655,5.63,5.65,176537,Alphavantage
2005-01-07,5.65,5.65,5.62,5.63,1269,Alphavantage
2005-01-10,5.605,5.635,5.605,5.63,12033,Alphavantage
2005-01-11,5.67,5.6843,5.665,5.66,21922,Alphavantage
2005-01-12,5.67,5.71,5.66,5.67,12202,Alphavantage
2005-01-13,5.66,5.68,5.655,5.66,20200,Alphavantage
2005-01-14,5.68,5.745,5.68,5.73,71276,Alphavantage
2005-01-17,5.75,5.805,5.75,5.78,50017,Alphavantage
2005-01-18,5.705,5.755,5.6975,5.75,52236,Alphavantage
2005-01-19,5.68,5.72,5.68,5.71,45534,Alphavantage
2005-01-20,5.625,5.645,5.595,5.585,46901,Alphavantage
2005-01-21,5.585,5.635,5.585,5.63,116153,Alphavantage
2005-01-24,5.665,5.665,5.59,5.595,142243,Alphavantage
2005-01-25,5.6,5.63,5.59,5.62,336485,Alphavantage
2005-01-26,5.64,5.66,5.625,5.64,92469,Alphavantage
2005-01-27,5.59,5.61,5.575,5.585,83099,Alphavantage
2005-01-28,5.57,5.6,5.57,5.59,101507,Alphavantage
2005-01-31,5.59,5.63,5.59,5.61,126133,Alphavantage
2005-02-01,5.58,5.605,5.555,5.6,226692,Alphavantage
2005-02-02,5.59,5.59,5.57,5.58,22776,Alphavantage
2005-02-03,5.53,5.56,5.53,5.54,49205,Alphavantage
2005-02-04,5.48,5.55,5.48,5.545,168285,Alphavantage
2005-02-07,5.63,5.635,5.6,5.61,95831,Alphavantage
2005-02-08,5.6,5.61,5.59,5.59,37169,Alphavantage
2005-02-09,5.6,5.625,5.59,5.6,96707,Alphavantage
2005-02-10,5.62,5.625,5.59,5.585,39485,Alphavantage
2005-02-11,5.62,5.625,5.6,5.625,21172,Alphavantage
2005-02-14,5.615,5.64,5.605,5.61,32003,Alphavantage
2005-02-15,5.62,5.65,5.62,5.655,66370,Alphavantage
2005-02-16,5.6,5.63,5.59,5.6,15014,Alphavantage
2005-02-17,5.58,5.595,5.565,5.555,93268,Alphavantage
2005-02-18,5.565,5.6,5.565,5.575,27935,Alphavantage
2005-02-21,5.565,5.605,5.565,5.57,3081,Alphavantage
2005-02-22,5.57,5.58,5.56,5.58,3511,Alphavantage
2005-02-23,5.52,5.52,5.49,5.505,238536,Alphavantage
2005-02-24,5.52,5.54,5.495,5.495,14785,Alphavantage
2005-02-25,5.54,5.57,5.53,5.56,103735,Alphavantage
2005-02-28,5.58,5.64,5.58,5.625,44708,Alphavantage
2005-03-01,5.62,5.64,5.605,5.63,61839,Alphavantage
2005-03-02,5.62,5.655,5.62,5.66,58927,Alphavantage
2005-03-03,5.675,5.695,5.64,5.675,83897,Alphavantage
2005-03-04,5.68,5.78,5.68,5.775,73154,Alphavantage
2005-03-07,5.72,5.785,5.665,5.78,177874,Alphavantage
2005-03-08,5.725,5.735,5.66,5.65,783925,Alphavantage
2005-03-09,5.66,5.715,5.66,5.71,118843,Alphavantage
2005-03-10,5.68,5.695,5.67,5.685,19010,Alphavantage
2005-03-11,5.75,5.75,5.715,5.725,7605,Alphavantage
2005-03-14,5.68,5.705,5.655,5.685,41152,Alphavantage
2005-03-15,5.68,5.715,5.68,5.705,20321,Alphavantage
2005-03-16,5.705,5.735,5.6505,5.67,345630,Alphavantage
2005-03-17,5.645,5.6725,5.62,5.64,266768,Alphavantage
2005-03-18,5.705,5.71,5.675,5.67,462787,Alphavantage
2005-03-21,5.69,5.725,5.685,5.725,20785,Alphavantage
2005-03-22,5.725,5.74,5.7055,5.74,30924,Alphavantage
2005-03-23,5.725,5.75,5.695,5.735,132617,Alphavantage
2005-03-24,5.725,5.745,5.695,5.75,81896,Alphavantage
2005-03-29,5.725,5.745,5.565,5.6,94611,Alphavantage
2005-03-30,5.535,5.56,5.505,5.525,486929,Alphavantage
2005-03-31,5.58,5.615,5.55,5.56,74233,Alphavantage
