date,open,high,low,close,volume
2018-10-01,1119.800049,1144.599976,1000.22998,1032.5,369077,null
2018-11-01,1031.199951,1042.400024,988.265015,1016.099976,200986,null
2018-12-01,1042.599976,1042.599976,966.0,987.950012,235512,null
2019-01-01,987.950012,1046.0,967.099976,1029.400024,152790,null
2019-02-01,1024.400024,1068.0,1010.400024,1061.0,88049,null
2019-03-01,1064.400024,1108.800049,1057.47998,1096.300049,108657,null
2019-04-01,1098.0,1144.599976,1098.0,1130.300049,148769,null
2019-05-01,1128.599976,1130.599976,1062.099976,1062.099976,21815,null
2019-06-01,1058.800049,1162.800049,1058.800049,1158.199951,160053,null
2019-07-01,1160.400024,1221.800049,1159.130005,1188.400024,67254,null
2019-08-01,1198.400024,1198.400024,1115.400024,1171.5,71176,null
2019-09-01,1180.400024,1204.329956,1177.869995,1189.300049,102653,null
2019-09-12,1201.0,1206.400024,1201.0,1203.300049,372,null
