date,open,high,low,close,volume
2012-12-31,2047.00,2047.00,2046.00,2038.50,1460.00,Alphavantage
2013-01-02,2057.50,2057.50,2057.50,2057.50,0.00,Alphavantage
2013-01-03,2065.50,2065.50,2065.50,2065.50,0.00,Alphavantage
2013-01-04,2078.00,2078.00,2078.00,2075.50,68.00,Alphavantage
2013-01-07,2075.50,2075.50,2075.50,2075.50,0.00,Alphavantage
2013-01-08,2071.50,2071.50,2071.50,2071.50,0.00,Alphavantage
2013-01-09,2078.50,2078.50,2078.50,2078.50,0.00,Alphavantage
2013-01-10,2081.50,2081.50,2081.50,2081.50,0.00,Alphavantage
2013-01-11,2092.00,2092.00,2092.00,2092.00,0.00,Alphavantage
2013-01-14,2094.00,2100.00,2094.00,2094.00,500.00,Alphavantage
2013-01-15,2087.00,2087.00,2087.00,2087.00,0.00,Alphavantage
2013-01-16,2099.00,2099.00,2099.00,2099.00,0.00,Alphavantage
2013-01-17,2115.00,2115.00,2115.00,2115.00,0.00,Alphavantage
2013-01-18,2115.00,2115.00,2115.00,2115.00,0.00,Alphavantage
2013-01-21,2130.00,2130.00,2130.00,2130.00,0.00,Alphavantage
2013-01-22,2126.00,2126.00,2126.00,2125.00,468.00,Alphavantage
2013-01-23,2136.00,2136.00,2136.00,2136.00,0.00,Alphavantage
2013-01-24,2159.00,2159.00,2159.00,2159.00,0.00,Alphavantage
2013-01-25,2172.00,2172.00,2172.00,2172.00,0.00,Alphavantage
2013-01-28,2184.00,2184.00,2184.00,2184.00,0.00,Alphavantage
2013-01-29,2188.00,2188.00,2188.00,2188.00,0.00,Alphavantage
2013-01-30,2197.00,2197.00,2197.00,2183.00,454.00,Alphavantage
2013-01-31,2188.00,2191.00,2188.00,2183.00,5000.00,Alphavantage
2013-02-01,2220.00,2220.00,2220.00,2220.00,0.00,Alphavantage
2013-02-04,2181.00,2181.00,2181.00,2181.00,0.00,Alphavantage
2013-02-05,2204.00,2204.00,2204.00,2204.00,0.00,Alphavantage
2013-02-06,2191.00,2191.00,2191.00,2191.00,0.00,Alphavantage
2013-02-07,2165.00,2257.00,2165.00,2162.00,264.00,Alphavantage
2013-02-08,2160.00,2170.00,2159.00,2163.50,596.00,Alphavantage
2013-02-11,2171.00,2171.00,2171.00,2171.00,0.00,Alphavantage
2013-02-12,2187.00,2187.00,2187.00,2187.00,0.00,Alphavantage
2013-02-13,2225.00,2225.00,2225.00,2205.00,76.00,Alphavantage
2013-02-14,2191.00,2191.00,2191.00,2191.00,0.00,Alphavantage
