date,open,high,low,close,volume
2013-09-20,87.86,87.86,87.33,85.85,2002.00,Alphavantage
2013-09-23,83.56,83.56,83.56,83.56,0.00,Alphavantage
2013-09-24,81.00,81.00,81.00,81.00,0.00,Alphavantage
2013-09-25,79.16,79.16,79.16,79.16,0.00,Alphavantage
2013-09-26,80.71,80.71,80.71,79.69,2000.00,Alphavantage
2013-09-27,78.36,78.36,78.36,78.36,0.00,Alphavantage
2013-11-13,75.73,75.73,75.73,75.73,0.00,Alphavantage
2013-11-14,75.73,75.73,75.73,75.73,0.00,Alphavantage
2013-11-15,78.78,78.78,78.78,78.78,0.00,Alphavantage
2013-11-18,79.25,79.25,79.25,79.25,0.00,Alphavantage
2013-11-19,78.19,78.19,78.19,78.19,0.00,Alphavantage
2013-11-20,76.37,76.37,76.37,76.37,0.00,Alphavantage
2013-11-21,76.25,76.25,76.25,76.25,0.00,Alphavantage
2013-11-22,75.53,75.53,75.53,75.53,0.00,Alphavantage
2013-11-25,76.16,76.16,76.16,76.16,0.00,Alphavantage
2013-11-26,73.14,73.14,73.14,73.14,0.00,Alphavantage
2013-11-27,73.52,73.52,73.52,73.52,0.00,Alphavantage
2013-11-28,73.08,73.08,73.08,73.08,0.00,Alphavantage
2013-11-29,73.67,73.67,73.67,73.67,0.00,Alphavantage
2013-12-02,74.72,74.72,74.72,74.72,0.00,Alphavantage
2013-12-03,73.34,73.34,73.34,73.34,0.00,Alphavantage
2013-12-04,71.64,71.64,71.64,71.74,2000.00,Alphavantage
2013-12-05,70.94,70.94,70.94,70.94,0.00,Alphavantage
2013-12-06,71.96,71.96,71.96,71.96,0.00,Alphavantage
2013-12-09,72.26,72.26,72.26,72.26,0.00,Alphavantage
2013-12-10,73.19,73.19,73.19,73.19,0.00,Alphavantage
2013-12-11,72.36,72.36,72.36,72.36,0.00,Alphavantage
2013-12-12,71.03,71.03,71.03,71.03,0.00,Alphavantage
2013-12-13,69.50,69.50,69.50,69.50,0.00,Alphavantage
2013-12-16,70.25,70.25,70.25,70.25,0.00,Alphavantage
2013-12-17,70.56,70.56,70.56,70.56,0.00,Alphavantage
2013-12-18,69.86,69.86,69.86,69.86,0.00,Alphavantage
2013-12-19,70.42,70.42,70.42,70.42,0.00,Alphavantage
2013-12-20,70.40,70.40,70.40,70.40,0.00,Alphavantage
2013-12-23,70.59,70.59,70.59,70.59,0.00,Alphavantage
2013-12-24,70.59,70.59,70.59,70.59,0.00,Alphavantage
2013-12-27,70.61,70.61,70.61,70.61,0.00,Alphavantage
2013-12-30,72.32,72.32,72.32,72.32,0.00,Alphavantage
2013-12-31,72.32,72.32,72.32,72.32,0.00,Alphavantage
2014-01-02,72.33,72.33,72.33,72.33,0.00,Alphavantage
2014-01-03,70.94,70.94,70.94,70.94,0.00,Alphavantage
2014-01-06,70.23,70.23,70.23,70.23,0.00,Alphavantage
2014-01-07,70.16,70.16,70.16,70.16,0.00,Alphavantage
2014-01-08,70.50,70.50,70.50,70.50,0.00,Alphavantage
2014-01-09,69.97,69.97,69.97,69.97,0.00,Alphavantage
2014-01-10,73.56,73.56,73.56,73.56,0.00,Alphavantage
2014-01-13,76.17,76.17,76.17,76.17,0.00,Alphavantage
2014-01-14,75.17,75.17,75.17,75.17,0.00,Alphavantage
2014-01-15,76.78,76.78,76.78,76.78,0.00,Alphavantage
2014-01-16,75.95,75.95,75.95,75.95,0.00,Alphavantage
2014-01-17,76.11,76.11,76.11,76.11,0.00,Alphavantage
2014-01-20,76.41,76.41,76.41,76.41,0.00,Alphavantage
2014-01-21,75.39,75.39,75.39,75.39,0.00,Alphavantage
2014-01-22,76.13,76.13,76.13,76.13,0.00,Alphavantage
2014-01-23,76.17,76.17,76.17,76.17,0.00,Alphavantage
2014-01-24,73.17,73.17,73.17,73.17,0.00,Alphavantage
2014-01-27,71.92,71.92,71.92,71.92,0.00,Alphavantage
2014-01-28,73.15,73.15,73.15,73.42,56250.00,Alphavantage
2014-01-29,73.75,73.75,73.75,73.75,0.00,Alphavantage
2014-01-30,75.48,75.48,75.48,75.48,0.00,Alphavantage
2014-01-31,74.77,74.77,74.77,74.77,0.00,Alphavantage
2014-02-03,73.19,73.19,73.19,73.19,0.00,Alphavantage
2014-02-04,75.58,75.58,75.58,75.58,0.00,Alphavantage
2014-02-05,75.00,75.00,75.00,75.00,0.00,Alphavantage
2014-02-06,77.07,77.07,77.07,77.07,0.00,Alphavantage
2014-02-07,77.84,77.84,77.84,77.84,0.00,Alphavantage
2014-02-10,75.92,75.92,75.92,75.92,0.00,Alphavantage
