date,open,high,low,close,volume
2018-10-01,17.57,17.940001,15.86,16.52,617194,null
2018-11-01,16.6,18.209999,16.6,18.209999,353731,null
2018-12-01,18.1,18.290001,13.08,14.36,1284499,null
2019-01-01,18.129999,18.129999,17.43,17.726,482191,null
2019-02-01,18.072001,18.294001,17.139999,17.884001,389856,null
2019-03-01,17.889999,19.507999,17.75,19.4,159584,null
2019-04-01,19.48,19.806,19.115999,19.434,271611,null
2019-05-01,19.434,19.474001,18.054001,19.309999,154539,null
2019-06-01,19.726,19.91,19.014,19.416,205841,null
2019-07-01,19.535999,19.851999,18.308001,18.308001,356763,null
2019-08-01,18.308001,18.308001,17.32,17.754,320552,null
2019-09-01,17.406,17.792,17.172001,17.733999,77231,null
2019-09-09,1430.0,1434.75,1430.0,1444.375,35,null
