date,open,high,low,close,volume
2008-01-02,2047.00,2047.00,2047.00,2046.00,9329.00,Alphavantage
2008-01-03,2037.00,2057.00,2036.00,2067.00,310781.00,Alphavantage
2008-01-04,2055.00,2055.00,2055.00,2026.00,734.00,Alphavantage
2008-01-07,1999.00,2003.00,1977.00,1985.00,37078.00,Alphavantage
2008-01-08,1979.00,1979.00,1979.00,1985.00,5860.00,Alphavantage
2008-01-09,1985.00,1985.00,1985.00,1947.00,5743.00,Alphavantage
2008-01-10,1951.00,1951.00,1943.00,1931.00,3502.00,Alphavantage
2008-01-11,1941.00,1941.00,1912.00,1890.00,16123.00,Alphavantage
2008-01-14,1941.00,1987.00,1935.00,1975.00,56927.00,Alphavantage
2008-01-15,1960.00,1964.00,1897.00,1899.00,29355.00,Alphavantage
2008-01-16,1922.00,1931.00,1902.00,1903.00,5793.00,Alphavantage
2008-01-17,1896.00,1916.00,1896.00,1909.00,178020.00,Alphavantage
2008-01-18,1944.00,1945.00,1944.00,1898.00,5053.00,Alphavantage
2008-01-21,1862.00,1862.00,1825.00,1822.00,119351.00,Alphavantage
2008-01-22,1782.00,1899.00,1775.00,1898.00,246510.00,Alphavantage
2008-01-23,1923.00,1923.00,1884.00,1450.00,261026.00,Alphavantage
2008-01-24,1927.00,1927.00,1927.00,1948.00,8723.00,Alphavantage
2008-01-25,1956.00,1989.00,1955.00,1984.00,12363.00,Alphavantage
2008-01-28,1969.00,1969.00,1969.00,1959.00,13060.00,Alphavantage
2008-01-29,1986.00,2015.00,1986.00,2040.00,1602.00,Alphavantage
2008-01-30,2032.00,2032.00,2032.00,2015.00,2318.00,Alphavantage
2008-01-31,2056.00,2056.00,2056.00,2056.00,10832.00,Alphavantage
2008-02-01,2090.00,2135.00,2090.00,2151.00,4503.00,Alphavantage
2008-02-04,2136.00,2136.00,2136.00,2120.00,2446.00,Alphavantage
2008-02-05,2130.00,2130.00,2067.00,2028.00,13887.00,Alphavantage
2008-02-06,2055.00,2062.00,2052.00,2064.00,26295.00,Alphavantage
2008-02-07,2010.00,2010.00,2010.00,2010.00,2078.00,Alphavantage
2008-02-08,2018.00,2018.00,2018.00,2011.00,2156.00,Alphavantage
2008-02-11,2014.00,2014.00,2013.00,1993.00,12155.00,Alphavantage
2008-02-12,2001.00,2001.00,2001.00,2078.00,12064.00,Alphavantage
2008-02-13,2067.00,2120.00,2061.00,2115.00,26347.00,Alphavantage
2008-02-14,2124.00,2124.00,2124.00,2107.00,5813.00,Alphavantage
2008-02-15,2108.00,2108.00,2084.00,2084.00,18338.00,Alphavantage
2008-02-18,2121.00,2122.00,2114.00,2118.00,2513.00,Alphavantage
2008-02-19,2115.00,2115.00,2115.00,2152.00,2017.00,Alphavantage
2008-02-20,2131.00,2131.00,2131.00,2131.00,4668.00,Alphavantage
2008-02-21,2169.00,2169.00,2164.00,2171.00,37601.00,Alphavantage
2008-02-22,2157.00,2159.00,2149.00,2151.00,2875.00,Alphavantage
2008-02-25,2165.00,2165.00,2165.00,2178.00,872.00,Alphavantage
2008-02-26,2212.00,2212.00,2203.00,2218.00,2385.00,Alphavantage
2008-02-27,2212.00,2242.00,2212.00,2245.00,47542.00,Alphavantage
