date,open,high,low,close,volume
2006-11-06,15.14,15.14,15.14,15.10,484.00,Alphavantage
2006-11-07,15.46,15.46,15.29,15.19,3124.00,Alphavantage
2006-11-08,15.16,15.16,15.16,15.02,425.00,Alphavantage
2006-11-09,15.27,15.27,15.27,15.20,2113.00,Alphavantage
2006-11-10,14.93,14.93,14.93,15.03,50934.00,Alphavantage
2006-11-13,14.97,14.97,14.71,14.76,4348.00,Alphavantage
2006-11-14,15.15,15.15,15.15,15.05,2292.00,Alphavantage
2006-11-15,15.30,15.30,15.30,15.21,1625.00,Alphavantage
2006-11-16,15.30,15.30,15.15,15.07,1800.00,Alphavantage
2006-11-17,14.86,14.86,14.54,14.53,5443.00,Alphavantage
2006-11-20,14.54,14.54,14.54,14.48,8005.00,Alphavantage
2006-11-21,14.40,14.40,14.40,14.34,2733.00,Alphavantage
2006-11-22,14.10,14.10,14.10,13.78,9211.00,Alphavantage
2006-11-23,13.83,13.83,13.81,13.86,3281.00,Alphavantage
2006-11-24,13.70,13.70,13.70,13.70,4072.00,Alphavantage
2006-11-27,13.88,13.88,13.88,13.79,4785.00,Alphavantage
2006-11-28,13.54,13.54,13.37,13.34,14084.00,Alphavantage
2006-11-29,13.66,14.00,13.66,13.82,32137.00,Alphavantage
2006-11-30,14.07,14.07,14.07,13.76,32257.00,Alphavantage
2006-12-01,13.83,13.83,13.70,13.65,5218.00,Alphavantage
2006-12-04,13.59,13.65,13.57,13.55,25442.00,Alphavantage
2006-12-05,14.08,14.08,14.08,13.84,1109.00,Alphavantage
2006-12-06,13.88,13.88,13.88,13.88,0.00,Alphavantage
2006-12-07,14.55,14.79,14.55,14.64,10488.00,Alphavantage
2006-12-08,14.59,14.62,14.52,14.49,10717.00,Alphavantage
2006-12-12,14.69,14.69,14.69,14.52,5534.00,Alphavantage
2006-12-13,14.46,14.46,14.46,14.43,4234.00,Alphavantage
2006-12-14,14.55,14.55,14.55,14.73,773.00,Alphavantage
2006-12-15,14.86,14.86,14.86,15.04,947.00,Alphavantage
2006-12-18,15.13,15.13,15.13,14.85,1168.00,Alphavantage
2006-12-19,14.41,14.41,14.41,14.41,0.00,Alphavantage
2006-12-20,14.56,14.56,14.56,14.40,980.00,Alphavantage
2006-12-21,14.49,14.49,14.49,14.51,1100.00,Alphavantage
2006-12-22,14.56,14.56,14.56,14.37,0.00,Alphavantage
2006-12-27,14.35,14.35,14.35,14.45,514.00,Alphavantage
2006-12-28,14.70,14.70,14.70,14.74,690.00,Alphavantage
2006-12-29,14.77,14.77,14.77,14.82,1099.00,Alphavantage
2007-01-02,14.65,14.68,14.65,14.77,11615.00,Alphavantage
2007-01-03,14.90,14.90,14.90,14.86,8101.00,Alphavantage
2007-01-04,14.96,14.96,14.68,14.72,11903.00,Alphavantage
2007-01-05,14.51,14.51,14.51,14.30,13154.00,Alphavantage
2007-01-08,14.02,14.02,14.02,14.18,8760.00,Alphavantage
2007-01-09,14.00,14.00,14.00,13.74,9006.00,Alphavantage
2007-01-10,13.73,13.73,13.73,13.61,8237.00,Alphavantage
2007-01-11,14.08,14.08,14.08,14.08,0.00,Alphavantage
2007-01-12,14.29,14.29,14.29,14.24,8979.00,Alphavantage
2007-01-15,14.41,14.41,14.41,14.67,8740.00,Alphavantage
2007-01-16,14.64,14.64,14.64,14.54,1100.00,Alphavantage
2007-01-17,14.76,14.76,14.76,14.66,3302.00,Alphavantage
2007-01-18,15.01,14.76,14.76,15.06,2585.00,Alphavantage
2007-01-19,15.19,15.19,15.19,15.14,5316.00,Alphavantage
2007-01-22,15.56,15.72,15.56,15.58,3644.00,Alphavantage
2007-01-23,15.49,15.49,15.45,15.51,1034.00,Alphavantage
2007-01-24,16.06,16.06,16.06,15.96,1854.00,Alphavantage
2007-01-25,16.02,16.02,16.02,15.80,1748.00,Alphavantage
2007-01-26,15.67,15.72,15.66,15.72,30055.00,Alphavantage
2007-01-29,15.48,15.48,15.48,15.53,65037.00,Alphavantage
2007-01-30,15.50,15.50,15.47,15.63,19616.00,Alphavantage
2007-01-31,15.65,15.65,15.65,15.65,0.00,Alphavantage
2007-02-01,16.14,16.14,16.14,16.25,2455.00,Alphavantage
2007-02-02,16.34,16.70,16.34,16.61,4286.00,Alphavantage
2007-02-05,16.54,16.54,16.54,16.55,3020.00,Alphavantage
2007-02-06,16.55,16.55,16.55,16.41,73203.00,Alphavantage
2007-02-07,16.33,16.35,16.16,16.30,34010.00,Alphavantage
2007-02-08,16.08,16.08,16.08,16.17,21085.00,Alphavantage
2007-02-09,16.50,16.59,16.48,16.43,6674.00,Alphavantage
2007-02-12,16.32,16.32,16.32,16.24,797.00,Alphavantage
2007-02-13,16.59,16.59,16.59,16.59,0.00,Alphavantage
2007-02-14,16.89,16.89,16.89,16.93,850.00,Alphavantage
2007-02-15,17.28,17.33,17.10,17.17,3067.00,Alphavantage
2007-02-16,17.21,17.21,17.21,17.21,3483.00,Alphavantage
2007-02-19,17.52,17.70,17.52,17.52,1464.00,Alphavantage
2007-02-20,17.42,17.42,17.30,17.34,8297.00,Alphavantage
2007-02-21,16.99,17.00,16.99,16.89,2959.00,Alphavantage
2007-02-22,17.05,17.05,17.05,17.04,15710.00,Alphavantage
2007-02-23,17.01,17.01,17.01,16.95,28815.00,Alphavantage
2007-02-26,16.99,16.99,16.99,17.02,2465.00,Alphavantage
2007-02-27,16.36,16.38,15.93,16.15,91206.00,Alphavantage
2007-02-28,15.71,15.71,15.50,15.88,5383.00,Alphavantage
2007-03-01,15.62,15.62,15.06,15.13,17019.00,Alphavantage
2007-03-02,15.43,15.66,15.03,15.55,163656.00,Alphavantage
2007-03-05,14.91,15.20,14.88,15.13,26538.00,Alphavantage
2007-03-06,15.27,15.36,15.27,15.28,2966.00,Alphavantage
2007-03-07,15.48,15.52,15.48,15.46,57314.00,Alphavantage
2007-03-08,15.71,15.71,15.71,15.94,29724.00,Alphavantage
2007-03-09,15.83,16.25,15.83,16.20,25578.00,Alphavantage
2007-03-12,16.21,16.25,16.05,16.17,41111.00,Alphavantage
2007-03-13,16.17,16.17,15.73,15.73,78946.00,Alphavantage
2007-03-14,15.34,15.48,15.19,15.17,13572.00,Alphavantage
2007-03-15,15.69,15.90,15.61,16.04,229924.00,Alphavantage
2007-03-16,15.63,15.95,15.59,15.86,22817.00,Alphavantage
2007-03-19,16.10,16.10,16.08,16.00,22388.00,Alphavantage
2007-03-20,16.16,16.16,16.09,15.96,194587.00,Alphavantage
2007-03-21,16.33,16.33,16.33,16.33,68825.00,Alphavantage
2007-03-22,16.42,16.60,16.42,16.73,25030.00,Alphavantage
2007-03-23,16.65,16.65,16.65,16.58,9162.00,Alphavantage
2007-03-26,16.69,16.69,16.46,16.40,12450.00,Alphavantage
2007-03-27,16.40,16.40,16.40,16.42,2459.00,Alphavantage
2007-03-28,16.43,16.43,16.43,16.32,396.00,Alphavantage
2007-03-29,16.56,16.75,16.56,16.74,14232.00,Alphavantage
2007-03-30,16.92,16.95,16.76,16.76,54492.00,Alphavantage
2007-04-02,16.76,16.76,16.54,16.73,100196.00,Alphavantage
2007-04-03,16.94,17.18,16.94,17.38,10262.00,Alphavantage
2007-04-04,17.40,17.40,17.40,17.45,2054.00,Alphavantage
2007-04-05,17.80,17.80,17.72,17.82,4712.00,Alphavantage
2007-04-10,17.74,17.74,17.63,17.62,1533.00,Alphavantage
2007-04-11,17.75,17.97,17.75,17.77,12387.00,Alphavantage
2007-04-12,17.66,17.66,17.66,17.55,1740.00,Alphavantage
2007-04-13,17.74,17.74,17.74,17.72,2902.00,Alphavantage
2007-04-16,18.01,18.32,18.01,18.25,11948.00,Alphavantage
2007-04-17,17.83,17.83,17.83,18.10,3377.00,Alphavantage
2007-04-18,17.68,17.77,17.60,17.66,11561.00,Alphavantage
2007-04-19,17.34,17.94,17.34,18.03,6070.00,Alphavantage
2007-04-20,18.39,18.59,18.39,18.61,15517.00,Alphavantage
2007-04-23,18.49,18.55,18.49,18.43,47968.00,Alphavantage
2007-04-24,18.34,18.34,18.34,18.43,12775.00,Alphavantage
2007-04-25,18.90,18.96,18.90,18.94,5301.00,Alphavantage
2007-04-26,18.97,19.00,18.83,18.82,35005.00,Alphavantage
2007-04-27,18.59,18.73,18.59,18.66,5163.00,Alphavantage
2007-04-30,17.04,17.29,16.94,17.41,521941.00,Alphavantage
2007-05-01,17.67,17.67,16.75,16.95,5747.00,Alphavantage
2007-05-02,17.50,17.50,17.17,17.27,16211.00,Alphavantage
2007-05-03,17.40,17.66,17.38,17.61,16660.00,Alphavantage
2007-05-04,17.26,17.50,17.26,17.49,6587.00,Alphavantage
2007-05-08,17.75,17.75,17.60,17.54,19395.00,Alphavantage
2007-05-09,17.31,17.75,17.31,17.61,96608.00,Alphavantage
2007-05-10,17.76,17.76,17.76,17.69,63183.00,Alphavantage
2007-05-11,17.40,17.86,17.40,17.79,36545.00,Alphavantage
2007-05-14,17.84,17.84,17.84,17.88,19352.00,Alphavantage
2007-05-15,17.97,18.02,17.86,17.92,31995.00,Alphavantage
2007-05-16,17.87,17.87,17.87,18.20,17413.00,Alphavantage
2007-05-17,18.15,18.15,18.15,18.30,195778.00,Alphavantage
2007-05-18,18.22,18.22,18.22,18.35,118642.00,Alphavantage
2007-05-21,18.66,18.66,18.52,18.69,2780.00,Alphavantage
2007-05-22,18.74,18.74,18.74,18.46,1495.00,Alphavantage
2007-05-23,18.50,18.50,18.50,18.43,1259.00,Alphavantage
2007-05-24,18.20,18.36,18.16,18.24,24143.00,Alphavantage
2007-05-25,18.35,18.44,18.27,18.42,70800.00,Alphavantage
2007-05-29,18.55,18.75,18.55,18.85,51328.00,Alphavantage
2007-05-30,18.58,18.64,18.32,18.60,36455.00,Alphavantage
2007-05-31,18.74,18.90,18.74,18.97,94687.00,Alphavantage
2007-06-01,37.30,37.30,37.30,37.70,42500.00,Alphavantage
2007-06-04,18.84,18.88,18.54,18.63,149330.00,Alphavantage
2007-06-05,18.86,18.86,18.50,18.66,5915.00,Alphavantage
2007-06-06,18.30,18.30,18.27,18.30,3361.00,Alphavantage
2007-06-07,18.10,18.10,18.10,17.73,804.00,Alphavantage
2007-06-08,17.53,17.69,17.18,17.52,13538.00,Alphavantage
2007-06-11,18.03,18.03,17.93,18.05,15990.00,Alphavantage
2007-06-12,17.54,17.54,17.54,17.64,2995.00,Alphavantage
2007-06-13,17.43,17.65,17.43,17.79,3695.00,Alphavantage
2007-06-14,18.16,18.16,18.16,18.18,3845.00,Alphavantage
2007-06-15,18.04,18.63,18.04,18.66,13691.00,Alphavantage
2007-06-18,18.89,18.89,18.89,18.84,12919.00,Alphavantage
2007-06-19,18.87,18.87,18.71,18.70,12880.00,Alphavantage
2007-06-20,18.74,18.74,18.60,18.60,56782.00,Alphavantage
2007-06-21,18.55,18.56,18.55,18.51,4741.00,Alphavantage
2007-06-22,18.31,18.31,18.07,18.12,5503.00,Alphavantage
2007-06-25,18.18,18.20,18.18,18.29,13673.00,Alphavantage
2007-06-26,18.05,18.05,18.05,18.11,6401.00,Alphavantage
2007-06-27,18.09,18.09,18.09,17.86,6223.00,Alphavantage
2007-06-28,18.20,18.44,18.11,18.38,7513.00,Alphavantage
2007-06-29,18.45,18.79,18.27,18.83,44328.00,Alphavantage
2007-07-02,18.96,18.96,18.96,19.15,3910.00,Alphavantage
2007-07-03,19.50,19.82,19.41,19.75,39504.00,Alphavantage
2007-07-04,19.85,20.00,19.85,20.10,7346.00,Alphavantage
2007-07-05,20.29,20.29,20.13,20.10,35952.00,Alphavantage
2007-07-06,20.00,20.00,19.82,20.32,71328.00,Alphavantage
2007-07-09,20.70,20.91,20.65,20.78,9087.00,Alphavantage
2007-07-10,20.65,20.65,20.26,20.41,8601.00,Alphavantage
2007-07-11,20.39,20.39,20.39,20.27,6869.00,Alphavantage
2007-07-12,20.16,20.93,20.16,21.37,7508.00,Alphavantage
2007-07-13,21.32,21.32,20.90,21.14,16293.00,Alphavantage
2007-07-16,21.31,21.31,20.87,21.02,21964.00,Alphavantage
2007-07-17,20.90,20.93,20.83,20.76,4948.00,Alphavantage
2007-07-18,20.34,20.38,20.34,20.17,4471.00,Alphavantage
