date,open,high,low,close,volume
2018-10-01,1041.199951,1044.400024,956.299988,992.799988,1831816,null
2018-11-01,986.099976,1000.400024,966.900024,974.299988,2201845,null
2018-12-01,993.0,1000.0,919.299988,940.400024,3589634,null
2019-01-01,940.400024,979.005005,925.400024,974.950012,2651013,null
2019-02-01,977.299988,1017.400024,975.5,999.349976,571180,null
2019-03-01,1003.400024,1042.400024,1002.200012,1030.800049,288150,null
2019-04-01,1036.599976,1067.0,1036.599976,1053.699951,379815,null
2019-05-01,1051.800049,1054.0,1019.0,1023.700012,332475,null
2019-06-01,1012.599976,1068.400024,1012.599976,1065.0,193516,null
2019-07-01,1075.199951,1105.660034,1072.199951,1089.599976,2607096,null
2019-08-01,1085.800049,1085.800049,1018.51001,1039.800049,2007925,null
2019-09-01,1046.599976,1062.400024,1046.599976,1063.400024,298834,null
2019-09-12,1067.0,1067.199951,1067.0,1068.5,57300,null
