date,open,high,low,close,volume
2018-10-01,31695.0,32085.0,26700.0,28925.0,112025,null
2018-11-01,28650.0,29340.0,27235.0,27732.5,112900,null
2018-12-01,29040.0,29040.0,24510.0,25725.0,106999,null
2019-01-01,25725.0,27800.0,24890.0,27525.0,39310,null
2019-02-01,27785.0,29910.0,27785.0,28860.0,51715,null
2019-03-01,29090.0,31290.0,28940.0,30605.0,54734,null
2019-04-01,30900.0,32775.0,30900.0,31885.0,18240,null
2019-05-01,31670.0,31870.0,29760.0,29865.0,37866,null
2019-06-01,29455.0,32635.0,29455.0,32367.5,15283,null
2019-07-01,32965.0,34786.800781,32755.0,33775.0,8143,null
2019-08-01,33710.0,33710.0,29185.0,30637.5,24869,null
2019-09-01,31060.0,32035.300781,30883.400391,32020.0,21053,null
2019-09-13,31999.300781,32330.0,31835.0,32290.0,3800,null
