date,open,high,low,close,volume
2012-12-06,25.05,25.05,15.55,15.60,936.00,Alphavantage
2012-12-07,25.06,25.06,25.06,25.07,10000.00,Alphavantage
2012-12-10,15.66,15.66,15.66,15.66,0.00,Alphavantage
2012-12-11,15.76,15.76,15.76,15.76,0.00,Alphavantage
2012-12-12,15.71,15.71,15.71,15.71,0.00,Alphavantage
2012-12-13,25.25,25.25,25.25,25.25,0.00,Alphavantage
2012-12-14,25.11,25.11,25.11,25.11,0.00,Alphavantage
2012-12-17,15.59,15.59,15.59,15.59,0.00,Alphavantage
2012-12-18,25.46,25.46,25.46,25.46,0.00,Alphavantage
2012-12-19,15.68,15.68,15.68,15.68,0.00,Alphavantage
2012-12-20,25.31,25.31,25.31,25.31,0.00,Alphavantage
2012-12-21,15.60,15.60,15.60,15.60,0.00,Alphavantage
2012-12-24,15.60,25.20,15.60,25.20,0.00,Alphavantage
2012-12-27,24.88,24.88,15.44,15.44,0.00,Alphavantage
2012-12-28,24.90,24.90,24.90,24.90,0.00,Alphavantage
2012-12-31,15.22,15.22,15.22,15.22,0.00,Alphavantage
2013-01-02,25.48,25.48,15.69,15.69,0.00,Alphavantage
2013-01-03,15.88,25.64,15.88,25.64,1600.00,Alphavantage
2013-01-04,15.99,15.99,15.99,15.99,0.00,Alphavantage
2013-01-07,25.57,25.57,25.57,25.57,0.00,Alphavantage
2013-01-08,25.50,25.50,15.89,15.89,0.00,Alphavantage
2013-01-09,16.02,16.02,16.02,16.02,0.00,Alphavantage
2013-01-10,25.76,25.76,25.76,25.66,776.00,Alphavantage
2013-01-11,25.73,25.73,25.73,25.73,0.00,Alphavantage
2013-01-14,25.79,25.79,25.79,25.80,776.00,Alphavantage
2013-01-15,16.00,25.77,16.00,25.77,0.00,Alphavantage
2013-01-16,16.12,16.12,16.12,16.12,0.00,Alphavantage
2013-01-17,16.21,16.21,16.21,16.21,0.00,Alphavantage
2013-01-18,25.91,25.91,25.91,25.93,485.00,Alphavantage
2013-01-21,16.45,16.45,16.45,16.45,0.00,Alphavantage
2013-01-22,16.43,16.43,16.43,16.43,0.00,Alphavantage
2013-01-23,26.24,26.24,26.17,26.18,8000.00,Alphavantage
2013-01-24,16.71,16.71,16.71,16.71,0.00,Alphavantage
2013-01-25,16.68,16.68,16.68,16.68,0.00,Alphavantage
2013-01-28,16.84,16.84,16.84,16.84,0.00,Alphavantage
2013-01-29,16.84,16.84,16.84,16.84,0.00,Alphavantage
2013-01-30,16.82,26.60,16.82,26.55,3760.00,Alphavantage
2013-01-31,26.43,26.43,26.43,26.45,3382.00,Alphavantage
2013-02-01,16.95,16.95,16.95,16.95,0.00,Alphavantage
2013-02-04,16.84,16.84,16.84,16.84,0.00,Alphavantage
2013-02-05,17.02,17.02,17.02,17.02,0.00,Alphavantage
2013-02-06,26.70,26.70,26.70,26.70,0.00,Alphavantage
2013-02-07,26.80,26.80,26.80,26.62,747.00,Alphavantage
2013-02-08,16.96,16.96,16.96,16.96,0.00,Alphavantage
2013-02-11,17.12,17.12,17.12,17.12,355.00,Alphavantage
2013-02-12,26.82,26.82,26.82,26.82,0.00,Alphavantage
2013-02-13,26.87,28.84,26.87,26.84,60005.00,Alphavantage
2013-02-14,17.27,17.27,17.27,17.27,0.00,Alphavantage
2013-02-15,17.30,26.85,17.30,26.82,4618.00,Alphavantage
2013-02-18,26.80,26.80,26.80,26.80,0.00,Alphavantage
2013-02-19,26.92,26.92,26.92,26.91,194.00,Alphavantage
2013-02-20,17.51,26.98,17.51,26.93,17046.00,Alphavantage
2013-02-21,26.61,26.61,26.61,26.61,0.00,Alphavantage
2013-02-22,17.50,17.50,17.50,17.50,25.00,Alphavantage
2013-02-25,26.91,26.91,26.91,26.91,0.00,Alphavantage
2013-02-26,26.48,26.48,26.48,26.48,0.00,Alphavantage
2013-02-27,26.60,26.67,26.60,26.73,60010.00,Alphavantage
2013-02-28,26.87,26.87,26.87,26.93,60010.00,Alphavantage
2013-03-01,26.75,26.75,26.75,26.84,127.00,Alphavantage
2013-03-04,26.91,26.91,26.91,26.95,55.00,Alphavantage
2013-03-05,18.07,27.30,18.07,27.30,0.00,Alphavantage
2013-03-06,18.13,18.13,18.13,18.16,226.00,Alphavantage
2013-03-07,18.12,18.12,18.12,18.16,90.00,Alphavantage
2013-03-08,18.32,27.39,18.32,27.36,3267.00,Alphavantage
2013-03-11,27.45,27.45,27.45,27.45,0.00,Alphavantage
2013-03-12,18.44,18.44,18.44,18.43,86.00,Alphavantage
2013-03-13,27.44,27.50,27.44,27.50,16620.00,Alphavantage
2013-03-14,18.46,18.46,18.46,18.34,198.00,Alphavantage
2013-03-15,18.23,27.54,18.23,27.57,3760.00,Alphavantage
2013-03-18,27.42,27.45,27.42,27.50,7520.00,Alphavantage
2013-03-19,18.14,27.49,18.14,27.41,3760.00,Alphavantage
2013-03-20,27.62,27.62,27.62,27.62,0.00,Alphavantage
2013-03-21,27.59,27.59,18.20,18.20,102.00,Alphavantage
2013-03-22,27.64,27.64,27.64,27.64,0.00,Alphavantage
2013-03-25,18.18,18.18,18.18,18.18,0.00,Alphavantage
2013-03-26,27.66,27.66,27.66,27.77,1384.00,Alphavantage
2013-03-27,18.41,18.41,18.41,18.41,2598.00,Alphavantage
2013-03-28,27.95,27.95,18.46,18.43,1042.00,Alphavantage
2013-04-02,28.20,28.20,28.20,28.20,0.00,Alphavantage
2013-04-03,18.66,28.09,18.66,28.00,9480.00,Alphavantage
2013-04-04,28.02,28.02,27.98,28.04,11584.00,Alphavantage
2013-04-05,18.40,18.40,18.09,18.14,2499.00,Alphavantage
2013-04-08,18.26,28.00,18.17,27.89,121874.00,Alphavantage
2013-04-09,27.87,28.08,27.87,28.07,160505.00,Alphavantage
2013-04-10,18.40,18.43,18.40,18.56,404.00,Alphavantage
2013-04-11,28.55,28.61,28.51,28.64,24160.00,Alphavantage
2013-04-12,28.54,28.54,28.46,28.50,3150.00,Alphavantage
2013-04-15,18.55,28.48,18.55,28.41,105.00,Alphavantage
2013-04-16,28.17,28.27,18.35,18.43,4722.00,Alphavantage
2013-04-17,28.27,28.27,27.98,28.02,34312.00,Alphavantage
2013-04-18,27.98,28.09,27.98,27.98,12454.00,Alphavantage
2013-04-19,28.11,28.11,28.11,28.11,0.00,Alphavantage
2013-04-22,28.22,28.22,28.12,28.11,160.00,Alphavantage
2013-04-23,28.20,28.43,28.20,28.45,42167.00,Alphavantage
2013-04-24,28.53,28.53,28.53,28.45,123.00,Alphavantage
2013-04-25,18.53,28.53,18.45,28.52,4115.00,Alphavantage
2013-04-26,28.53,28.53,28.52,28.41,348.00,Alphavantage
2013-04-29,28.55,28.55,18.38,18.48,1700.00,Alphavantage
2013-04-30,18.54,18.54,18.41,18.38,1349.00,Alphavantage
2013-05-01,18.45,18.45,18.45,18.41,521.00,Alphavantage
2013-05-02,28.68,28.68,28.68,28.68,0.00,Alphavantage
2013-05-03,18.58,28.98,18.45,28.91,124523.00,Alphavantage
2013-05-07,28.98,28.98,28.90,28.89,5664.00,Alphavantage
2013-05-08,29.12,29.12,29.12,29.09,1100.00,Alphavantage
2013-05-09,29.13,29.14,29.05,29.05,18466.00,Alphavantage
2013-05-10,18.95,18.95,18.95,18.95,0.00,Alphavantage
2013-05-13,29.01,29.08,29.01,29.05,1283.00,Alphavantage
2013-05-14,29.05,29.12,29.05,29.34,4900.00,Alphavantage
2013-05-15,29.36,29.42,19.17,19.34,70750.00,Alphavantage
2013-05-16,19.36,19.37,19.36,19.27,2825.00,Alphavantage
2013-05-17,29.51,29.51,29.48,29.51,1737.00,Alphavantage
2013-05-20,29.60,29.62,29.60,29.64,8436.00,Alphavantage
2013-05-21,29.57,29.62,19.55,19.50,15866.00,Alphavantage
2013-05-22,29.66,29.67,29.66,29.74,51254.00,Alphavantage
2013-05-23,19.41,19.41,19.41,19.36,538.00,Alphavantage
2013-05-24,29.34,29.34,28.00,29.18,7381.00,Alphavantage
2013-05-28,19.49,19.65,19.49,19.65,12339.00,Alphavantage
2013-05-29,19.28,29.30,19.28,29.02,3199.00,Alphavantage
2013-05-30,29.07,29.07,19.17,19.20,3477.00,Alphavantage
2013-05-31,19.27,19.27,19.27,19.27,0.00,Alphavantage
2013-06-03,18.66,18.66,18.66,18.66,0.00,Alphavantage
2013-06-04,18.66,28.91,18.66,28.91,3600.00,Alphavantage
2013-06-05,18.75,18.75,18.75,18.59,305.00,Alphavantage
2013-06-06,18.38,28.58,18.38,28.52,23890.00,Alphavantage
2013-06-07,29.34,29.34,18.63,18.71,536.00,Alphavantage
2013-06-10,18.62,18.62,18.62,18.62,0.00,Alphavantage
2013-06-11,28.93,28.93,28.79,29.22,44406.00,Alphavantage
2013-06-12,18.42,28.86,18.42,29.31,2168.00,Alphavantage
2013-06-13,18.21,28.56,18.21,28.66,78943.00,Alphavantage
2013-06-14,18.50,18.50,18.50,18.45,431.00,Alphavantage
2013-06-17,29.18,29.18,18.43,18.59,36411.00,Alphavantage
2013-06-18,18.72,29.16,18.72,29.23,8346.00,Alphavantage
2013-06-19,29.20,29.20,29.20,29.25,147.00,Alphavantage
2013-06-20,18.58,18.58,18.58,18.36,322.00,Alphavantage
2013-06-21,28.27,28.29,18.35,18.26,25905.00,Alphavantage
2013-06-24,28.14,28.14,27.95,27.84,21000.00,Alphavantage
2013-06-25,18.24,18.32,18.21,18.30,3104.00,Alphavantage
2013-06-26,18.33,28.34,18.33,28.46,11138.00,Alphavantage
2013-06-27,18.73,28.74,18.73,28.71,7883.00,Alphavantage
2013-06-28,18.82,18.82,18.82,18.82,0.00,Alphavantage
2013-07-01,28.70,28.78,28.70,28.79,2260.00,Alphavantage
2013-07-02,18.84,18.95,18.81,18.93,14574.00,Alphavantage
2013-07-03,18.70,18.70,18.68,18.73,2790.00,Alphavantage
2013-07-04,28.82,28.82,28.82,28.82,0.00,Alphavantage
2013-07-05,28.57,28.57,28.57,28.57,0.00,Alphavantage
2013-07-08,28.85,29.07,28.85,29.02,88603.00,Alphavantage
2013-07-09,19.62,19.62,19.62,19.64,535.00,Alphavantage
