date,open,high,low,close,volume
2007-12-31,1.80,1.80,1.79,1.80,17218.00,Alphavantage
2008-01-02,1.86,1.90,1.85,1.89,175089.00,Alphavantage
2008-01-03,1.93,1.94,1.91,1.92,299546.00,Alphavantage
2008-01-04,1.89,1.90,1.86,1.88,4338527.00,Alphavantage
2008-01-07,0.97,0.97,0.97,0.97,0.00,Alphavantage
2008-01-08,1.95,1.96,1.94,1.95,575220.00,Alphavantage
2008-01-09,1.97,2.01,1.97,1.97,372371.00,Alphavantage
2008-01-10,2.00,2.00,1.95,1.98,124071.00,Alphavantage
2008-01-11,2.01,2.03,2.00,2.00,354194.00,Alphavantage
2008-01-14,2.05,2.06,2.04,2.04,454085.00,Alphavantage
2008-01-15,2.02,2.03,1.99,1.99,190600.00,Alphavantage
2008-01-16,1.97,1.99,1.95,1.99,220660.00,Alphavantage
2008-01-17,1.96,1.97,1.94,1.94,182434.00,Alphavantage
2008-01-18,1.99,2.00,1.98,1.98,24697.00,Alphavantage
2008-01-21,1.96,1.96,1.91,1.91,151940.00,Alphavantage
2008-01-22,1.90,1.93,1.85,1.90,215104.00,Alphavantage
2008-01-23,1.85,1.91,1.85,1.87,679514.00,Alphavantage
2008-01-24,1.88,1.90,1.87,1.89,36963.00,Alphavantage
2008-01-25,1.90,1.93,1.90,1.93,93133.00,Alphavantage
2008-01-28,1.94,1.95,1.93,1.95,284979.00,Alphavantage
2008-01-29,1.98,1.98,1.97,1.94,46864.00,Alphavantage
2008-01-30,1.95,1.95,1.94,1.98,51027.00,Alphavantage
2008-01-31,1.98,1.99,1.95,1.96,66298.00,Alphavantage
2008-02-01,1.94,1.97,1.92,1.93,105403.00,Alphavantage
2008-02-04,1.87,1.88,1.86,1.89,20832.00,Alphavantage
2008-02-05,1.94,1.95,1.94,1.94,23534.00,Alphavantage
2008-02-06,1.97,1.98,1.95,1.97,24294.00,Alphavantage
2008-02-07,1.98,1.99,1.97,1.97,165686.00,Alphavantage
2008-02-08,1.98,2.03,1.98,2.03,756114.00,Alphavantage
2008-02-11,2.06,2.10,2.05,2.10,1347882.00,Alphavantage
2008-02-12,2.13,2.13,2.08,2.08,373704.00,Alphavantage
2008-02-13,2.07,2.07,2.05,2.06,368472.00,Alphavantage
2008-02-14,2.08,2.11,2.08,2.11,69648.00,Alphavantage
2008-02-15,2.17,2.17,2.12,2.13,939150.00,Alphavantage
2008-02-18,2.25,2.25,2.14,2.17,576771.00,Alphavantage
2008-02-19,2.15,2.18,2.15,2.18,416820.00,Alphavantage
2008-02-20,2.21,2.22,2.18,2.18,441389.00,Alphavantage
2008-02-21,2.19,2.20,2.16,2.12,184647.00,Alphavantage
2008-02-22,2.16,2.19,2.14,2.19,204780.00,Alphavantage
2008-02-25,2.26,2.28,2.25,2.27,490072.00,Alphavantage
2008-02-26,2.25,2.28,2.24,2.27,796919.00,Alphavantage
2008-02-27,2.26,2.27,2.23,2.22,557301.00,Alphavantage
2008-02-28,2.21,2.30,2.21,2.30,56396.00,Alphavantage
2008-02-29,2.31,2.31,2.28,2.28,418038.00,Alphavantage
2008-03-03,2.31,2.35,2.28,2.33,2158982.00,Alphavantage
2008-03-04,2.28,2.31,2.28,2.17,2380053.00,Alphavantage
2008-03-05,2.31,2.34,2.29,2.33,1992677.00,Alphavantage
2008-03-06,2.38,2.41,2.35,2.40,860304.00,Alphavantage
2008-03-07,2.37,2.43,2.30,2.44,412332.00,Alphavantage
2008-03-10,2.40,2.40,2.35,2.38,709303.00,Alphavantage
2008-03-11,2.46,2.48,2.42,2.47,644445.00,Alphavantage
2008-03-12,2.44,2.46,2.42,2.45,343565.00,Alphavantage
2008-03-13,2.46,2.50,2.45,2.48,209434.00,Alphavantage
2008-03-14,2.51,2.52,2.42,2.47,263326.00,Alphavantage
2008-03-17,1.17,1.17,1.17,1.17,0.00,Alphavantage
2008-03-18,2.25,2.29,2.23,2.28,933219.00,Alphavantage
2008-03-19,2.29,2.31,2.22,2.24,252028.00,Alphavantage
2008-03-20,2.20,2.21,2.13,2.21,1184677.00,Alphavantage
2008-03-25,2.27,2.33,2.27,2.31,74308.00,Alphavantage
2008-03-26,2.31,2.40,2.30,2.35,82888.00,Alphavantage
2008-03-27,2.35,2.35,2.31,2.33,440416.00,Alphavantage
2008-03-28,2.36,2.39,2.35,2.38,267180.00,Alphavantage
2008-03-31,2.40,2.46,2.39,2.46,402187.00,Alphavantage
2008-04-01,2.42,2.43,2.41,2.41,277554.00,Alphavantage
2008-04-02,2.34,2.35,2.27,2.31,2575781.00,Alphavantage
2008-04-03,2.40,2.40,2.33,2.34,264926.00,Alphavantage
2008-04-04,2.29,2.31,2.27,2.29,56480.00,Alphavantage
2008-04-07,2.29,2.36,2.29,2.36,188673.00,Alphavantage
2008-04-08,2.38,2.41,2.35,2.37,193448.00,Alphavantage
