date,open,high,low,close,volume
2018-10-01,3164.0,3270.0,3103.0,3128.0,760,null
2018-11-01,3125.5,3136.5,2966.5,2966.5,600,null
2018-12-01,2932.5,3029.5,29.025,30.115,100,null
2019-01-01,3029.5,3061.5,2978.0,3011.5,0,null
2019-02-01,3007.5,3090.0,29.639999,30.9,924,null
2019-03-01,3074.0,3077.0,2997.5,3017.5,1099,null
2019-04-01,3035.0,3091.0,3035.0,3079.5,326,null
2019-05-01,3099.5,3116.0,3041.0,3041.0,698,null
2019-06-01,3020.0,3044.5,2969.5,2971.0,0,null
2019-07-01,2972.5,2972.5,2880.0,2900.5,375,null
2019-08-01,2892.0,3022.5,2892.0,3022.5,339,null
2019-09-01,2984.5,3024.0,2984.5,3003.0,133,null
2019-09-10,3011.0,3011.0,3011.0,3045.0,133,null
