date,open,high,low,close,volume
2013-05-21,31.80,31.94,31.74,31.74,85.00,Alphavantage
2013-05-22,31.69,31.69,31.42,31.59,560.00,Alphavantage
2013-05-23,30.67,30.69,30.39,30.40,0.00,Alphavantage
2013-05-24,30.50,30.50,30.21,30.27,0.00,Alphavantage
2013-05-28,29.78,30.14,29.76,29.99,100.00,Alphavantage
2013-05-29,29.31,29.75,29.30,29.30,0.00,Alphavantage
2013-05-30,29.43,29.44,29.43,29.44,0.00,Alphavantage
2013-05-31,28.98,28.98,28.98,28.98,0.00,Alphavantage
2013-06-03,28.58,28.65,28.30,28.65,0.00,Alphavantage
2013-06-04,28.83,28.89,28.70,28.70,0.00,Alphavantage
2013-06-05,28.49,28.49,28.18,28.18,0.00,Alphavantage
2013-06-06,27.95,27.98,27.70,27.70,0.00,Alphavantage
2013-06-07,27.65,27.76,27.58,27.76,0.00,Alphavantage
2013-06-10,28.12,28.17,28.09,28.11,0.00,Alphavantage
2013-06-11,27.68,27.68,27.46,27.56,0.00,Alphavantage
2013-06-12,27.64,27.79,27.53,27.53,0.00,Alphavantage
2013-06-13,27.14,27.47,27.14,27.47,0.00,Alphavantage
2013-06-14,27.57,27.57,27.34,27.34,200.00,Alphavantage
2013-06-17,27.94,28.05,27.42,27.42,0.00,Alphavantage
2013-06-18,27.79,27.86,27.76,27.86,0.00,Alphavantage
2013-06-19,27.93,27.98,27.89,27.93,0.00,Alphavantage
2013-06-20,27.36,27.36,27.16,27.16,0.00,Alphavantage
2013-06-21,27.28,27.36,27.22,27.22,0.00,Alphavantage
2013-06-24,26.95,26.95,26.95,26.95,0.00,Alphavantage
2013-06-25,27.02,27.25,27.02,27.25,0.00,Alphavantage
2013-06-26,27.24,27.55,27.24,27.52,0.00,Alphavantage
2013-06-27,27.92,28.21,27.91,28.19,0.00,Alphavantage
2013-06-28,28.21,28.21,27.98,27.98,0.00,Alphavantage
2013-07-01,28.29,28.32,28.27,28.32,0.00,Alphavantage
2013-07-02,28.33,28.49,28.33,28.41,0.00,Alphavantage
2013-07-03,28.12,28.12,28.02,28.10,0.00,Alphavantage
