date,open,high,low,close,volume
2018-10-01,10176.0,10186.0,10174.0,10182.0,236443,null
2018-11-01,10184.0,10184.0,10168.0,10170.0,89428,null
2018-12-01,10166.0,10172.0,101.550003,101.599998,84033,null
2019-01-01,10160.0,10169.0,10149.0,10171.5,70779,null
2019-02-01,10173.0,10184.0,101.720001,101.790001,55486,null
2019-03-01,10178.0,10201.0,10178.0,10199.0,29510,null
2019-04-01,10197.0,10211.0,10197.0,10209.0,25681,null
2019-05-01,10209.0,10221.0,10200.0,10214.0,53017,null
2019-06-01,10213.799805,10232.0,10213.0,10226.0,27720,null
2019-07-01,10225.0,10239.0,10217.0,10238.0,113479,null
2019-08-01,10239.0,10248.400391,10228.0,10234.0,87565,null
2019-09-01,10232.799805,10239.0,10228.799805,10230.0,7109,null
2019-09-13,102.300003,102.32,102.269997,102.290001,10258,null
