date,open,high,low,close,volume
2019-10-04,1831.50,1857.50,1827.50,1857.00,3297192.00,Alphavantage
2019-10-03,1841.00,1855.50,1806.00,1822.50,5249357.00,Alphavantage
2019-10-02,1897.00,1903.00,1840.50,1845.00,3301865.00,Alphavantage
2019-10-01,1934.50,1942.00,1894.00,1906.50,3377904.00,Alphavantage
2019-09-30,1930.00,1941.35,1918.00,1932.50,3609185.00,Alphavantage
2019-09-27,1929.00,1957.00,1928.50,1935.00,2751504.00,Alphavantage
2019-09-26,1876.00,1942.50,1876.00,1925.50,3133167.00,Alphavantage
2019-09-25,1879.00,1891.00,1863.47,1884.50,2998198.00,Alphavantage
2019-09-24,1883.00,1918.47,1865.50,1894.00,3736924.00,Alphavantage
2019-09-23,1870.00,1885.00,1863.50,1879.50,8200833.00,Alphavantage
2019-09-20,1889.50,1902.00,1857.50,1857.50,11106808.00,Alphavantage
2019-09-19,1872.00,1906.00,1869.50,1900.00,3382373.00,Alphavantage
2019-09-18,1886.00,1894.00,1873.00,1880.00,5491263.00,Alphavantage
2019-09-17,1840.00,1895.00,1830.00,1886.00,3285111.00,Alphavantage
2019-09-16,1835.00,1846.50,1818.50,1833.00,4114628.00,Alphavantage
2019-09-13,1881.00,1881.50,1831.50,1854.00,3861367.00,Alphavantage
2019-09-12,1883.50,1912.00,1874.00,1894.50,4194506.00,Alphavantage
2019-09-11,1871.50,1884.00,1850.50,1871.50,3505996.00,Alphavantage
2019-09-10,1910.50,1913.03,1841.00,1862.00,6671448.00,Alphavantage
2019-09-09,1979.50,1984.00,1915.50,1915.50,3512361.00,Alphavantage
2019-09-06,1950.50,1968.50,1943.00,1968.00,3957367.00,Alphavantage
2019-09-05,2007.00,2007.00,1940.00,1940.00,4669299.00,Alphavantage
2019-09-04,2024.00,2025.00,1975.00,1998.00,4952087.00,Alphavantage
2019-09-03,2014.00,2027.00,2004.55,2010.00,3008639.00,Alphavantage
2019-09-02,1965.00,2017.00,1965.00,2011.00,2770258.00,Alphavantage
2019-08-30,1975.50,1990.50,1961.00,1966.50,2974662.00,Alphavantage
2019-08-29,1960.00,1980.50,1711.10,1972.50,3077693.00,Alphavantage
2019-08-28,1944.50,1966.00,1935.00,1958.50,3157302.00,Alphavantage
2019-08-27,1925.00,1949.00,1908.50,1949.00,6372059.00,Alphavantage
2019-08-23,1929.50,1945.50,1925.50,1926.00,2116392.00,Alphavantage
2019-08-22,1956.50,1960.50,1919.50,1921.00,3452309.00,Alphavantage
2019-08-21,1928.00,1961.50,1928.00,1958.50,2278631.00,Alphavantage
2019-08-20,1949.00,1960.50,1927.00,1928.50,4273714.00,Alphavantage
2019-08-19,1935.50,1948.00,1924.00,1947.50,3310689.00,Alphavantage
2019-08-16,1917.50,1936.68,1917.50,1925.50,2795990.00,Alphavantage
2019-08-15,1916.50,1938.00,1907.50,1917.50,2936237.00,Alphavantage
2019-08-14,1943.50,1953.50,1900.00,1912.50,4034229.00,Alphavantage
2019-08-13,1940.00,1956.50,1925.00,1938.00,2438606.00,Alphavantage
2019-08-12,1947.00,1958.00,1927.50,1946.50,4278059.00,Alphavantage
2019-08-09,1928.50,1956.00,1927.50,1941.00,2346398.00,Alphavantage
2019-08-08,1931.50,1942.00,1925.50,1937.50,5816463.00,Alphavantage
2019-08-07,1881.00,1927.50,1876.00,1924.00,2953152.00,Alphavantage
2019-08-06,1875.00,1896.50,1873.00,1879.50,5890082.00,Alphavantage
2019-08-05,1908.00,1930.00,1882.50,1889.50,3336657.00,Alphavantage
2019-08-02,1959.00,1959.00,1914.00,1919.00,3123661.00,Alphavantage
2019-08-01,1936.50,1970.00,1924.50,1963.50,6994839.00,Alphavantage
2019-07-31,1966.50,1969.74,1938.00,1953.50,13244336.00,Alphavantage
2019-07-30,1979.50,1995.13,1975.00,1975.50,3299874.00,Alphavantage
2019-07-29,1940.50,1983.00,1938.00,1978.00,6363140.00,Alphavantage
2019-07-26,1876.00,1934.50,1872.50,1934.50,4284048.00,Alphavantage
2019-07-25,1880.00,1900.50,1826.00,1867.50,9166008.00,Alphavantage
2019-07-24,1947.50,1959.00,1922.50,1939.00,3407462.00,Alphavantage
2019-07-23,1944.50,1962.50,1939.50,1947.50,4328907.00,Alphavantage
2019-07-22,1931.50,1947.50,1926.00,1942.00,3602593.00,Alphavantage
2019-07-19,1936.50,1951.50,1932.00,1940.00,5445834.00,Alphavantage
2019-07-18,1953.50,1958.00,1933.00,1935.00,5596881.00,Alphavantage
2019-07-17,1958.00,1984.50,1950.00,1969.00,6768714.00,Alphavantage
2019-07-16,1971.00,1976.00,1953.50,1965.00,3721415.00,Alphavantage
2019-07-15,1935.00,1969.50,1935.00,1965.50,2614679.00,Alphavantage
2019-07-12,1954.50,1961.50,1934.50,1939.50,3018536.00,Alphavantage
2019-07-11,1956.50,1966.50,1946.00,1952.00,5781031.00,Alphavantage
2019-07-10,1956.50,1960.00,1937.00,1947.50,2843758.00,Alphavantage
