date,open,high,low,close,volume
2015-04-22,170.28,170.28,170.28,172.01,330.00,Alphavantage
2015-04-23,114.33,114.33,114.33,114.33,0.00,Alphavantage
2015-04-24,172.99,172.99,172.99,172.99,0.00,Alphavantage
2015-04-27,172.50,172.50,172.50,172.50,0.00,Alphavantage
2015-04-28,111.77,111.77,111.77,111.77,0.00,Alphavantage
2015-04-29,110.30,110.30,110.30,110.30,0.00,Alphavantage
2015-04-30,109.20,109.20,109.20,109.20,0.00,Alphavantage
2015-05-01,166.66,166.66,166.66,166.66,0.00,Alphavantage
2015-05-08,109.09,109.09,109.09,109.09,0.00,Alphavantage
2015-05-12,106.81,106.81,106.81,106.81,0.00,Alphavantage
2015-06-10,111.32,111.32,111.32,111.32,0.00,Alphavantage
2015-07-27,166.07,166.07,166.07,166.07,0.00,Alphavantage
2015-07-28,106.57,106.57,106.57,106.57,0.00,Alphavantage
2015-07-29,167.55,167.55,167.55,167.55,0.00,Alphavantage
2015-07-30,167.73,167.73,167.73,167.73,0.00,Alphavantage
2015-07-31,108.63,169.88,108.63,169.88,0.00,Alphavantage
2015-08-04,168.63,168.63,168.63,168.63,0.00,Alphavantage
2015-08-12,163.30,163.30,163.30,163.30,0.00,Alphavantage
2015-08-17,106.66,106.66,106.66,106.66,0.00,Alphavantage
2015-08-18,106.28,106.28,106.28,106.28,0.00,Alphavantage
2015-08-21,100.74,100.74,100.74,100.74,0.00,Alphavantage
2015-09-01,101.64,101.64,101.64,101.64,0.00,Alphavantage
2015-09-02,155.07,155.07,155.07,155.07,0.00,Alphavantage
2015-09-03,157.88,157.88,157.88,157.88,0.00,Alphavantage
2015-09-04,102.53,102.53,102.53,102.53,0.00,Alphavantage
2015-09-08,157.81,157.81,157.81,157.81,0.00,Alphavantage
2015-09-10,101.94,101.94,101.94,101.94,0.00,Alphavantage
2015-09-11,101.89,101.89,101.89,101.89,0.00,Alphavantage
2015-09-15,103.45,103.45,103.45,103.45,0.00,Alphavantage
2015-09-18,160.07,160.07,160.07,160.07,0.00,Alphavantage
2015-09-25,156.07,156.07,156.07,156.07,0.00,Alphavantage
2015-10-01,149.32,149.32,149.32,149.32,0.00,Alphavantage
2015-10-02,97.90,97.90,97.90,97.90,0.00,Alphavantage
2015-10-05,155.18,155.18,155.18,155.18,0.00,Alphavantage
2015-10-06,102.37,102.37,102.37,102.37,0.00,Alphavantage
2015-10-07,155.45,155.45,155.45,155.45,0.00,Alphavantage
2015-10-08,103.05,103.05,103.05,103.05,0.00,Alphavantage
2015-10-12,159.49,159.49,159.49,159.49,0.00,Alphavantage
2015-10-13,159.78,159.78,159.78,159.78,0.00,Alphavantage
2015-10-15,101.11,101.11,101.11,101.11,0.00,Alphavantage
2015-10-16,158.94,158.94,158.94,158.94,0.00,Alphavantage
2015-10-21,102.57,102.57,102.57,102.57,0.00,Alphavantage
2015-11-04,161.87,165.09,161.87,162.66,637.00,Alphavantage
2015-11-06,162.69,162.69,162.69,162.69,0.00,Alphavantage
2015-11-11,161.99,161.99,161.99,161.99,0.00,Alphavantage
2015-11-13,158.26,158.26,158.26,158.26,0.00,Alphavantage
2015-11-17,104.84,104.84,104.84,104.84,0.00,Alphavantage
2015-11-18,104.58,104.58,104.58,104.58,0.00,Alphavantage
2015-11-24,161.54,161.54,161.54,161.54,0.00,Alphavantage
2015-11-30,109.52,109.52,109.52,109.52,0.00,Alphavantage
2015-12-01,109.00,109.00,109.00,109.00,0.00,Alphavantage
2015-12-04,106.96,106.96,106.96,106.96,0.00,Alphavantage
2015-12-07,159.97,159.97,159.97,159.97,0.00,Alphavantage
2015-12-08,159.22,159.22,159.22,159.22,0.00,Alphavantage
2015-12-10,103.78,103.78,103.78,103.78,0.00,Alphavantage
2015-12-14,152.72,152.72,152.72,152.87,110.00,Alphavantage
2015-12-15,102.81,102.81,102.81,102.81,0.00,Alphavantage
2015-12-16,103.70,103.70,103.70,103.70,0.00,Alphavantage
2015-12-17,105.08,105.08,105.08,105.08,0.00,Alphavantage
2015-12-21,103.59,103.59,103.59,103.59,0.00,Alphavantage
2015-12-22,104.37,104.37,104.37,104.37,0.00,Alphavantage
2015-12-23,158.09,158.09,158.09,158.09,0.00,Alphavantage
2015-12-24,158.09,158.09,158.09,158.09,0.00,Alphavantage
2016-01-05,104.08,104.08,104.08,104.08,0.00,Alphavantage
2016-01-06,151.53,151.53,151.53,151.53,0.00,Alphavantage
2016-01-07,147.90,147.90,147.90,148.21,2000.00,Alphavantage
2016-01-08,144.93,144.93,144.93,144.93,0.00,Alphavantage
2016-01-12,142.95,142.95,142.95,142.95,0.00,Alphavantage
2016-01-13,142.68,142.68,142.68,142.68,0.00,Alphavantage
2016-01-14,96.61,96.61,96.61,96.61,0.00,Alphavantage
2016-01-15,95.78,95.78,95.78,95.78,0.00,Alphavantage
2016-01-18,138.21,138.21,138.21,138.21,0.00,Alphavantage
2016-01-19,97.53,97.53,97.53,97.53,0.00,Alphavantage
2016-01-21,97.12,97.12,97.12,97.12,0.00,Alphavantage
2016-01-22,97.47,97.47,97.47,97.47,0.00,Alphavantage
2016-01-25,97.41,97.41,97.41,97.41,0.00,Alphavantage
2016-01-26,139.07,139.07,139.07,139.07,0.00,Alphavantage
2016-01-27,97.94,97.94,97.94,97.94,0.00,Alphavantage
2016-01-28,138.78,138.78,138.78,138.78,0.00,Alphavantage
2016-01-29,99.05,140.39,99.05,140.39,0.00,Alphavantage
2016-02-02,139.50,139.50,139.50,139.50,0.00,Alphavantage
2016-02-09,133.12,133.12,133.12,133.12,0.00,Alphavantage
2016-02-11,90.00,90.00,90.00,90.00,0.00,Alphavantage
2016-02-12,91.57,91.57,91.57,92.32,1000.00,Alphavantage
2016-02-15,93.66,93.66,93.66,93.66,0.00,Alphavantage
2016-02-16,94.78,94.78,94.78,94.78,0.00,Alphavantage
2016-02-17,139.39,139.39,139.39,139.39,0.00,Alphavantage
2016-02-18,138.52,138.52,138.52,138.52,0.00,Alphavantage
2016-02-19,97.00,97.00,97.00,97.00,0.00,Alphavantage
2016-02-22,140.72,140.72,99.58,99.58,0.00,Alphavantage
2016-02-23,99.13,139.63,99.13,139.63,0.00,Alphavantage
2016-02-24,98.80,98.80,98.80,98.80,0.00,Alphavantage
2016-02-25,140.73,140.73,140.73,140.73,0.00,Alphavantage
2016-02-29,143.66,143.66,143.66,143.66,0.00,Alphavantage
2016-03-02,103.70,103.70,103.70,103.70,0.00,Alphavantage
2016-03-03,103.67,103.67,103.67,103.67,0.00,Alphavantage
2016-03-04,149.43,149.43,149.43,149.43,0.00,Alphavantage
2016-03-07,150.16,150.16,150.16,150.16,0.00,Alphavantage
2016-03-08,104.11,104.11,104.11,104.11,0.00,Alphavantage
2016-03-09,147.00,147.00,147.00,147.50,700.00,Alphavantage
2016-03-10,102.11,102.11,102.11,102.11,0.00,Alphavantage
2016-03-11,103.54,103.54,103.54,103.54,0.00,Alphavantage
2016-03-15,103.88,147.18,103.88,147.18,0.00,Alphavantage
2016-03-16,104.53,104.53,104.53,104.53,0.00,Alphavantage
2016-03-17,102.97,102.97,102.97,102.97,0.00,Alphavantage
2016-03-18,104.86,104.86,104.86,104.86,0.00,Alphavantage
2016-03-21,151.15,151.15,151.15,151.15,0.00,Alphavantage
2016-03-22,151.31,151.31,151.31,151.31,0.00,Alphavantage
2016-03-23,149.53,149.53,149.53,149.53,0.00,Alphavantage
2016-03-29,149.70,149.70,149.70,149.70,0.00,Alphavantage
2016-03-30,106.25,106.25,106.25,106.25,0.00,Alphavantage
2016-03-31,106.66,106.66,106.66,106.66,0.00,Alphavantage
2016-04-04,153.41,153.41,153.41,153.41,0.00,Alphavantage
2016-04-05,152.18,152.18,152.18,152.18,0.00,Alphavantage
2016-04-06,107.83,107.83,107.83,107.83,0.00,Alphavantage
2016-04-07,107.26,107.26,107.26,107.26,0.00,Alphavantage
2016-04-08,151.71,151.71,151.71,151.71,0.00,Alphavantage
2016-04-11,106.53,106.53,106.53,106.53,0.00,Alphavantage
2016-04-12,152.62,152.62,152.62,152.62,0.00,Alphavantage
2016-04-13,154.97,154.97,154.97,154.97,0.00,Alphavantage
2016-04-14,155.94,155.94,155.94,155.94,0.00,Alphavantage
2016-04-15,156.09,156.09,156.09,156.09,0.00,Alphavantage
2016-04-19,157.43,157.43,157.43,157.43,0.00,Alphavantage
2016-04-20,109.74,109.74,109.74,109.74,0.00,Alphavantage
2016-04-21,157.91,157.91,157.91,157.91,0.00,Alphavantage
2016-04-22,109.61,109.61,109.61,109.61,0.00,Alphavantage
2016-04-25,108.48,108.48,108.48,108.48,0.00,Alphavantage
2016-04-26,158.25,158.25,158.25,158.25,0.00,Alphavantage
2016-04-27,158.78,158.78,158.78,158.78,0.00,Alphavantage
2016-04-28,159.52,159.52,159.52,159.52,0.00,Alphavantage
2016-04-29,107.92,107.92,107.92,106.42,65.00,Alphavantage
2016-05-03,154.09,154.09,154.09,154.09,0.00,Alphavantage
2016-05-04,105.63,105.63,105.63,105.63,108.00,Alphavantage
2016-05-05,105.98,105.98,105.98,105.98,0.00,Alphavantage
2016-05-06,105.97,105.97,105.97,105.97,0.00,Alphavantage
2016-05-09,106.87,106.87,106.87,106.87,0.00,Alphavantage
2016-05-10,107.13,107.13,107.13,107.13,0.00,Alphavantage
2016-05-11,155.01,155.01,155.01,155.01,0.00,Alphavantage
2016-05-12,152.81,152.81,152.81,152.81,0.00,Alphavantage
2016-05-13,107.11,107.11,107.11,107.11,0.00,Alphavantage
2016-05-17,154.29,154.29,154.29,154.29,0.00,Alphavantage
2016-05-18,152.69,152.69,152.69,152.69,0.00,Alphavantage
2016-05-19,103.08,103.08,103.08,103.08,0.00,Alphavantage
2016-05-20,105.70,105.70,105.70,105.70,0.00,Alphavantage
2016-05-23,106.56,106.56,106.56,106.56,0.00,Alphavantage
2016-05-24,156.27,156.27,156.27,156.27,0.00,Alphavantage
2016-05-25,157.41,157.41,157.41,157.41,0.00,Alphavantage
2016-05-26,107.17,107.17,107.17,107.17,0.00,Alphavantage
2016-05-27,108.30,108.30,108.30,108.30,0.00,Alphavantage
2016-05-31,109.85,109.85,109.85,109.85,0.00,Alphavantage
2016-06-01,110.89,110.89,110.89,110.89,0.00,Alphavantage
2016-06-02,111.34,111.34,111.34,111.34,0.00,Alphavantage
2016-06-06,161.84,161.84,161.84,161.84,0.00,Alphavantage
2016-06-08,112.36,112.36,112.36,112.36,0.00,Alphavantage
2016-06-09,112.78,112.78,112.78,112.78,0.00,Alphavantage
2016-06-10,162.06,162.06,162.06,162.06,0.00,Alphavantage
2016-06-13,111.55,111.55,111.55,111.55,38.00,Alphavantage
2016-06-14,158.01,158.01,158.01,158.01,0.00,Alphavantage
2016-06-15,159.76,159.76,159.76,159.76,0.00,Alphavantage
2016-06-16,112.17,112.17,112.17,112.17,0.00,Alphavantage
2016-06-17,110.88,110.88,110.88,110.88,0.00,Alphavantage
2016-06-20,161.37,161.37,161.37,161.37,0.00,Alphavantage
2016-06-21,159.39,159.39,159.39,159.39,0.00,Alphavantage
2016-06-22,109.20,109.20,109.20,109.20,0.00,Alphavantage
2016-06-23,109.29,109.29,109.29,109.29,0.00,Alphavantage
2016-06-24,115.28,115.28,115.28,115.28,0.00,Alphavantage
2016-06-27,114.41,114.41,114.41,114.41,0.00,Alphavantage
2016-06-28,114.33,114.33,114.33,114.33,0.00,Alphavantage
2016-06-29,155.99,155.99,155.99,155.99,0.00,Alphavantage
2016-06-30,157.72,157.72,157.72,157.72,0.00,Alphavantage
2016-07-01,120.62,120.62,120.62,120.62,0.00,Alphavantage
2016-07-04,120.25,120.25,120.25,120.25,0.00,Alphavantage
2016-07-05,120.80,120.80,120.80,120.80,0.00,Alphavantage
2016-07-06,122.50,122.50,122.50,122.50,0.00,Alphavantage
2016-07-07,123.33,123.33,123.33,123.33,0.00,Alphavantage
2016-07-08,125.61,125.61,125.61,125.61,0.00,Alphavantage
2016-07-11,164.68,164.68,164.68,164.68,0.00,Alphavantage
2016-07-20,127.35,127.35,127.35,127.35,0.00,Alphavantage
2016-07-21,167.81,167.81,167.81,167.81,0.00,Alphavantage
2016-07-22,128.10,128.10,128.10,128.10,0.00,Alphavantage
2016-07-25,167.47,167.47,167.47,167.47,0.00,Alphavantage
2016-07-26,127.89,127.89,127.89,127.89,0.00,Alphavantage
2016-07-27,128.60,128.60,128.60,128.60,0.00,Alphavantage
2016-07-28,168.57,168.57,168.57,168.57,0.00,Alphavantage
2016-07-29,127.43,127.43,127.43,127.43,0.00,Alphavantage
2016-08-01,169.43,169.43,169.43,169.43,0.00,Alphavantage
2016-08-02,167.14,167.14,167.14,167.14,0.00,Alphavantage
2016-08-03,125.75,125.75,125.75,125.75,0.00,Alphavantage
2016-08-04,128.14,128.14,128.14,128.14,0.00,Alphavantage
2016-08-05,130.47,130.47,130.47,130.47,0.00,Alphavantage
2016-08-08,131.09,131.09,131.09,131.09,0.00,Alphavantage
2016-08-09,131.46,131.46,131.46,131.46,0.00,Alphavantage
2016-08-10,169.45,169.45,169.45,169.45,0.00,Alphavantage
2016-08-11,170.38,170.38,170.38,170.38,0.00,Alphavantage
2016-08-12,132.09,132.09,132.09,132.09,0.00,Alphavantage
2016-08-15,133.84,133.84,133.84,133.84,0.00,Alphavantage
2016-08-16,131.68,131.68,131.68,131.68,0.00,Alphavantage
2016-08-17,130.30,130.30,130.30,130.30,0.00,Alphavantage
2016-08-18,130.41,130.41,130.41,130.41,0.00,Alphavantage
2016-08-19,131.31,131.31,131.31,131.31,0.00,Alphavantage
2016-08-22,170.90,170.90,170.90,170.90,0.00,Alphavantage
2016-08-23,131.43,131.43,131.43,131.43,0.00,Alphavantage
2016-08-24,130.83,130.83,130.83,130.83,0.00,Alphavantage
2016-08-25,172.38,172.38,172.38,172.38,0.00,Alphavantage
2016-08-26,131.27,131.27,131.27,131.27,0.00,Alphavantage
2016-08-30,132.06,132.06,132.06,132.06,0.00,Alphavantage
2016-08-31,130.79,130.79,130.79,130.79,0.00,Alphavantage
2016-09-01,128.69,128.69,128.69,128.69,0.00,Alphavantage
2016-09-02,130.27,130.27,130.27,130.27,0.00,Alphavantage
2016-09-05,130.35,130.35,130.35,130.35,0.00,Alphavantage
2016-09-06,173.60,173.60,129.28,129.28,0.00,Alphavantage
2016-09-07,130.36,130.36,130.36,130.36,0.00,Alphavantage
2016-09-08,131.17,131.17,131.17,131.17,0.00,Alphavantage
2016-09-09,129.69,129.69,129.69,129.69,0.00,Alphavantage
2016-09-12,127.53,127.53,127.53,127.53,0.00,Alphavantage
2016-09-13,127.58,127.58,127.58,127.58,0.00,Alphavantage
2016-09-14,127.78,127.78,127.78,127.78,0.00,Alphavantage
2016-09-15,169.88,169.88,169.88,169.88,0.00,Alphavantage
2016-09-16,169.65,169.65,169.65,169.65,0.00,Alphavantage
2016-09-19,171.94,171.94,171.94,171.94,0.00,Alphavantage
2016-09-20,171.51,171.51,171.51,171.51,0.00,Alphavantage
2016-09-21,132.16,132.16,132.16,132.16,0.00,Alphavantage
2016-09-22,174.56,174.56,174.56,174.56,0.00,Alphavantage
2016-09-23,175.09,175.09,175.09,175.09,0.00,Alphavantage
2016-09-26,133.59,133.59,133.59,133.59,0.00,Alphavantage
2016-09-27,172.72,172.72,172.72,172.72,0.00,Alphavantage
2016-09-28,132.76,132.76,132.76,132.76,0.00,Alphavantage
2016-09-29,133.79,133.79,133.79,133.79,0.00,Alphavantage
2016-09-30,133.66,133.66,133.66,133.66,0.00,Alphavantage
2016-10-03,173.03,173.03,173.03,173.03,0.00,Alphavantage
2016-10-04,172.96,172.96,172.96,172.96,0.00,Alphavantage
2016-10-05,172.96,172.96,172.96,174.09,800.00,Alphavantage
2016-10-06,136.30,136.30,136.30,136.30,0.00,Alphavantage
2016-10-07,138.69,138.69,138.69,138.69,0.00,Alphavantage
2016-10-10,140.69,140.69,140.69,140.69,0.00,Alphavantage
2016-10-11,139.97,139.97,139.97,139.97,0.00,Alphavantage
2016-10-12,171.38,171.38,171.38,171.38,0.00,Alphavantage
2016-10-13,138.66,138.66,138.66,138.66,0.00,Alphavantage
2016-10-14,138.62,138.62,138.62,138.62,0.00,Alphavantage
2016-10-19,169.97,169.97,138.32,138.32,0.00,Alphavantage
2016-10-20,169.12,169.12,138.10,138.10,0.00,Alphavantage
2016-10-21,169.47,169.47,169.47,169.47,0.00,Alphavantage
2016-10-24,139.84,139.84,139.84,139.84,0.00,Alphavantage
2016-10-25,139.20,139.20,139.20,139.20,0.00,Alphavantage
2016-10-26,168.90,168.90,168.90,168.90,0.00,Alphavantage
2016-10-27,136.66,136.66,136.66,136.66,0.00,Alphavantage
2016-10-28,166.09,166.09,166.09,166.09,0.00,Alphavantage
2016-10-31,135.51,135.51,135.51,135.51,0.00,Alphavantage
2016-11-01,134.15,134.15,134.15,134.15,0.00,Alphavantage
2016-11-02,132.03,132.03,132.03,132.03,0.00,Alphavantage
2016-11-03,161.43,161.43,161.43,161.43,0.00,Alphavantage
2016-11-04,163.11,163.11,163.11,163.11,0.00,Alphavantage
2016-11-07,133.46,133.46,133.46,133.46,0.00,Alphavantage
2016-11-08,165.85,165.85,165.85,165.85,0.00,Alphavantage
2016-11-09,135.46,162.09,135.46,169.08,3.00,Alphavantage
2016-11-10,139.18,139.18,139.18,139.18,0.00,Alphavantage
