date,open,high,low,close,volume
2009-10-15,17.78,17.78,17.72,17.72,2.00,Alphavantage
2009-10-16,26.03,26.13,26.03,26.03,0.00,Alphavantage
2009-10-19,26.46,26.46,26.46,26.46,0.00,Alphavantage
2009-10-20,26.32,26.32,26.32,26.32,0.00,Alphavantage
2009-10-21,26.49,26.70,26.49,26.49,0.00,Alphavantage
2009-10-22,26.08,26.23,26.08,26.08,0.00,Alphavantage
2009-10-23,26.16,26.36,26.16,26.16,0.00,Alphavantage
2009-10-26,25.96,26.16,25.96,25.96,0.00,Alphavantage
2009-10-27,25.72,25.72,25.72,25.72,0.00,Alphavantage
2009-10-28,24.72,24.72,24.72,24.72,0.00,Alphavantage
2009-10-29,25.40,25.40,25.40,25.40,0.00,Alphavantage
2009-10-30,24.38,24.57,24.38,24.38,0.00,Alphavantage
2009-11-02,16.76,16.86,16.76,16.86,2.00,Alphavantage
2009-11-03,24.48,24.48,24.48,24.48,0.00,Alphavantage
2009-11-04,25.43,25.43,25.43,25.43,0.00,Alphavantage
2009-11-05,16.95,17.20,16.95,17.20,121.00,Alphavantage
2009-11-06,25.56,25.66,25.56,25.56,0.00,Alphavantage
2009-11-09,26.40,26.50,26.40,26.40,0.00,Alphavantage
2009-11-10,17.56,17.67,17.56,17.67,2.00,Alphavantage
2009-11-11,26.58,26.68,26.58,26.58,0.00,Alphavantage
2009-11-12,26.28,26.28,26.28,26.28,0.00,Alphavantage
2009-11-13,26.28,26.28,26.28,26.28,0.00,Alphavantage
2009-11-16,27.14,27.14,27.14,27.14,700.00,Alphavantage
2009-11-17,17.95,18.02,17.95,18.02,500.00,Alphavantage
2009-11-18,18.08,18.08,17.93,17.93,1320.00,Alphavantage
2009-11-19,17.86,17.86,17.58,17.58,2.00,Alphavantage
2009-11-20,26.24,26.34,26.24,26.24,0.00,Alphavantage
2009-11-23,26.95,27.05,26.95,26.95,0.00,Alphavantage
2009-11-24,26.47,26.57,26.47,26.47,0.00,Alphavantage
2009-11-25,26.70,26.80,26.70,26.70,0.00,Alphavantage
2009-11-26,25.86,25.96,25.86,25.86,0.00,Alphavantage
2009-11-27,17.36,17.36,17.36,17.36,1.00,Alphavantage
2009-11-30,17.44,17.44,17.26,17.26,2.00,Alphavantage
2009-12-01,26.66,26.66,26.66,26.66,250.00,Alphavantage
2009-12-02,17.90,17.97,17.90,17.97,855.00,Alphavantage
2009-12-03,26.95,27.05,26.95,26.95,0.00,Alphavantage
2009-12-04,17.86,18.31,17.86,18.11,5670.00,Alphavantage
2009-12-07,18.24,18.30,18.24,18.30,302.00,Alphavantage
2009-12-08,17.98,17.98,17.90,17.90,75.00,Alphavantage
2009-12-09,26.20,26.30,26.20,26.20,0.00,Alphavantage
2009-12-10,26.39,26.49,26.39,26.39,0.00,Alphavantage
2009-12-11,26.41,26.51,26.41,26.41,0.00,Alphavantage
2009-12-14,26.66,26.76,26.66,26.66,0.00,Alphavantage
2009-12-15,18.31,18.35,18.22,18.35,389.00,Alphavantage
2009-12-16,18.27,18.39,18.27,18.39,2.00,Alphavantage
2009-12-17,16.20,16.20,16.20,15.50,18826.00,Alphavantage
2009-12-18,18.16,18.16,18.12,18.12,159.00,Alphavantage
2009-12-21,18.18,18.28,18.18,18.28,2.00,Alphavantage
2009-12-22,18.22,18.33,18.22,18.31,210.00,Alphavantage
2009-12-23,18.49,18.50,18.44,18.44,55.00,Alphavantage
2009-12-29,26.79,26.89,26.79,26.79,0.00,Alphavantage
2009-12-30,16.92,16.92,16.90,16.71,1555.00,Alphavantage
2009-12-31,26.80,26.80,26.80,26.80,0.00,Alphavantage
2010-01-04,27.39,27.39,27.39,27.39,530.00,Alphavantage
2010-01-05,19.34,19.46,19.34,19.39,1360.00,Alphavantage
2010-01-06,19.55,19.58,19.52,19.58,1758.00,Alphavantage
2010-01-07,19.42,19.48,19.35,19.48,1609.00,Alphavantage
2010-01-08,19.48,19.52,19.48,19.48,1.00,Alphavantage
2010-01-11,19.48,19.48,19.29,19.29,200.00,Alphavantage
2010-01-12,19.31,19.37,19.12,19.13,10792.00,Alphavantage
2010-01-13,19.08,19.15,19.07,19.12,822.00,Alphavantage
2010-01-14,27.67,27.78,27.67,27.67,0.00,Alphavantage
2010-01-15,27.76,27.76,27.76,27.76,150.00,Alphavantage
2010-01-18,19.30,19.30,19.22,19.29,2093.00,Alphavantage
2010-01-19,27.78,27.89,27.78,27.78,0.00,Alphavantage
2010-01-20,19.45,19.45,19.20,19.23,152.00,Alphavantage
2010-01-21,19.00,19.31,18.94,18.94,50.00,Alphavantage
2010-01-22,18.80,18.81,18.50,18.59,13702.00,Alphavantage
2010-01-25,18.59,18.59,18.43,18.43,2.00,Alphavantage
2010-01-26,18.27,18.33,18.25,18.33,3625.00,Alphavantage
2010-01-27,25.31,25.41,25.31,25.31,0.00,Alphavantage
2010-01-28,18.43,18.43,18.11,18.11,2726.00,Alphavantage
2010-01-29,18.41,18.51,18.41,18.46,10000.00,Alphavantage
2010-02-01,25.71,25.81,25.71,25.71,0.00,Alphavantage
2010-02-02,25.87,25.97,25.87,25.87,0.00,Alphavantage
2010-02-03,26.29,26.29,26.29,26.29,962.00,Alphavantage
2010-02-04,18.70,18.70,18.21,18.21,10027.00,Alphavantage
2010-02-05,24.24,24.33,24.24,24.24,0.00,Alphavantage
2010-02-08,17.96,17.96,17.96,17.96,1.00,Alphavantage
2010-02-09,18.05,18.17,18.05,18.17,140.00,Alphavantage
2010-02-10,18.21,18.23,18.21,18.23,1100.00,Alphavantage
2010-02-11,25.20,25.30,25.20,25.20,0.00,Alphavantage
2010-02-12,18.58,18.58,18.33,18.33,170.00,Alphavantage
2010-02-15,25.13,25.23,25.13,25.13,0.00,Alphavantage
2010-02-16,18.63,18.71,18.63,18.71,530.00,Alphavantage
2010-02-17,25.67,25.77,25.67,25.67,0.00,Alphavantage
2010-02-18,25.75,25.85,25.75,25.75,0.00,Alphavantage
2010-02-19,25.68,25.68,25.68,25.83,27299.00,Alphavantage
2010-02-22,25.69,25.79,25.69,25.69,0.00,Alphavantage
2010-02-23,18.97,18.97,18.77,18.77,605.00,Alphavantage
2010-02-24,18.83,18.83,18.80,18.80,2.00,Alphavantage
2010-02-25,24.85,24.94,24.85,24.85,0.00,Alphavantage
2010-02-26,18.72,18.72,18.72,18.72,2.00,Alphavantage
2010-03-01,19.06,19.28,19.06,19.28,80.00,Alphavantage
2010-03-02,26.31,26.41,26.31,26.31,0.00,Alphavantage
2010-03-03,19.35,19.40,19.35,19.40,150.00,Alphavantage
2010-03-04,19.21,19.31,19.21,19.31,2.00,Alphavantage
2010-03-05,26.77,26.77,26.77,26.82,627.00,Alphavantage
2010-03-08,19.75,19.80,19.75,19.80,298.00,Alphavantage
2010-03-09,27.03,27.13,27.03,27.03,0.00,Alphavantage
2010-03-10,27.21,27.21,27.21,27.21,214.00,Alphavantage
2010-03-11,19.88,19.88,19.84,19.86,150.00,Alphavantage
2010-03-12,27.17,27.27,27.17,27.17,0.00,Alphavantage
2010-03-15,27.05,27.05,27.05,27.05,16000.00,Alphavantage
2010-03-16,27.20,27.30,27.20,27.20,0.00,Alphavantage
2010-03-17,27.65,27.65,27.65,27.70,25829.00,Alphavantage
2010-03-18,27.37,27.47,27.37,27.37,0.00,Alphavantage
2010-03-19,27.14,27.24,27.14,27.14,0.00,Alphavantage
2010-03-22,27.22,27.32,27.22,27.22,0.00,Alphavantage
2010-03-23,20.17,20.27,20.17,20.20,990.00,Alphavantage
2010-03-24,20.38,20.47,20.38,20.42,37.00,Alphavantage
2010-03-25,20.40,20.49,20.40,20.49,600.00,Alphavantage
