date,open,high,low,close,volume
2009-11-24,49.71,49.78,49.71,49.78,568.00,Alphavantage
2009-11-25,2957.00,2957.00,2957.00,2957.00,0.00,Alphavantage
2009-11-26,3011.00,3011.00,3011.00,3011.00,0.00,Alphavantage
2009-11-27,49.78,49.78,49.78,49.69,1430.00,Alphavantage
2009-11-30,3026.50,3026.50,3026.50,3026.50,0.00,Alphavantage
2009-12-01,2959.00,2959.00,2959.00,2959.00,0.00,Alphavantage
2009-12-02,2964.50,2964.50,2964.50,2964.50,0.00,Alphavantage
2009-12-03,49.24,49.24,49.24,49.24,0.00,Alphavantage
2009-12-04,49.96,49.96,49.40,49.96,1050.00,Alphavantage
2009-12-07,3053.00,3053.00,3053.00,3053.00,0.00,Alphavantage
2009-12-08,3094.00,3094.00,3094.00,3094.00,0.00,Alphavantage
2009-12-09,5039.00,5052.00,5039.00,3112.50,557.00,Alphavantage
2009-12-10,3106.50,3106.50,3106.50,3106.50,0.00,Alphavantage
2009-12-11,50.35,50.35,50.35,50.85,825.00,Alphavantage
2009-12-14,3109.50,3109.50,3109.50,3109.50,0.00,Alphavantage
2009-12-15,51.12,51.12,51.12,51.12,0.00,Alphavantage
2009-12-16,51.06,51.16,51.06,50.94,1171.00,Alphavantage
2009-12-17,51.77,51.78,51.66,51.76,2574.00,Alphavantage
2009-12-18,3233.50,3233.50,3233.50,3233.50,0.00,Alphavantage
2009-12-21,3221.00,3224.00,3221.00,3229.50,2000.00,Alphavantage
2009-12-22,51.96,52.20,51.96,52.11,3844.00,Alphavantage
2009-12-23,3250.50,3250.50,3250.50,3250.50,0.00,Alphavantage
2009-12-24,3219.00,3219.00,3219.00,3219.00,0.00,Alphavantage
2009-12-29,51.50,51.50,51.50,51.50,0.00,Alphavantage
2009-12-30,3259.00,3259.00,3249.00,3233.00,914.00,Alphavantage
2009-12-31,51.52,51.52,51.52,51.49,2850.00,Alphavantage
2010-01-04,51.42,51.42,51.42,51.42,0.00,Alphavantage
2010-01-05,51.48,51.48,51.48,51.55,2176.00,Alphavantage
2010-01-06,3214.50,3214.50,3214.50,3214.50,0.00,Alphavantage
2010-01-07,51.82,51.83,51.82,51.83,1543.00,Alphavantage
2010-01-08,3239.00,3239.00,3239.00,3239.00,0.00,Alphavantage
2010-01-11,3156.00,3156.00,3156.00,3154.00,316.00,Alphavantage
2010-01-12,3167.00,3167.00,3157.00,3153.00,599.00,Alphavantage
2010-01-13,3127.00,3127.00,3127.00,3144.50,328.00,Alphavantage
2010-01-14,51.16,51.16,51.16,51.22,1910.00,Alphavantage
2010-01-15,3170.00,3172.00,3170.00,3174.00,328.00,Alphavantage
2010-01-18,3154.00,3154.00,3154.00,3154.00,0.00,Alphavantage
2010-01-19,3140.00,3141.00,3140.00,3177.00,500.00,Alphavantage
2010-01-20,3227.00,3227.00,3227.00,3223.00,230.00,Alphavantage
2010-01-21,52.66,52.77,52.65,52.70,5700.00,Alphavantage
2010-01-22,52.35,52.35,52.35,52.30,1863.00,Alphavantage
2010-01-25,3242.00,3242.00,3242.00,3227.50,900.00,Alphavantage
2010-01-26,52.62,52.73,52.60,52.58,3202.00,Alphavantage
2010-01-27,52.66,52.83,52.66,52.72,397.00,Alphavantage
2010-01-28,3290.00,3290.00,3290.00,3290.00,0.00,Alphavantage
2010-01-29,3334.00,3334.00,3334.00,3334.00,0.00,Alphavantage
2010-02-01,3341.50,3341.50,3341.50,3341.50,0.00,Alphavantage
2010-02-02,3324.00,3324.00,3324.00,3324.00,0.00,Alphavantage
2010-02-03,3341.50,3341.50,3341.50,3341.50,0.00,Alphavantage
2010-02-04,3407.95,3407.95,3407.95,3412.50,145.00,Alphavantage
2010-02-05,3454.94,3471.96,3430.95,3475.00,7709.00,Alphavantage
2010-02-08,3471.00,3477.97,3452.00,3453.50,8062.00,Alphavantage
2010-02-09,3445.00,3461.96,3442.95,3446.00,3752.00,Alphavantage
2010-02-10,3472.00,3472.00,3417.05,3461.50,892.00,Alphavantage
2010-02-11,3442.94,3484.95,3442.94,3468.00,1530.00,Alphavantage
2010-02-12,3474.00,3508.95,3453.05,3474.00,2132.00,Alphavantage
2010-02-15,3470.95,3474.95,3466.94,3474.50,480.00,Alphavantage
2010-02-16,3465.00,3465.00,3444.95,3428.50,1452.00,Alphavantage
2010-02-17,3413.00,3418.05,3390.05,3465.50,4744.00,Alphavantage
2010-02-18,3488.00,3500.93,3477.95,3488.00,19636.00,Alphavantage
2010-02-19,3558.00,3566.93,3549.05,3546.00,1554.00,Alphavantage
2010-02-22,3510.00,3517.93,3502.07,3516.50,4073.00,Alphavantage
2010-02-23,3527.00,3540.92,3476.10,3534.50,4021.00,Alphavantage
2010-02-24,3537.50,3537.50,3530.50,3530.25,800.00,Alphavantage
2010-02-25,3584.50,3603.92,3581.93,3606.50,2424.00,Alphavantage
2010-02-26,3579.95,3579.95,3565.94,3552.25,610.00,Alphavantage
2010-03-01,3595.50,3700.50,3584.42,3652.25,6474.00,Alphavantage
2010-03-02,3672.45,3691.06,3644.55,3654.50,1242.00,Alphavantage
2010-03-03,3597.50,3629.04,3567.04,3568.75,10595.00,Alphavantage
2010-03-04,3601.06,3617.96,3573.54,3626.00,2070.00,Alphavantage
2010-03-05,3603.00,3624.96,3603.00,3586.25,493.00,Alphavantage
2010-03-08,3603.50,3603.50,3563.04,3606.25,3650.00,Alphavantage
2010-03-09,3644.04,3646.53,3627.96,3637.75,8716.00,Alphavantage
2010-03-10,3609.50,3666.97,3609.50,3615.75,1043.00,Alphavantage
2010-03-11,3589.50,3622.42,3589.50,3592.00,1464.00,Alphavantage
2010-03-12,3542.50,3577.83,3535.05,3535.00,12429.00,Alphavantage
2010-03-15,3584.00,3593.50,3547.07,3597.63,2277.00,Alphavantage
2010-03-16,3531.25,3588.31,3531.25,3536.75,2312.00,Alphavantage
2010-03-17,3509.50,3521.57,3495.03,3508.25,1082.00,Alphavantage
2010-03-18,3535.50,3572.50,3535.50,3561.13,4380.00,Alphavantage
2010-03-19,3587.00,3644.50,3519.96,3641.88,3454.00,Alphavantage
2010-03-22,3648.50,3651.05,3630.00,3611.25,2658.00,Alphavantage
2010-03-23,3629.50,3655.43,3629.50,3628.00,930.00,Alphavantage
2010-03-24,3698.00,3710.00,3690.93,3720.25,1194.00,Alphavantage
2010-03-25,3700.00,3720.00,3696.58,3720.50,382.00,Alphavantage
2010-03-26,3704.50,3726.56,3697.00,3706.75,6696.00,Alphavantage
2010-03-29,3665.00,3665.00,3653.55,3664.75,3390.00,Alphavantage
2010-03-30,3645.90,3646.19,3628.46,3648.50,4340.00,Alphavantage
2010-03-31,3658.62,3658.62,3576.23,3598.13,543.00,Alphavantage
2010-04-01,3597.28,3597.28,3597.28,3565.20,56.00,Alphavantage
2010-04-06,3627.98,3627.98,3627.98,3624.85,16.00,Alphavantage
2010-04-07,3630.40,3630.40,3630.40,3630.40,0.00,Alphavantage
2010-04-08,3666.42,3666.42,3666.42,3628.75,408.00,Alphavantage
2010-04-09,3560.50,3598.52,3560.50,3560.50,825.00,Alphavantage
2010-04-12,3524.60,3526.87,3510.97,3531.75,5688.00,Alphavantage
2010-04-13,3530.30,3539.00,3527.68,3534.75,2094.00,Alphavantage
2010-04-14,3490.90,3507.46,3490.90,3486.40,1420.00,Alphavantage
2010-04-15,3513.10,3513.10,3513.10,3513.10,0.00,Alphavantage
2010-04-16,3548.50,3548.50,3548.50,3548.50,0.00,Alphavantage
2010-04-19,3619.00,3619.00,3582.93,3585.00,1420.00,Alphavantage
2010-04-20,3576.00,3576.00,3576.00,3576.00,0.00,Alphavantage
2010-04-21,3584.00,3584.00,3584.00,3584.00,0.00,Alphavantage
2010-04-22,3610.00,3610.00,3610.00,3610.00,0.00,Alphavantage
2010-04-23,3598.00,3598.00,3598.00,3598.00,0.00,Alphavantage
2010-04-26,3574.00,3574.00,3574.00,3574.00,0.00,Alphavantage
2010-04-27,3613.00,3616.93,3613.00,3630.00,6068.00,Alphavantage
2010-04-28,3691.00,3692.93,3666.92,3695.00,888.00,Alphavantage
2010-04-29,3648.00,3686.92,3648.00,3648.00,389.00,Alphavantage
2010-04-30,3614.00,3623.94,3614.00,3625.00,437.00,Alphavantage
2010-05-04,3736.00,3749.00,3714.94,3742.00,1674.00,Alphavantage
2010-05-05,3761.00,3791.00,3747.05,3793.00,0.00,Alphavantage
2010-05-06,3829.00,3884.00,3822.94,3887.00,7869.00,Alphavantage
2010-05-07,3960.00,3989.72,3915.00,3949.00,16687.00,Alphavantage
2010-05-10,3825.00,3830.91,3761.00,3826.00,13559.00,Alphavantage
2010-05-11,3904.00,3947.92,3899.00,3884.00,3186.00,Alphavantage
2010-05-12,3893.00,3932.00,3893.00,3926.00,3324.00,Alphavantage
2010-05-13,3985.00,3985.00,3891.08,4000.00,2660.00,Alphavantage
2010-05-14,4040.00,4106.84,4025.00,4089.00,26614.00,Alphavantage
2010-05-17,4157.00,4178.93,4086.06,4139.00,18994.00,Alphavantage
2010-05-18,4100.00,4131.94,4081.06,4117.00,32483.00,Alphavantage
2010-05-19,4170.00,4244.93,4143.94,4162.00,5568.00,Alphavantage
2010-05-20,4134.00,4189.00,4123.06,4141.00,7229.00,Alphavantage
2010-05-21,4067.00,4118.87,4048.30,4056.00,6326.00,Alphavantage
2010-05-24,4099.00,4135.94,4057.93,4116.00,7458.00,Alphavantage
2010-05-25,4177.00,4218.94,4177.00,4192.00,23842.00,Alphavantage
2010-05-26,4143.00,4174.00,4137.06,4187.00,2784.00,Alphavantage
2010-05-27,4106.00,4163.94,4103.00,4113.00,2049.00,Alphavantage
2010-05-28,4069.00,4132.00,4062.06,4131.00,5227.00,Alphavantage
2010-06-01,4165.00,4198.93,4094.00,4068.00,3049.00,Alphavantage
2010-06-02,4080.00,4141.00,4080.00,4125.00,2505.00,Alphavantage
2010-06-03,4056.94,4130.00,4056.94,4124.00,500.00,Alphavantage
2010-06-04,4119.00,4215.00,4108.94,4225.00,5600.00,Alphavantage
2010-06-07,4267.00,4281.09,4225.84,4247.00,24553.00,Alphavantage
2010-06-08,4230.00,4296.02,4228.87,4259.00,10817.00,Alphavantage
2010-06-09,4199.00,4249.63,4170.00,4173.00,4891.00,Alphavantage
2010-06-10,4133.00,4188.94,4132.94,4137.00,8013.00,Alphavantage
2010-06-11,4193.00,4193.00,4118.25,4194.00,4584.00,Alphavantage
2010-06-14,4078.00,4111.73,4050.93,4042.00,4670.00,Alphavantage
2010-06-15,4085.94,4098.19,4020.51,4027.00,2677.00,Alphavantage
2010-06-16,4026.00,4049.07,4015.30,4020.00,2093.00,Alphavantage
2010-06-17,4043.00,4087.94,3997.73,4010.00,3105.00,Alphavantage
2010-06-18,4002.00,4008.73,3979.50,4015.00,4310.00,Alphavantage
2010-06-21,3972.00,4011.86,3957.48,3997.00,8302.00,Alphavantage
2010-06-22,4047.00,4069.94,4039.07,4017.00,1853.00,Alphavantage
2010-06-23,4008.00,4035.67,4003.06,4034.00,1705.00,Alphavantage
2010-06-24,3990.00,4001.06,3983.06,3979.00,1569.00,Alphavantage
