date,open,high,low,close,volume
2009-03-23,18.24,18.24,18.24,18.41,100.00,Alphavantage
2009-03-24,18.24,18.24,18.24,17.98,100.00,Alphavantage
2009-03-25,18.24,18.24,18.24,18.05,0.00,Alphavantage
2009-03-26,18.24,18.24,18.24,18.43,0.00,Alphavantage
2009-03-27,18.24,18.24,18.24,18.65,0.00,Alphavantage
2009-03-30,18.24,18.24,18.24,18.65,0.00,Alphavantage
2009-03-31,18.24,18.24,18.24,17.76,0.00,Alphavantage
2009-04-01,18.24,18.24,18.24,18.05,0.00,Alphavantage
2009-04-02,18.24,18.24,18.24,18.13,0.00,Alphavantage
2009-04-03,18.24,18.24,18.24,17.74,0.00,Alphavantage
2009-04-06,18.24,18.24,18.24,18.61,0.00,Alphavantage
2009-04-07,18.24,18.24,18.24,18.99,0.00,Alphavantage
2009-04-08,18.24,18.24,18.24,18.92,0.00,Alphavantage
2009-04-09,18.24,18.24,18.24,19.18,0.00,Alphavantage
2009-04-14,18.24,18.24,18.24,19.02,0.00,Alphavantage
2009-04-15,18.24,18.24,18.24,19.10,0.00,Alphavantage
2009-04-16,18.24,18.24,18.24,19.77,0.00,Alphavantage
2009-04-17,18.24,18.24,18.24,20.14,0.00,Alphavantage
2009-04-20,20.21,20.21,20.21,19.70,900.00,Alphavantage
2009-04-21,20.21,20.21,20.21,19.54,0.00,Alphavantage
2009-04-22,20.21,20.21,20.21,20.04,0.00,Alphavantage
2009-04-23,20.21,20.21,20.21,19.12,0.00,Alphavantage
2009-04-24,20.21,20.21,20.21,19.64,0.00,Alphavantage
2009-04-27,20.21,20.21,20.21,19.42,0.00,Alphavantage
2009-04-28,20.21,20.21,20.21,19.48,0.00,Alphavantage
2009-04-29,20.21,20.21,20.21,19.45,0.00,Alphavantage
2009-04-30,20.21,20.21,20.21,19.34,0.00,Alphavantage
2009-05-01,20.21,20.21,20.21,19.00,0.00,Alphavantage
2009-05-05,19.96,20.04,19.58,19.71,2961.00,Alphavantage
2009-05-06,20.41,20.59,20.30,20.24,2328.00,Alphavantage
2009-05-07,20.41,20.59,20.30,20.05,2328.00,Alphavantage
2009-05-08,20.35,20.43,20.35,20.13,9742.00,Alphavantage
2009-05-11,20.35,20.43,20.35,20.22,0.00,Alphavantage
2009-05-12,20.21,20.21,20.21,20.12,28.00,Alphavantage
2009-05-13,20.21,20.21,20.21,20.00,28.00,Alphavantage
2009-05-14,20.21,20.21,20.21,20.13,0.00,Alphavantage
2009-05-15,20.21,20.21,20.21,20.01,0.00,Alphavantage
2009-05-18,20.34,20.34,20.34,20.36,100.00,Alphavantage
2009-05-19,20.34,20.34,20.34,20.07,0.00,Alphavantage
2009-05-20,20.34,20.34,20.34,20.02,0.00,Alphavantage
2009-05-21,20.34,20.34,20.34,19.69,0.00,Alphavantage
2009-05-22,20.34,20.34,20.34,19.61,0.00,Alphavantage
2009-05-26,20.34,20.34,20.34,20.50,0.00,Alphavantage
2009-05-27,20.34,20.34,20.34,20.34,0.00,Alphavantage
2009-05-28,20.34,20.34,20.34,20.32,1544.00,Alphavantage
2009-05-29,20.54,20.68,20.54,20.30,1544.00,Alphavantage
2009-06-01,21.32,21.32,21.32,21.07,2600.00,Alphavantage
2009-06-02,21.58,21.64,21.58,21.36,2290.00,Alphavantage
2009-06-03,21.90,21.90,21.90,21.60,500.00,Alphavantage
2009-06-04,21.90,21.90,21.90,22.14,0.00,Alphavantage
2009-06-05,21.90,21.90,21.90,22.51,0.00,Alphavantage
2009-06-08,21.86,21.98,21.86,21.92,2880.00,Alphavantage
2009-06-09,21.86,21.98,21.86,21.60,2880.00,Alphavantage
2009-06-10,21.47,21.47,21.47,21.73,200.00,Alphavantage
2009-06-11,21.47,21.47,21.47,21.88,0.00,Alphavantage
2009-06-12,21.47,21.47,21.47,21.78,0.00,Alphavantage
2009-06-15,21.47,21.47,21.47,22.09,0.00,Alphavantage
2009-06-16,21.47,21.47,21.47,21.72,0.00,Alphavantage
2009-06-17,21.47,21.47,21.47,21.82,0.00,Alphavantage
2009-06-18,21.91,21.91,21.91,21.63,100.00,Alphavantage
2009-06-19,21.91,21.91,21.91,21.62,100.00,Alphavantage
2009-06-22,20.52,20.52,20.52,20.82,100.00,Alphavantage
2009-06-23,20.52,20.52,20.52,20.56,100.00,Alphavantage
2009-06-24,20.52,20.52,20.52,20.96,0.00,Alphavantage
