date,open,high,low,close,volume
2013-10-02,8517.00,8520.00,8510.00,8504.50,5125.00,Alphavantage
2013-10-03,8504.50,8504.50,8504.50,8504.50,0.00,Alphavantage
2013-10-04,8504.50,8504.50,8504.50,8504.50,0.00,Alphavantage
2013-10-07,8504.50,8504.50,8504.50,8504.50,0.00,Alphavantage
2013-10-08,8426.50,8426.50,8426.50,8426.50,0.00,Alphavantage
2013-10-09,8404.50,8404.50,8404.50,8404.50,0.00,Alphavantage
2013-10-10,8488.00,8493.00,8488.00,8509.50,910.00,Alphavantage
2013-10-11,8584.00,8584.00,8570.00,8576.50,34.00,Alphavantage
2013-10-14,8577.00,8577.00,8577.00,8577.00,0.00,Alphavantage
2013-10-15,8590.00,8590.00,8590.00,8590.00,0.00,Alphavantage
2013-10-16,8661.00,8661.00,8661.00,8661.00,0.00,Alphavantage
2013-10-17,8672.00,8672.00,8672.00,8672.00,0.00,Alphavantage
2013-10-18,8776.00,8776.00,8776.00,8776.00,0.00,Alphavantage
2013-10-21,8834.00,8834.00,8833.00,8827.00,110.00,Alphavantage
2013-10-22,8833.00,8833.00,8833.00,8833.00,0.00,Alphavantage
2013-10-23,8817.00,8817.00,8817.00,8817.00,0.00,Alphavantage
2013-10-24,8853.50,8853.50,8853.50,8853.50,0.00,Alphavantage
2013-10-25,8864.00,8864.00,8864.00,8864.00,0.00,Alphavantage
2013-10-28,8907.50,8907.50,8907.50,8907.50,0.00,Alphavantage
2013-10-29,8938.50,8938.50,8938.50,8938.50,0.00,Alphavantage
2013-10-30,8958.50,8958.50,8958.50,8958.50,0.00,Alphavantage
2013-10-31,8896.00,8896.00,8896.00,8889.00,2150.00,Alphavantage
2013-11-01,8876.00,8876.00,8876.00,8876.00,0.00,Alphavantage
2013-11-04,8911.50,8911.50,8911.50,8911.50,0.00,Alphavantage
2013-11-05,8852.00,8852.00,8852.00,8852.00,0.00,Alphavantage
2013-11-06,8914.00,8914.00,8914.00,8914.00,0.00,Alphavantage
2013-11-07,8840.00,8840.00,8840.00,8840.00,0.00,Alphavantage
2013-11-08,8816.00,8816.00,8816.00,8816.00,0.00,Alphavantage
2013-11-11,8876.50,8876.50,8876.50,8876.50,0.00,Alphavantage
2013-11-12,8833.50,8833.50,8833.50,8833.50,0.00,Alphavantage
2013-11-13,8773.00,8773.00,8773.00,8773.00,0.00,Alphavantage
2013-11-14,8809.00,8809.00,8809.00,8809.00,0.00,Alphavantage
2013-11-15,8834.00,8834.00,8834.00,8834.00,0.00,Alphavantage
2013-11-18,8873.00,8873.00,8873.00,8873.00,0.00,Alphavantage
2013-11-19,8822.00,8822.00,8822.00,8822.00,0.00,Alphavantage
2013-11-20,8745.00,8745.00,8745.00,8745.00,0.00,Alphavantage
2013-11-21,8733.00,8733.00,8733.00,8733.00,0.00,Alphavantage
2013-11-22,8754.00,8754.00,8754.00,8754.00,0.00,Alphavantage
2013-11-25,8797.00,8797.00,8797.00,8797.00,0.00,Alphavantage
2013-11-26,8770.00,8770.00,8770.00,8770.00,0.00,Alphavantage
2013-11-27,8762.00,8762.00,8762.00,8762.00,0.00,Alphavantage
2013-11-28,8774.00,8776.00,8774.00,8758.00,3700.00,Alphavantage
2013-11-29,8733.00,8733.00,8733.00,8733.00,0.00,Alphavantage
2013-12-02,8679.00,8679.00,8679.00,8679.00,0.00,Alphavantage
2013-12-03,8582.00,8582.00,8582.00,8582.00,0.00,Alphavantage
2013-12-04,8539.50,8539.50,8539.50,8539.50,0.00,Alphavantage
2013-12-05,8544.50,8544.50,8544.50,8544.50,0.00,Alphavantage
2013-12-06,8565.50,8565.50,8565.50,8565.50,0.00,Alphavantage
2013-12-09,8559.00,8559.00,8559.00,8559.00,0.00,Alphavantage
2013-12-10,8495.50,8495.50,8495.50,8495.50,0.00,Alphavantage
2013-12-11,8504.50,8504.50,8504.50,8504.50,0.00,Alphavantage
2013-12-12,8441.00,8441.00,8441.00,8441.00,0.00,Alphavantage
2013-12-13,8459.50,8459.50,8459.50,8459.50,0.00,Alphavantage
2013-12-16,8532.50,8532.50,8532.50,8532.50,0.00,Alphavantage
2013-12-17,8564.00,8564.00,8564.00,8543.50,1050.00,Alphavantage
2013-12-18,8512.50,8512.50,8512.50,8512.50,0.00,Alphavantage
2013-12-19,8570.50,8570.50,8570.50,8570.50,0.00,Alphavantage
2013-12-20,8644.00,8644.00,8602.00,8630.50,104.00,Alphavantage
2013-12-23,8709.50,8709.50,8709.50,8709.50,0.00,Alphavantage
2013-12-24,8709.50,8709.50,8709.50,8709.50,0.00,Alphavantage
2013-12-27,8800.00,8800.00,8800.00,8791.50,530.00,Alphavantage
2013-12-30,8796.00,8796.00,8796.00,8796.00,0.00,Alphavantage
2013-12-31,8796.00,8796.00,8796.00,8796.00,0.00,Alphavantage
2014-01-02,8705.50,8705.50,8705.50,8705.50,0.00,Alphavantage
2014-01-03,8739.00,8739.00,8739.00,8739.00,0.00,Alphavantage
2014-01-06,8738.00,8738.00,8738.00,8738.00,0.00,Alphavantage
2014-01-07,8728.00,8728.00,8728.00,8728.00,0.00,Alphavantage
2014-01-08,8639.50,8639.50,8639.50,8639.50,0.00,Alphavantage
2014-01-09,8633.50,8633.50,8633.50,8633.50,0.00,Alphavantage
2014-01-10,8721.00,8721.00,8721.00,8721.00,0.00,Alphavantage
2014-01-13,8767.00,8768.00,8767.00,8738.00,226.00,Alphavantage
2014-01-14,8751.00,8751.00,8751.00,8751.00,0.00,Alphavantage
2014-01-15,8771.00,8771.00,8771.00,8771.00,0.00,Alphavantage
2014-01-16,8798.00,8798.00,8798.00,8798.00,0.00,Alphavantage
2014-01-17,8766.00,8766.00,8766.00,8766.00,0.00,Alphavantage
2014-01-20,8796.00,8796.00,8796.00,8796.00,0.00,Alphavantage
2014-01-21,8780.00,8780.00,8780.00,8780.00,0.00,Alphavantage
2014-01-22,8756.00,8756.00,8756.00,8756.00,0.00,Alphavantage
2014-01-23,8718.00,8718.00,8718.00,8718.00,0.00,Alphavantage
2014-01-24,8627.50,8627.50,8627.50,8627.50,0.00,Alphavantage
2014-01-27,8545.50,8545.50,8545.50,8545.50,0.00,Alphavantage
2014-01-28,8551.50,8551.50,8551.50,8551.50,0.00,Alphavantage
2014-01-29,8481.50,8481.50,8481.50,8481.50,0.00,Alphavantage
2014-01-30,8451.50,8451.50,8451.50,8451.50,0.00,Alphavantage
2014-01-31,8438.00,8438.00,8438.00,8438.00,0.00,Alphavantage
2014-02-03,8451.50,8451.50,8451.50,8451.50,0.00,Alphavantage
2014-02-04,8380.00,8380.00,8380.00,8380.00,0.00,Alphavantage
2014-02-05,8396.00,8396.00,8396.00,8396.00,0.00,Alphavantage
2014-02-06,8529.50,8529.50,8529.50,8529.50,0.00,Alphavantage
2014-02-07,8549.50,8549.50,8549.50,8549.50,0.00,Alphavantage
2014-02-10,8599.00,8599.00,8599.00,8599.00,0.00,Alphavantage
2014-02-11,8659.00,8659.00,8659.00,8659.00,0.00,Alphavantage
2014-02-12,8593.50,8593.50,8593.50,8593.50,0.00,Alphavantage
2014-02-13,8585.00,8585.00,8585.00,8585.00,0.00,Alphavantage
2014-02-14,8601.50,8601.50,8601.50,8601.50,0.00,Alphavantage
2014-02-17,8655.00,8655.00,8655.00,8655.00,0.00,Alphavantage
2014-02-18,8680.00,8680.00,8680.00,8680.00,0.00,Alphavantage
2014-02-19,8692.00,8692.00,8692.00,8692.00,0.00,Alphavantage
