date,open,high,low,close,volume
2018-10-01,4331.0,4454.0,4319.5,4329.0,0,null
2018-11-01,4362.5,4398.5,4283.0,4311.0,0,null
2018-12-01,4270.0,4270.0,42.195,42.23,0,null
2019-01-01,4246.0,4419.5,4197.5,4410.5,0,null
2019-02-01,4385.5,4573.0,43.695,45.445,0,null
2019-03-01,4533.0,4585.0,4433.0,4475.5,0,null
2019-04-01,4511.0,4588.5,4470.5,4588.5,0,null
2019-05-01,4605.0,4652.5,4446.0,4446.0,0,null
2019-06-01,4427.0,4458.0,4347.5,4365.0,0,null
2019-07-01,4367.5,4377.0,4294.5,4337.5,0,null
2019-08-01,4332.5,4428.5,4260.0,4428.5,0,null
2019-09-01,4381.5,4427.5,4375.5,4399.0,0,null
