date,open,high,low,close,volume
2004-03-29,139.00,139.00,139.00,138.00,70.00,Alphavantage
2004-03-31,137.00,137.00,137.00,137.00,0.00,Alphavantage
2004-04-01,137.60,138.00,137.60,137.25,25000.00,Alphavantage
2004-04-02,136.90,137.79,136.90,136.50,18668.00,Alphavantage
2004-04-05,135.00,136.40,134.95,135.75,3799.00,Alphavantage
2004-04-06,136.40,136.01,135.44,135.81,4947.00,Alphavantage
2004-04-07,136.35,136.65,136.35,136.13,485.00,Alphavantage
2004-04-08,136.15,136.65,136.10,136.25,240.00,Alphavantage
2004-04-13,135.35,136.15,135.35,135.75,85.00,Alphavantage
2004-04-14,134.90,135.00,134.90,134.88,70.00,Alphavantage
2004-04-15,135.25,135.64,135.25,135.59,2327.00,Alphavantage
2004-04-16,135.25,136.00,135.25,135.72,20328.00,Alphavantage
2004-04-19,136.22,136.22,136.19,135.59,153.00,Alphavantage
2004-04-20,135.65,136.19,135.65,135.50,1333.00,Alphavantage
2004-04-21,135.00,135.65,134.75,135.50,1110.00,Alphavantage
2004-04-22,135.30,135.48,135.30,135.50,1001.00,Alphavantage
2004-04-23,136.05,136.05,135.30,135.30,150.00,Alphavantage
2004-04-26,135.56,135.72,135.56,135.51,186.00,Alphavantage
2004-04-27,135.75,136.15,135.70,135.50,1165.00,Alphavantage
2004-04-28,136.45,136.45,135.45,135.38,858.00,Alphavantage
2004-04-29,134.75,136.20,134.75,135.53,2450.00,Alphavantage
2004-04-30,135.00,135.70,135.00,135.50,901.00,Alphavantage
2004-05-04,136.40,136.45,136.30,135.93,3212.00,Alphavantage
2004-05-05,136.50,136.55,136.30,135.85,877.00,Alphavantage
2004-05-06,135.97,136.00,135.29,135.17,8799.00,Alphavantage
2004-05-07,135.00,135.12,134.85,134.30,4177.00,Alphavantage
2004-05-10,134.60,135.10,134.00,133.98,3086.00,Alphavantage
2004-05-11,134.07,134.07,134.07,133.81,45.00,Alphavantage
2004-05-12,134.07,134.24,133.61,133.75,2616.00,Alphavantage
2004-05-13,133.60,133.95,133.35,133.17,780.00,Alphavantage
2004-05-14,133.47,134.33,133.42,133.94,351.00,Alphavantage
2004-05-17,134.00,134.70,134.00,134.35,727.00,Alphavantage
2004-05-18,134.30,134.30,134.05,133.68,341.00,Alphavantage
2004-05-19,133.13,133.18,133.10,132.78,315.00,Alphavantage
2004-05-20,133.45,133.45,133.45,133.13,665.00,Alphavantage
2004-05-21,133.95,133.95,133.95,133.43,300.00,Alphavantage
2004-05-24,133.00,133.25,132.95,132.88,2101.00,Alphavantage
2004-05-25,133.60,133.60,133.60,133.35,1401.00,Alphavantage
2004-05-26,133.25,133.50,132.65,133.15,3010.00,Alphavantage
2004-05-27,134.15,134.15,134.10,133.75,108.00,Alphavantage
2004-05-28,133.75,133.88,133.69,133.42,626.00,Alphavantage
2004-06-01,133.32,133.32,133.32,133.25,2299.00,Alphavantage
2004-06-02,132.03,132.03,131.25,131.34,6042.00,Alphavantage
2004-06-03,131.98,132.20,131.25,131.21,89.00,Alphavantage
2004-06-04,131.77,131.77,131.77,131.39,297.00,Alphavantage
2004-06-07,131.87,131.87,131.82,131.55,106.00,Alphavantage
2004-06-08,132.12,132.12,132.12,131.66,7.00,Alphavantage
2004-06-09,132.41,132.41,132.15,131.27,343.00,Alphavantage
2004-06-10,131.63,131.95,131.63,131.54,6221.00,Alphavantage
2004-06-11,132.00,132.00,131.72,131.55,4803.00,Alphavantage
2004-06-14,131.75,131.75,130.75,131.47,293.00,Alphavantage
2004-06-15,131.70,131.70,131.70,132.14,391.00,Alphavantage
2004-06-16,132.70,132.70,132.70,132.10,432.00,Alphavantage
2004-06-17,132.45,132.45,131.25,131.72,331.00,Alphavantage
2004-06-18,132.50,132.50,132.50,132.83,1375.00,Alphavantage
2004-06-21,132.95,132.95,132.95,132.54,163.00,Alphavantage
2004-06-22,133.00,133.00,132.95,132.55,267.00,Alphavantage
2004-06-23,133.10,133.15,132.95,132.65,542.00,Alphavantage
2004-06-24,133.45,133.50,133.45,133.04,47.00,Alphavantage
2004-06-25,133.75,133.75,132.85,133.14,990.00,Alphavantage
2004-06-28,133.66,133.66,133.43,133.00,188.00,Alphavantage
2004-06-29,132.75,133.15,132.35,132.67,89.00,Alphavantage
2004-06-30,133.47,134.00,133.47,133.23,930.00,Alphavantage
2004-07-01,133.80,133.90,133.80,133.69,984.00,Alphavantage
2004-07-02,134.18,135.45,134.18,134.75,548.00,Alphavantage
