date,open,high,low,close,volume
2011-01-24,1545.00,1545.00,1545.00,1566.00,100.00,Alphavantage
2011-01-25,1566.00,1566.00,1566.00,1566.00,0.00,Alphavantage
2011-01-26,1566.00,1566.00,1566.00,1566.00,0.00,Alphavantage
2011-01-27,1566.00,1566.00,1566.00,1566.00,0.00,Alphavantage
2011-01-28,1545.00,1545.00,1545.00,1545.00,225.00,Alphavantage
2011-01-31,1545.00,1545.00,1545.00,1545.00,0.00,Alphavantage
2011-02-01,1565.00,1565.00,1565.00,1565.00,0.00,Alphavantage
2011-02-02,1556.00,1556.00,1556.00,1556.00,1761.00,Alphavantage
2011-02-03,1554.00,1554.00,1554.00,1554.00,0.00,Alphavantage
2011-02-04,1562.00,1562.00,1562.00,1562.00,0.00,Alphavantage
2011-02-07,1574.00,1574.00,1564.00,1561.00,3900.00,Alphavantage
2011-02-08,1571.00,1571.00,1571.00,1571.00,0.00,Alphavantage
2011-02-09,1559.00,1559.00,1559.00,1565.00,6365.00,Alphavantage
2011-02-10,1534.00,1540.00,1534.00,1529.00,7486.00,Alphavantage
2011-02-11,1522.00,1522.00,1522.00,1539.00,120.00,Alphavantage
2011-02-14,1510.50,1510.50,1510.50,1510.50,0.00,Alphavantage
2011-02-15,1521.00,1521.00,1510.00,1507.50,1192.00,Alphavantage
2011-02-16,1524.00,1526.00,1524.00,1522.50,1343.00,Alphavantage
2011-02-17,1497.50,1497.50,1497.50,1497.50,0.00,Alphavantage
2011-02-18,1482.00,1501.00,1482.00,1501.00,10200.00,Alphavantage
2011-02-21,1489.50,1489.50,1489.50,1489.50,0.00,Alphavantage
2011-02-22,1489.50,1489.50,1489.50,1489.50,0.00,Alphavantage
2011-02-23,1496.00,1496.00,1496.00,1492.00,1300.00,Alphavantage
2011-02-24,1495.50,1495.50,1495.50,1495.50,0.00,Alphavantage
2011-02-25,1504.50,1504.50,1504.50,1504.50,0.00,Alphavantage
2011-02-28,1516.50,1516.50,1516.50,1516.50,0.00,Alphavantage
2011-03-01,1500.50,1500.50,1500.50,1500.50,0.00,Alphavantage
2011-03-02,1512.50,1512.50,1512.50,1512.50,0.00,Alphavantage
2011-03-03,1547.50,1547.50,1547.50,1547.50,0.00,Alphavantage
2011-03-04,1567.00,1572.00,1567.00,1566.50,1830.00,Alphavantage
2011-03-07,1590.50,1590.50,1590.50,1590.50,0.00,Alphavantage
2011-03-08,1590.50,1590.50,1590.50,1590.50,0.00,Alphavantage
2011-03-09,1572.50,1572.50,1572.50,1572.50,0.00,Alphavantage
2011-03-10,1546.50,1546.50,1546.50,1546.50,0.00,Alphavantage
2011-03-11,1539.50,1539.50,1539.50,1539.50,0.00,Alphavantage
2011-03-14,1539.00,1559.00,1539.00,1540.00,10736.00,Alphavantage
2011-03-15,1530.00,1530.00,1530.00,1533.00,315.00,Alphavantage
2011-03-16,1533.00,1533.00,1533.00,1533.00,0.00,Alphavantage
2011-03-17,1532.00,1532.00,1532.00,1532.00,0.00,Alphavantage
2011-03-18,1560.00,1560.00,1560.00,1554.00,100.00,Alphavantage
2011-03-21,1579.50,1579.50,1579.50,1579.50,0.00,Alphavantage
2011-03-22,1555.50,1555.50,1555.50,1555.50,0.00,Alphavantage
2011-03-23,1570.00,1570.00,1570.00,1555.00,350.00,Alphavantage
2011-03-24,1583.00,1583.00,1583.00,1582.50,826.00,Alphavantage
2011-03-25,1610.50,1610.50,1610.50,1610.50,0.00,Alphavantage
2011-03-28,1626.50,1626.50,1626.50,1626.50,0.00,Alphavantage
2011-03-29,1620.50,1620.50,1620.50,1620.50,0.00,Alphavantage
2011-03-30,1609.50,1609.50,1609.50,1609.50,0.00,Alphavantage
2011-03-31,1609.50,1609.50,1609.50,1609.50,0.00,Alphavantage
2011-04-01,1644.50,1644.50,1644.50,1644.50,0.00,Alphavantage
2011-04-04,1651.00,1654.00,1644.50,1648.50,101095.00,Alphavantage
2011-04-05,1631.00,1631.00,1631.00,1647.50,850.00,Alphavantage
2011-04-06,1655.00,1655.00,1655.00,1690.50,950.00,Alphavantage
2011-04-07,1686.00,1686.00,1686.00,1683.50,1300.00,Alphavantage
2011-04-08,1704.00,1704.00,1704.00,1704.00,1560.00,Alphavantage
2011-04-11,1706.00,1706.00,1682.00,1683.50,1366.00,Alphavantage
2011-04-12,1683.00,1683.00,1683.00,1678.50,300.00,Alphavantage
2011-04-13,1712.00,1712.00,1712.00,1709.50,2042.00,Alphavantage
2011-04-14,1698.00,1698.00,1698.00,1697.50,7286.00,Alphavantage
2011-04-15,1705.50,1705.50,1705.50,1705.50,0.00,Alphavantage
2011-04-18,1677.00,1677.00,1641.00,1640.00,12582.00,Alphavantage
2011-04-19,1660.50,1660.50,1660.50,1660.50,0.00,Alphavantage
2011-04-20,1700.00,1700.00,1700.00,1702.50,10000.00,Alphavantage
2011-04-21,1702.00,1702.00,1688.00,1687.50,20800.00,Alphavantage
2011-04-26,1720.00,1720.00,1720.00,1718.00,1800.00,Alphavantage
2011-04-27,1715.00,1721.00,1715.00,1708.50,10802.00,Alphavantage
2011-04-28,1717.00,1717.00,1717.00,1717.00,0.00,Alphavantage
2011-05-03,1720.00,1735.00,1715.00,1729.00,40199.00,Alphavantage
2011-05-04,1734.00,1734.00,1719.00,1708.50,13900.00,Alphavantage
2011-05-05,1681.00,1681.00,1681.00,1674.50,850.00,Alphavantage
2011-05-06,1679.50,1679.50,1679.50,1679.50,0.00,Alphavantage
2011-05-09,1681.00,1681.00,1680.00,1649.50,20002.00,Alphavantage
2011-05-10,1664.00,1678.00,1664.00,1673.50,21473.00,Alphavantage
2011-05-11,1663.00,1663.00,1657.00,1652.50,45006.00,Alphavantage
2011-05-12,1638.00,1648.00,1638.00,1647.00,33276.00,Alphavantage
2011-05-13,1643.00,1643.00,1643.00,1643.00,0.00,Alphavantage
2011-05-16,1660.00,1660.00,1660.00,1655.00,822.00,Alphavantage
2011-05-17,1635.00,1635.00,1635.00,1635.00,0.00,Alphavantage
2011-05-18,1662.00,1662.00,1662.00,1662.00,0.00,Alphavantage
2011-05-19,1675.00,1675.00,1664.00,1664.00,11100.00,Alphavantage
2011-05-20,1661.00,1661.00,1661.00,1655.00,11922.00,Alphavantage
2011-05-23,1614.00,1614.00,1614.00,1615.00,350.00,Alphavantage
2011-05-24,1626.00,1626.00,1626.00,1628.50,1386.00,Alphavantage
2011-05-25,1627.50,1627.50,1627.50,1627.50,0.00,Alphavantage
2011-05-26,1621.00,1621.00,1621.00,1621.00,0.00,Alphavantage
2011-05-27,1636.00,1640.00,1635.00,1643.00,30776.00,Alphavantage
2011-05-31,19.24,19.24,19.24,19.24,0.00,Alphavantage
2011-06-01,19.16,19.16,19.16,19.16,0.00,Alphavantage
2011-06-02,19.17,19.17,19.05,19.05,100.00,Alphavantage
2011-06-03,19.08,19.08,19.08,19.08,0.00,Alphavantage
2011-06-06,19.07,19.12,19.03,19.03,10500.00,Alphavantage
2011-06-07,19.14,19.21,19.14,19.20,587.00,Alphavantage
2011-06-08,19.21,19.21,19.06,19.06,660.00,Alphavantage
2011-06-09,19.03,19.07,19.03,19.07,150.00,Alphavantage
2011-06-10,18.94,18.94,18.94,18.94,0.00,Alphavantage
2011-06-13,19.11,19.11,19.02,19.02,150.00,Alphavantage
2011-06-14,19.20,19.20,19.20,19.20,0.00,Alphavantage
2011-06-15,19.22,19.22,19.06,19.06,30.00,Alphavantage
2011-06-16,19.06,19.06,19.06,19.06,0.00,Alphavantage
2011-06-17,19.06,19.06,19.06,19.06,0.00,Alphavantage
2011-06-20,18.79,18.89,18.73,18.73,480.00,Alphavantage
2011-06-21,18.71,18.81,18.71,18.79,1262.00,Alphavantage
2011-06-22,18.72,18.72,18.53,18.53,1330.00,Alphavantage
2011-06-23,18.53,18.53,18.53,18.53,0.00,Alphavantage
2011-06-24,18.57,18.57,18.45,18.45,231.00,Alphavantage
2011-06-27,18.62,18.62,18.00,18.25,1016.00,Alphavantage
2011-06-28,18.33,18.35,18.24,18.33,565.00,Alphavantage
2011-06-29,18.45,18.64,18.44,18.64,12425.00,Alphavantage
2011-06-30,18.69,18.69,18.54,18.59,1820.00,Alphavantage
2011-07-01,18.68,18.68,18.58,18.58,1864.00,Alphavantage
2011-07-04,18.85,18.88,18.72,18.72,1815.00,Alphavantage
2011-07-05,18.80,18.84,18.78,18.81,7105.00,Alphavantage
2011-07-06,18.78,18.78,18.60,18.64,5317.00,Alphavantage
2011-07-07,19.07,19.07,19.04,19.04,520.00,Alphavantage
2011-07-08,19.05,19.05,19.01,19.01,1345.00,Alphavantage
2011-07-11,18.99,18.99,18.39,18.39,788.00,Alphavantage
2011-07-12,17.87,18.05,17.73,18.05,2215.00,Alphavantage
2011-07-13,18.18,18.18,18.09,18.09,1111.00,Alphavantage
2011-07-14,18.01,18.21,18.01,18.20,2001.00,Alphavantage
2011-07-15,18.05,18.14,18.05,18.11,5148.00,Alphavantage
2011-07-18,17.73,17.73,17.62,17.62,250.00,Alphavantage
2011-07-19,17.85,17.85,17.73,17.73,200.00,Alphavantage
2011-07-20,17.97,17.97,17.93,17.93,100.00,Alphavantage
2011-07-21,18.08,18.08,17.90,17.90,300.00,Alphavantage
2011-07-22,18.29,18.30,18.29,18.30,200.00,Alphavantage
2011-07-25,18.04,18.14,18.04,18.14,2503.00,Alphavantage
2011-07-26,18.09,18.10,18.09,18.10,100.00,Alphavantage
2011-07-27,17.87,17.87,17.86,17.86,100.00,Alphavantage
2011-07-28,17.78,18.09,17.78,18.09,3250.00,Alphavantage
2011-07-29,17.89,18.06,17.89,18.06,501.00,Alphavantage
2011-08-01,18.41,18.43,18.04,18.04,3636.00,Alphavantage
2011-08-02,18.00,18.00,17.72,17.72,749.00,Alphavantage
2011-08-03,17.56,17.56,17.47,17.47,200.00,Alphavantage
2011-08-04,17.03,17.03,16.30,16.52,7220.00,Alphavantage
2011-08-05,15.82,15.95,15.40,15.89,1810.00,Alphavantage
2011-08-08,16.25,16.25,15.86,15.86,3650.00,Alphavantage
2011-08-09,15.13,15.13,15.06,15.06,2040.00,Alphavantage
2011-08-10,15.50,15.50,14.71,14.71,1164.00,Alphavantage
2011-08-11,13.97,14.69,13.60,14.69,4650.00,Alphavantage
2011-08-12,15.00,15.00,14.97,14.97,283.00,Alphavantage
2011-08-15,15.21,15.22,15.09,15.20,490.00,Alphavantage
2011-08-16,14.87,15.26,14.87,15.26,2695.00,Alphavantage
2011-08-17,15.41,15.41,15.41,15.41,0.00,Alphavantage
2011-08-18,15.12,15.12,14.06,14.06,6480.00,Alphavantage
2011-08-19,14.39,14.39,14.39,14.39,0.00,Alphavantage
2011-08-22,14.52,14.79,14.52,14.63,560.00,Alphavantage
2011-08-23,14.76,14.76,14.76,14.76,0.00,Alphavantage
2011-08-24,14.67,14.84,14.67,14.84,268.00,Alphavantage
2011-08-25,14.82,14.82,14.79,14.79,530.00,Alphavantage
2011-08-26,14.94,14.94,14.94,14.94,0.00,Alphavantage
2011-08-30,15.42,15.52,15.42,15.52,545.00,Alphavantage
2011-08-31,15.52,15.52,15.52,15.52,0.00,Alphavantage
