date,open,high,low,close,volume
2011-02-11,83.18,83.18,83.18,82.96,66,Alphavantage
2011-02-14,82.96,82.96,82.96,82.96,0,Alphavantage
2011-02-15,82.96,82.96,82.96,82.96,0,Alphavantage
2011-02-16,82.96,82.96,82.96,82.96,0,Alphavantage
2011-02-17,83.28,83.28,83.28,83.28,0,Alphavantage
2011-02-18,83.7,83.7,83.7,83.7,0,Alphavantage
2011-02-21,83.42,83.42,83.42,83.42,0,Alphavantage
2011-02-22,82.765,82.765,82.765,82.765,0,Alphavantage
2011-02-23,82.14,82.14,82.14,82.14,0,Alphavantage
2011-02-24,81.635,81.635,81.635,81.635,0,Alphavantage
2011-02-25,82.33,82.33,82.33,82.33,0,Alphavantage
2011-02-28,83.145,83.145,83.145,83.145,0,Alphavantage
2011-03-01,83.125,83.125,83.125,83.125,0,Alphavantage
2011-03-02,83.185,83.185,83.185,83.185,0,Alphavantage
2011-03-03,83.325,83.325,83.325,83.325,0,Alphavantage
2011-03-04,83.155,83.155,83.155,83.155,0,Alphavantage
2011-03-07,82.955,82.955,82.955,82.955,0,Alphavantage
2011-03-08,83.64,83.64,83.64,83.64,0,Alphavantage
2011-03-09,83.91,83.91,83.91,83.91,0,Alphavantage
2011-03-10,82.945,82.945,82.945,82.945,0,Alphavantage
2011-03-11,82.595,82.595,82.595,82.595,0,Alphavantage
2011-03-14,81.645,81.645,81.645,81.645,0,Alphavantage
2011-03-15,79.875,79.875,79.875,79.875,0,Alphavantage
2011-03-16,79.545,79.545,79.545,79.545,0,Alphavantage
2011-03-17,80.64,80.64,80.64,80.64,0,Alphavantage
2011-03-18,80.925,80.925,80.925,80.925,0,Alphavantage
2011-03-21,82.515,82.515,82.515,82.515,0,Alphavantage
2011-03-22,82.82,82.82,82.82,82.82,0,Alphavantage
2011-03-23,82.625,82.625,82.625,82.625,0,Alphavantage
2011-03-24,83.33,83.33,83.33,83.33,0,Alphavantage
2011-03-25,83.38,83.38,83.38,83.38,0,Alphavantage
2011-03-28,83.81,83.81,83.81,83.81,0,Alphavantage
2011-03-29,84.315,84.315,84.315,84.315,0,Alphavantage
2011-03-30,85.34,85.34,85.34,85.34,0,Alphavantage
2011-03-31,85.26,85.26,85.26,85.26,0,Alphavantage
2011-04-01,85.505,85.505,85.505,85.505,0,Alphavantage
2011-04-04,85.805,85.805,85.805,85.805,0,Alphavantage
2011-04-05,85.525,85.525,85.525,85.525,0,Alphavantage
2011-04-06,85.855,85.855,85.855,85.855,0,Alphavantage
2011-04-07,85.48,85.48,85.48,85.48,0,Alphavantage
2011-04-08,86.005,86.005,86.005,86.005,0,Alphavantage
2011-04-11,86.385,86.385,86.385,86.385,0,Alphavantage
2011-04-12,85.745,85.745,85.745,85.745,0,Alphavantage
2011-04-13,85.935,85.935,85.935,85.935,0,Alphavantage
2011-04-14,85.805,85.805,85.805,85.805,0,Alphavantage
2011-04-15,86.24,86.24,86.24,86.24,0,Alphavantage
2011-04-18,84.525,84.525,84.525,84.525,0,Alphavantage
2011-04-19,84.775,84.775,84.775,84.775,0,Alphavantage
2011-04-20,86.17,86.17,86.17,86.17,0,Alphavantage
2011-04-21,85.715,85.715,85.715,85.715,0,Alphavantage
2011-04-26,86.52,86.52,86.52,86.52,0,Alphavantage
2011-04-27,86.995,86.995,86.995,86.995,0,Alphavantage
2011-04-28,87.87,87.87,87.87,87.87,0,Alphavantage
2011-04-29,86.28,86.28,86.28,86.28,0,Alphavantage
2011-05-03,88.16,88.16,88.16,88.16,0,Alphavantage
2011-05-04,87.72,87.72,87.72,87.72,0,Alphavantage
2011-05-05,86.635,86.635,86.635,86.635,0,Alphavantage
2011-05-06,86.715,86.715,86.715,86.715,0,Alphavantage
2011-05-09,86.055,86.055,86.055,86.055,0,Alphavantage
2011-05-10,86.635,86.635,86.635,86.635,0,Alphavantage
2011-05-11,86.905,86.905,86.905,86.905,0,Alphavantage
2011-05-12,86.165,86.165,86.165,86.165,0,Alphavantage
2011-05-13,85.45,85.45,85.45,85.45,0,Alphavantage
2011-05-16,84.43,84.43,84.43,85.555,203,Alphavantage
2011-05-17,84.43,84.43,84.43,85.02,203,Alphavantage
2011-05-18,84.43,84.43,84.43,85.65,203,Alphavantage
2011-05-19,86.6,86.6,86.6,86.18,1150,Alphavantage
2011-05-20,86.125,86.125,86.125,86.125,0,Alphavantage
2011-05-23,84.62,84.62,84.62,84.62,0,Alphavantage
2011-05-24,85.24,85.24,85.24,85.24,0,Alphavantage
2011-05-25,85.11,85.11,85.11,85.11,0,Alphavantage
2011-05-26,84.95,84.95,84.95,84.95,0,Alphavantage
2011-05-27,85.91,85.91,85.91,85.91,0,Alphavantage
2011-05-31,86.685,86.685,86.685,86.685,0,Alphavantage
2011-06-01,86.485,86.485,86.485,86.485,0,Alphavantage
2011-06-02,85.505,85.505,85.505,85.505,0,Alphavantage
2011-06-03,85.505,85.505,85.505,85.505,0,Alphavantage
2011-06-06,85.13,85.13,85.13,85.13,0,Alphavantage
2011-06-07,85.01,85.01,85.01,85.01,0,Alphavantage
2011-06-08,84.53,84.53,84.53,84.53,0,Alphavantage
2011-06-09,84.395,84.395,84.395,84.395,0,Alphavantage
2011-06-10,83.415,83.415,83.415,83.415,0,Alphavantage
2011-06-13,83.545,83.545,83.545,83.545,0,Alphavantage
2011-06-14,84.485,84.485,84.485,84.485,0,Alphavantage
2011-06-15,83.12,83.12,83.12,83.12,0,Alphavantage
2011-06-16,82.345,82.345,82.345,82.345,0,Alphavantage
2011-06-17,83.46,83.46,83.46,83.46,0,Alphavantage
2011-06-20,83.53,83.53,83.53,83.53,0,Alphavantage
2011-06-21,84.615,84.615,84.615,84.615,0,Alphavantage
2011-06-22,84.86,84.86,84.86,84.86,0,Alphavantage
2011-06-23,82.91,82.91,82.91,82.91,0,Alphavantage
