date,open,high,low,close,volume
2018-10-01,6999.0,7010.0,6432.0,6685.0,36674,null
2018-11-01,6648.0,6702.0,6538.5,6566.0,14932,null
2018-12-01,6667.0,6667.0,6182.5,6313.0,10401,null
2019-01-01,6313.0,6540.0,6294.0,6418.0,6095,null
2019-02-01,6432.0,6699.080078,6432.0,6577.5,9288,null
2019-03-01,6588.0,6852.0,6588.0,6780.0,19779,null
2019-04-01,6818.5,7028.0,6818.5,6940.0,739,null
2019-05-01,6905.0,6909.0,6718.0,6735.5,9078,null
2019-06-01,67.18,7026.0,67.18,69.889999,7268,null
2019-07-01,70.449997,7126.0,70.029999,70.029999,8975,null
2019-08-01,6980.5,6980.5,65.43,6680.5,20493,null
2019-09-01,67.169998,68.32,67.010002,68.32,6914,null
2019-09-03,6759.0,6759.0,6734.0,6859.0,333,null
