date,open,high,low,close,volume
2018-10-01,1923.25,1923.900024,1773.5,1831.0,17042,null
2018-11-01,1822.069946,1828.900024,1789.599976,1796.900024,2600,null
2018-12-01,1823.800049,1823.800049,1701.0,1735.5,3900,null
2019-01-01,1735.5,1800.0,1731.5,1764.5,99940,null
2019-02-01,1779.0,1837.400024,1779.0,1808.300049,0,null
2019-03-01,1810.599976,1884.5,1810.599976,1863.5,33300,null
2019-04-01,1871.599976,1926.099976,1871.599976,1899.5,0,null
2019-05-01,1888.5,2710.0,1841.5,2640.0,1961,null
2019-06-01,1857.5,1930.0,1857.5,1923.0,0,null
2019-07-01,1941.0,1984.5,1920.599976,1920.599976,16940,null
2019-08-01,1914.800049,1914.800049,1792.800049,1829.099976,4322,null
2019-09-01,1856.599976,1874.099976,1846.5,1874.099976,1020,null
2019-09-06,1857.400024,1857.400024,1857.400024,1882.599976,510,null
