date,open,high,low,close,volume
1999-10-04,1248.89,1258.33,1237.78,1253.33,3164634.00,Alphavantage
1999-10-05,1255.56,1294.44,1248.89,1288.89,3199411.00,Alphavantage
1999-10-06,1289.44,1296.67,1240.00,1254.44,3405327.00,Alphavantage
1999-10-07,1251.11,1274.44,1248.89,1267.78,3378657.00,Alphavantage
1999-10-08,1257.78,1277.78,1253.33,1274.44,2598194.00,Alphavantage
1999-10-11,1280.00,1286.67,1262.22,1270.00,4337164.00,Alphavantage
1999-10-12,1266.67,1273.33,1220.56,1225.56,4656816.00,Alphavantage
1999-10-13,1214.44,1226.67,1208.89,1213.33,2280448.00,Alphavantage
1999-10-14,1216.67,1228.89,1188.89,1193.33,7085598.00,Alphavantage
1999-10-15,1195.56,1206.67,1164.44,1168.89,5486685.00,Alphavantage
1999-10-18,1176.11,1192.78,1164.44,1176.67,2592065.00,Alphavantage
1999-10-19,1196.67,1208.89,1168.89,1203.33,4194023.00,Alphavantage
1999-10-20,1202.22,1216.67,1191.11,1207.78,2047040.00,Alphavantage
1999-10-21,1210.00,1215.56,1178.89,1183.33,5976701.00,Alphavantage
1999-10-22,1188.89,1227.78,1188.89,1202.22,6210748.00,Alphavantage
1999-10-25,1212.88,1237.78,1202.22,1214.44,2613929.00,Alphavantage
1999-10-26,1214.44,1240.00,1212.22,1215.56,4401562.00,Alphavantage
1999-10-27,1215.56,1244.44,1205.56,1230.00,2693668.00,Alphavantage
1999-10-28,1237.78,1242.22,1200.00,1233.33,3332323.00,Alphavantage
1999-10-29,1244.44,1270.00,1237.78,1254.44,8081835.00,Alphavantage
1999-11-01,1254.55,1262.22,1227.78,1232.22,1993547.00,Alphavantage
1999-11-02,1242.07,1245.56,1226.67,1233.33,4141055.00,Alphavantage
1999-11-03,1230.00,1251.11,1214.44,1242.22,3771020.00,Alphavantage
1999-11-04,1242.22,1246.67,1200.00,1202.22,4341195.00,Alphavantage
1999-11-05,1166.67,1177.78,1018.89,1036.67,32003377.00,Alphavantage
1999-11-08,1074.44,1083.33,1051.11,1074.44,15419338.00,Alphavantage
1999-11-09,1077.78,1091.11,1037.78,1042.22,7533517.00,Alphavantage
1999-11-10,1040.00,1050.00,1026.67,1032.22,9020626.00,Alphavantage
1999-11-11,1032.22,1042.22,1005.56,1007.78,7824546.00,Alphavantage
1999-11-12,1013.33,1032.22,1006.11,1013.33,9656078.00,Alphavantage
1999-11-15,1017.78,1030.00,1013.33,1014.44,6166806.00,Alphavantage
1999-11-16,1021.11,1030.00,1008.89,1010.00,8686611.00,Alphavantage
1999-11-17,1033.33,1033.33,1000.00,1004.44,10077878.00,Alphavantage
1999-11-18,1006.67,1015.56,965.56,970.00,6415325.00,Alphavantage
1999-11-19,977.78,997.78,966.67,971.11,6779091.00,Alphavantage
1999-11-22,977.78,991.11,964.44,973.33,4081098.00,Alphavantage
1999-11-23,994.44,1035.56,993.33,1007.78,6133146.00,Alphavantage
1999-11-24,1007.78,1062.22,1007.78,1056.67,7166053.00,Alphavantage
1999-11-25,1035.78,1066.67,1035.78,1042.22,2279325.00,Alphavantage
1999-11-26,1044.69,1065.56,1028.89,1060.00,4794600.00,Alphavantage
1999-11-29,1053.33,1074.44,1040.00,1046.67,5118968.00,Alphavantage
1999-11-30,1053.33,1053.33,1011.11,1017.78,2380340.00,Alphavantage
1999-12-01,1017.78,1037.78,1002.22,1024.44,3262427.00,Alphavantage
1999-12-02,1023.89,1024.44,1006.67,1016.67,2639837.00,Alphavantage
1999-12-03,1017.78,1033.33,968.89,1012.59,3646561.00,Alphavantage
1999-12-06,1016.11,1018.89,1000.00,1006.67,4109739.00,Alphavantage
1999-12-07,993.33,1022.22,973.33,976.67,5741726.00,Alphavantage
1999-12-08,976.67,986.67,951.11,976.67,8666834.00,Alphavantage
1999-12-09,948.89,971.11,894.44,907.78,7260095.00,Alphavantage
1999-12-10,926.67,928.89,888.89,891.11,8548388.00,Alphavantage
1999-12-13,906.67,918.89,893.33,905.56,7561088.00,Alphavantage
1999-12-14,915.56,915.56,866.67,898.89,10506471.00,Alphavantage
1999-12-15,886.67,910.00,886.67,900.00,8591171.00,Alphavantage
1999-12-16,900.00,926.67,900.00,912.22,5407420.00,Alphavantage
1999-12-17,915.56,960.00,910.00,947.78,4551138.00,Alphavantage
1999-12-20,966.67,984.44,957.78,967.78,3002522.00,Alphavantage
1999-12-21,975.56,976.11,951.11,955.56,2023790.00,Alphavantage
1999-12-22,964.44,973.33,957.78,961.67,1419936.00,Alphavantage
1999-12-23,968.89,995.00,968.89,985.56,1601523.00,Alphavantage
1999-12-24,993.33,999.44,981.11,982.22,182951.00,Alphavantage
1999-12-27,982.22,982.22,982.22,982.22,0.00,Alphavantage
1999-12-28,982.22,982.22,982.22,982.22,0.00,Alphavantage
1999-12-29,1011.11,1024.44,1000.00,1007.22,1352124.00,Alphavantage
1999-12-30,1000.56,1028.89,1000.56,1012.22,822032.00,Alphavantage
1999-12-31,1011.11,1011.11,1011.11,1011.11,0.00,Alphavantage
2000-01-03,1011.11,1011.11,1011.11,1011.11,0.00,Alphavantage
2000-01-04,1016.67,1016.71,988.89,1013.33,5609088.00,Alphavantage
2000-01-05,1015.00,1045.56,984.44,1020.00,11367350.00,Alphavantage
2000-01-06,1020.00,1062.22,1020.00,1053.33,7650041.00,Alphavantage
2000-01-07,1046.67,1107.78,1042.22,1104.44,13586476.00,Alphavantage
2000-01-10,1100.00,1118.89,1046.67,1064.44,4678965.00,Alphavantage
2000-01-11,1077.78,1077.78,1027.78,1047.78,4201368.00,Alphavantage
2000-01-12,1032.22,1064.44,1032.22,1062.22,7267860.00,Alphavantage
2000-01-13,1058.89,1068.89,1041.11,1045.00,12163247.00,Alphavantage
2000-01-14,1062.22,1082.22,1037.78,1075.56,7705670.00,Alphavantage
2000-01-17,1058.33,1058.33,1026.67,1028.33,5837121.00,Alphavantage
2000-01-18,1040.00,1044.44,988.89,1003.33,7496171.00,Alphavantage
2000-01-19,1004.44,1007.78,954.44,962.78,9743954.00,Alphavantage
2000-01-20,961.67,977.78,924.44,936.67,7898385.00,Alphavantage
2000-01-21,953.33,953.33,911.11,928.33,4231336.00,Alphavantage
2000-01-24,924.44,941.11,900.00,907.22,2299427.00,Alphavantage
2000-01-25,915.00,922.22,875.56,910.00,12769250.00,Alphavantage
2000-01-26,911.11,911.11,882.22,893.89,13936247.00,Alphavantage
2000-01-27,898.89,907.78,853.33,872.78,5038058.00,Alphavantage
2000-01-28,875.56,880.00,857.78,864.44,8880653.00,Alphavantage
2000-01-31,865.56,870.56,836.67,841.11,5736239.00,Alphavantage
2000-02-01,862.22,862.22,802.22,819.44,7214941.00,Alphavantage
2000-02-02,820.12,837.78,777.78,795.00,7226239.00,Alphavantage
2000-02-03,806.67,817.78,788.89,804.44,8157064.00,Alphavantage
2000-02-04,813.97,831.11,777.22,785.00,10973207.00,Alphavantage
2000-02-07,788.73,800.00,731.11,769.44,8361934.00,Alphavantage
2000-02-08,769.44,776.67,744.44,750.00,14395781.00,Alphavantage
2000-02-09,750.00,764.44,748.89,752.22,9273319.00,Alphavantage
2000-02-10,751.67,775.56,743.33,758.33,7597594.00,Alphavantage
2000-02-11,751.11,770.00,740.00,743.33,10717069.00,Alphavantage
2000-02-14,751.17,753.33,738.89,747.78,5931915.00,Alphavantage
2000-02-15,751.67,797.78,751.67,757.78,8687269.00,Alphavantage
2000-02-16,788.89,824.44,757.78,813.89,10694464.00,Alphavantage
2000-02-17,799.16,851.67,799.16,848.33,7663529.00,Alphavantage
2000-02-18,855.56,880.00,840.56,863.89,7558945.00,Alphavantage
2000-02-21,864.85,885.56,835.56,857.78,4818999.00,Alphavantage
2000-02-22,888.89,927.78,856.67,868.89,21916751.00,Alphavantage
2000-02-23,868.89,911.11,866.67,872.78,15841006.00,Alphavantage
2000-02-24,868.89,887.78,795.56,807.78,5712721.00,Alphavantage
2000-02-25,801.11,833.33,773.33,804.44,12666800.00,Alphavantage
2000-02-28,835.56,835.56,782.22,801.67,3639822.00,Alphavantage
2000-02-29,788.89,863.33,777.78,857.22,16023177.00,Alphavantage
2000-03-01,885.00,888.89,857.22,885.00,14455757.00,Alphavantage
2000-03-02,888.89,892.78,864.44,886.11,3959078.00,Alphavantage
2000-03-03,875.56,887.78,848.89,862.22,3859427.00,Alphavantage
2000-03-06,871.67,873.33,837.78,846.11,3958615.00,Alphavantage
2000-03-07,844.44,847.78,746.11,771.67,19203244.00,Alphavantage
2000-03-08,768.97,791.11,722.22,758.33,15115876.00,Alphavantage
2000-03-09,770.00,788.89,767.22,780.56,8006528.00,Alphavantage
2000-03-10,780.78,793.33,758.89,763.33,10027165.00,Alphavantage
2000-03-13,785.56,785.56,718.33,752.78,4265124.00,Alphavantage
2000-03-14,750.15,771.11,740.00,767.22,7658996.00,Alphavantage
2000-03-15,751.11,814.44,751.11,807.22,8205948.00,Alphavantage
2000-03-16,797.78,893.33,797.78,875.56,16434020.00,Alphavantage
