date,open,high,low,close,volume
2018-10-01,2600.0,2604.0,2344.75,2435.879883,1628671,null
2018-11-01,2411.0,2443.0,2360.0,2414.5,471995,null
2018-12-01,2462.25,2471.0,22.487499,22.9937,4089687,null
2019-01-01,2301.120117,2411.0,2270.25,2371.120117,1928496,null
2019-02-01,2382.0,2457.75,23.645,24.184999,1519120,null
2019-03-01,2433.0,2518.0,2408.25,2469.620117,1038851,null
2019-04-01,2488.25,2586.25,2475.5,2571.0,1557775,null
2019-05-01,2575.5,2584.0,2462.25,2520.620117,1091259,null
2019-06-01,2503.25,2691.75,2502.25,2631.120117,6788233,null
2019-07-01,2650.0,2735.419922,2641.5,2680.5,1898757,null
2019-08-01,2700.75,2709.610107,2554.360107,2632.75,1385706,null
2019-09-01,2639.75,2691.300049,2639.75,2693.379883,1018842,null
2019-09-13,26.964081,26.964081,26.767,26.764999,45039,null
