date,open,high,low,close,volume
2012-05-23,3128.00,3128.00,3121.30,3106.00,20031.00,Alphavantage
2012-05-24,3106.00,3106.00,3106.00,3106.00,0.00,Alphavantage
2012-05-25,3106.00,3106.00,3106.00,3106.00,0.00,Alphavantage
2012-05-29,3198.00,3226.00,3196.00,3223.50,4204.00,Alphavantage
2012-05-30,3163.00,3165.00,3163.00,3177.50,5095.00,Alphavantage
2012-05-31,3209.85,3209.90,3209.85,3189.50,125.00,Alphavantage
2012-06-01,3206.00,3206.00,3151.00,3167.00,12901.00,Alphavantage
2012-06-06,3235.00,3235.00,3235.00,3232.50,3483.00,Alphavantage
2012-06-07,3267.15,3267.20,3267.15,3254.00,91.00,Alphavantage
2012-06-08,3224.50,3224.50,3224.50,3224.50,0.00,Alphavantage
2012-06-11,3256.00,3256.80,3256.00,3208.50,612.00,Alphavantage
2012-06-12,3222.50,3222.50,3222.50,3222.50,0.00,Alphavantage
2012-06-13,3241.00,3244.00,3241.00,3232.00,1410.00,Alphavantage
2012-06-14,3219.00,3219.00,3219.00,3219.00,0.00,Alphavantage
2012-06-15,3218.50,3218.50,3218.50,3218.50,0.00,Alphavantage
2012-06-18,3250.00,3250.00,3250.00,3250.00,0.00,Alphavantage
2012-06-19,3292.50,3292.50,3292.50,3292.50,0.00,Alphavantage
2012-06-20,3319.00,3319.00,3319.00,3287.50,468.00,Alphavantage
2012-06-21,3283.85,3283.85,3283.85,3254.00,220.00,Alphavantage
2012-06-22,3216.00,3216.00,3216.00,3220.50,100.00,Alphavantage
2012-06-25,3200.00,3200.00,3200.00,3180.50,310.00,Alphavantage
2012-06-26,3175.50,3175.50,3175.50,3175.50,0.00,Alphavantage
2012-06-27,3214.50,3214.50,3214.50,3214.50,0.00,Alphavantage
2012-06-28,3183.50,3183.50,3183.50,3183.50,0.00,Alphavantage
2012-06-29,3245.00,3290.80,3245.00,3283.00,4890.00,Alphavantage
2012-07-02,3288.50,3288.50,3288.50,3288.50,0.00,Alphavantage
2012-07-03,3345.00,3345.00,3345.00,3358.00,99595.00,Alphavantage
2012-07-04,3372.95,3373.00,3372.95,3357.00,296.00,Alphavantage
2012-07-05,3374.80,3374.80,3374.80,3373.00,21.00,Alphavantage
2012-07-06,3354.00,3377.10,3330.00,3339.00,3297.00,Alphavantage
2012-07-09,3329.57,3335.45,3329.57,3304.50,152.00,Alphavantage
