date,open,high,low,close,volume
2013-01-30,26.25,26.25,26.25,26.25,380.00,Alphavantage
2013-01-31,26.25,26.25,26.25,26.25,0.00,Alphavantage
2013-02-01,25.90,25.99,25.90,25.99,10591.00,Alphavantage
2013-02-04,25.99,25.99,25.99,25.99,0.00,Alphavantage
2013-02-05,25.99,25.99,25.99,25.99,0.00,Alphavantage
2013-02-06,26.15,26.15,26.15,26.15,4500.00,Alphavantage
2013-02-07,26.30,26.30,26.25,26.25,13500.00,Alphavantage
2013-02-08,26.25,26.25,26.25,26.25,0.00,Alphavantage
2013-02-11,26.50,26.55,26.50,26.55,9000.00,Alphavantage
2013-02-12,26.55,26.55,26.55,26.55,0.00,Alphavantage
2013-02-13,26.60,26.60,26.60,26.60,9000.00,Alphavantage
2013-02-14,26.60,26.60,26.60,26.60,0.00,Alphavantage
2013-02-15,26.75,26.80,26.75,26.80,13500.00,Alphavantage
2013-02-18,26.80,26.80,26.80,26.80,0.00,Alphavantage
2013-02-19,26.75,26.85,26.75,26.85,4518.00,Alphavantage
2013-02-20,26.85,26.85,26.85,26.85,0.00,Alphavantage
2013-02-21,26.60,26.65,26.60,26.65,9000.00,Alphavantage
2013-02-22,26.75,26.80,26.75,26.80,5418.00,Alphavantage
2013-02-25,26.93,26.93,26.93,26.93,4800.00,Alphavantage
2013-02-26,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-02-27,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-02-28,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-03-01,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-03-04,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-03-05,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-03-06,26.93,26.93,26.93,26.93,0.00,Alphavantage
2013-03-07,27.81,27.81,27.81,27.81,18.00,Alphavantage
2013-03-08,27.81,27.81,27.81,27.81,0.00,Alphavantage
2013-03-11,27.81,27.81,27.81,27.81,0.00,Alphavantage
2013-03-12,27.81,27.81,27.81,27.81,0.00,Alphavantage
2013-03-13,27.81,27.81,27.81,27.81,0.00,Alphavantage
2013-03-14,27.81,27.81,27.81,27.81,0.00,Alphavantage
2013-03-15,27.99,27.99,27.99,27.99,500.00,Alphavantage
2013-03-18,27.99,27.99,27.99,27.99,0.00,Alphavantage
2013-03-19,28.06,28.06,28.06,28.06,10000.00,Alphavantage
2013-03-20,28.00,28.00,27.90,27.90,30000.00,Alphavantage
2013-03-21,27.90,27.90,27.90,27.90,0.00,Alphavantage
2013-03-22,27.90,27.90,27.90,27.90,0.00,Alphavantage
2013-03-25,27.90,27.90,27.90,27.90,0.00,Alphavantage
2013-03-26,27.90,27.90,27.90,27.90,0.00,Alphavantage
2013-03-27,28.20,28.20,28.17,28.17,30000.00,Alphavantage
2013-03-28,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-02,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-03,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-04,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-05,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-08,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-09,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-10,28.17,28.17,28.17,28.17,0.00,Alphavantage
2013-04-11,28.19,28.19,28.19,28.19,10000.00,Alphavantage
2013-04-12,28.18,28.18,28.18,28.18,3814.00,Alphavantage
2013-04-15,27.92,27.92,27.92,27.92,5900.00,Alphavantage
2013-04-16,27.59,27.59,27.59,27.59,1420.00,Alphavantage
2013-04-17,27.59,27.59,27.59,27.59,0.00,Alphavantage
2013-04-18,27.59,27.59,27.59,27.59,0.00,Alphavantage
2013-04-19,27.59,27.59,27.59,27.59,0.00,Alphavantage
2013-04-22,27.59,27.59,27.59,27.59,0.00,Alphavantage
2013-04-23,28.16,28.19,28.16,28.19,2470.00,Alphavantage
2013-04-24,28.19,28.19,28.19,28.19,0.00,Alphavantage
2013-04-25,28.19,28.19,28.19,28.19,0.00,Alphavantage
2013-04-26,28.19,28.19,28.19,28.19,0.00,Alphavantage
2013-04-29,28.35,28.39,28.35,28.39,13500.00,Alphavantage
2013-04-30,28.41,28.41,28.11,28.11,13800.00,Alphavantage
2013-05-01,28.11,28.11,28.11,28.11,0.00,Alphavantage
2013-05-02,28.29,28.29,28.29,28.29,2472.00,Alphavantage
2013-05-03,28.29,28.29,28.29,28.29,0.00,Alphavantage
2013-05-07,29.04,29.04,29.01,29.01,2199.00,Alphavantage
2013-05-08,28.97,28.97,28.90,28.94,30000.00,Alphavantage
2013-05-09,28.94,28.94,28.94,28.94,0.00,Alphavantage
2013-05-10,29.68,29.68,29.63,29.63,4737.00,Alphavantage
2013-05-13,29.67,29.67,29.67,29.67,1000.00,Alphavantage
2013-05-14,29.88,30.04,29.88,30.04,4234.00,Alphavantage
2013-05-15,30.41,30.50,30.35,30.48,49922.00,Alphavantage
2013-05-16,30.46,30.46,30.41,30.41,19766.00,Alphavantage
2013-05-17,30.41,30.41,30.41,30.41,0.00,Alphavantage
2013-05-20,30.41,30.41,30.41,30.41,0.00,Alphavantage
2013-05-21,30.89,30.89,30.73,30.75,10800.00,Alphavantage
2013-05-22,30.85,31.05,30.85,31.03,16011.00,Alphavantage
2013-05-23,30.17,30.17,30.17,30.17,950.00,Alphavantage
2013-05-24,30.47,30.47,29.96,30.00,3800.00,Alphavantage
2013-05-28,30.70,30.70,30.70,30.70,1100.00,Alphavantage
2013-05-29,30.70,30.70,30.70,30.70,0.00,Alphavantage
2013-05-30,30.09,30.20,30.09,30.20,15418.00,Alphavantage
2013-05-31,30.19,30.19,30.19,30.19,12000.00,Alphavantage
2013-06-03,29.76,29.76,29.76,29.76,3500.00,Alphavantage
2013-06-04,29.95,29.95,29.81,29.81,850.00,Alphavantage
2013-06-05,29.34,29.34,29.34,29.34,10011.00,Alphavantage
2013-06-06,29.34,29.34,29.34,29.34,0.00,Alphavantage
2013-06-07,29.34,29.34,29.34,29.34,0.00,Alphavantage
2013-06-10,29.42,29.44,29.42,29.44,13400.00,Alphavantage
2013-06-11,28.78,28.78,28.78,28.78,1200.00,Alphavantage
2013-06-12,28.78,28.78,28.78,28.78,0.00,Alphavantage
2013-06-13,28.36,28.42,28.36,28.42,23494.00,Alphavantage
2013-06-14,28.84,28.89,28.70,28.70,60091.00,Alphavantage
2013-06-17,28.70,28.70,28.70,28.70,0.00,Alphavantage
2013-06-18,28.70,28.70,28.70,28.70,0.00,Alphavantage
2013-06-19,28.86,28.88,28.86,28.88,11125.00,Alphavantage
2013-06-20,28.57,28.57,28.53,28.53,19487.00,Alphavantage
