date,open,high,low,close,volume
2008-02-15,1639.25,1639.25,1639.25,1636.25,2500.00,Alphavantage
2008-02-18,1647.25,1647.25,1647.25,1647.25,0.00,Alphavantage
2008-02-19,1695.38,1695.38,1695.38,1695.38,0.00,Alphavantage
2008-02-20,1636.50,1636.50,1625.25,1642.25,5000.00,Alphavantage
2008-02-21,1682.25,1682.25,1682.25,1682.25,0.00,Alphavantage
2008-02-22,1653.50,1653.50,1653.50,1651.75,1500.00,Alphavantage
2008-02-25,1687.63,1687.63,1687.63,1687.63,0.00,Alphavantage
2008-02-26,1713.25,1713.25,1713.25,1715.75,797.00,Alphavantage
2008-02-27,1733.25,1734.25,1733.25,1728.63,6423.00,Alphavantage
2008-02-28,1722.00,1722.00,1722.00,1712.75,1929.00,Alphavantage
2008-02-29,1654.63,1654.63,1654.63,1654.63,0.00,Alphavantage
2008-03-03,1639.75,1639.75,1639.75,1639.75,0.00,Alphavantage
2008-03-04,1595.00,1595.00,1595.00,1595.00,0.00,Alphavantage
2008-03-05,1631.38,1631.38,1631.38,1631.38,0.00,Alphavantage
2008-03-06,1599.25,1599.25,1599.25,1599.25,0.00,Alphavantage
2008-03-07,1537.13,1537.13,1537.13,1537.13,0.00,Alphavantage
2008-03-10,1528.75,1528.75,1528.50,1512.50,5929.00,Alphavantage
2008-03-11,1551.75,1551.75,1551.75,1551.75,0.00,Alphavantage
2008-03-12,1558.38,1558.38,1558.38,1558.38,0.00,Alphavantage
2008-03-13,1530.88,1530.88,1530.88,1530.88,0.00,Alphavantage
2008-03-14,1550.00,1550.00,1550.00,1526.75,5929.00,Alphavantage
2008-03-17,1495.50,1495.50,1495.50,1495.50,0.00,Alphavantage
2008-03-18,1540.75,1540.75,1540.75,1540.75,0.00,Alphavantage
2008-03-19,1563.25,1584.50,1563.25,1563.25,0.00,Alphavantage
2008-03-20,1528.75,1528.75,1528.75,1494.75,5460.00,Alphavantage
2008-03-25,1564.63,1564.63,1564.63,1564.63,0.00,Alphavantage
2008-03-26,1581.25,1581.25,1581.25,1581.25,0.00,Alphavantage
2008-03-27,1586.50,1586.50,1586.50,1586.50,0.00,Alphavantage
2008-03-28,1600.25,1600.25,1600.25,1591.00,701.00,Alphavantage
2008-03-31,1595.00,1595.00,1595.00,1591.50,570.00,Alphavantage
2008-04-01,1593.00,1593.00,1593.00,1616.00,1829.00,Alphavantage
