date,open,high,low,close,volume
2010-05-18,42.35,42.83,42.35,42.59,20015.00,Alphavantage
2010-05-19,40.51,40.51,40.51,40.51,0.00,Alphavantage
2010-05-20,39.39,39.39,39.39,39.87,10000.00,Alphavantage
2010-05-21,39.33,39.33,38.15,39.70,40000.00,Alphavantage
2010-05-24,39.82,39.82,39.82,39.82,0.00,Alphavantage
2010-05-25,38.64,38.64,38.64,38.64,0.00,Alphavantage
2010-05-26,40.02,40.02,39.93,40.16,14200.00,Alphavantage
2010-05-27,40.92,40.93,40.22,40.87,17200.00,Alphavantage
2010-05-28,41.39,41.39,41.30,40.81,3150.00,Alphavantage
2010-06-01,39.92,40.62,39.92,41.31,9150.00,Alphavantage
2010-06-02,41.02,41.02,41.02,41.02,0.00,Alphavantage
2010-06-03,41.48,41.48,41.48,41.48,0.00,Alphavantage
2010-06-04,40.65,40.65,40.65,40.65,0.00,Alphavantage
2010-06-07,40.09,40.09,40.09,40.09,0.00,Alphavantage
2010-06-08,39.64,39.64,39.64,39.64,0.00,Alphavantage
2010-06-09,40.96,40.96,40.96,40.96,0.00,Alphavantage
2010-06-10,41.01,41.01,41.01,41.01,0.00,Alphavantage
2010-06-11,41.44,41.51,41.03,41.34,6300.00,Alphavantage
2010-06-14,42.09,42.09,42.09,42.09,0.00,Alphavantage
2010-06-15,42.01,42.01,42.01,42.01,0.00,Alphavantage
2010-06-16,42.68,42.68,42.68,42.68,0.00,Alphavantage
2010-06-17,42.61,42.61,42.61,42.61,0.00,Alphavantage
2010-06-18,42.96,42.96,42.96,42.96,0.00,Alphavantage
2010-06-21,43.42,43.42,43.42,43.42,0.00,Alphavantage
2010-06-22,42.91,42.91,42.91,42.91,0.00,Alphavantage
2010-06-23,41.34,41.34,41.34,41.34,0.00,Alphavantage
2010-06-24,41.07,41.07,41.07,41.07,0.00,Alphavantage
2010-06-25,41.07,41.07,41.07,41.07,0.00,Alphavantage
2010-06-28,41.35,41.35,41.35,41.35,0.00,Alphavantage
2010-06-29,40.23,40.25,40.23,39.73,6000.00,Alphavantage
2010-06-30,39.31,39.31,39.31,39.31,0.00,Alphavantage
2010-07-01,38.52,38.52,38.52,38.52,0.00,Alphavantage
2010-07-02,38.58,38.80,38.56,38.64,10200.00,Alphavantage
2010-07-05,38.26,38.26,38.24,38.00,3150.00,Alphavantage
2010-07-06,38.75,39.07,38.75,39.21,6150.00,Alphavantage
2010-07-07,39.33,39.33,39.33,39.33,0.00,Alphavantage
2010-07-08,40.19,40.47,40.19,39.99,8100.00,Alphavantage
2010-07-09,40.78,40.78,40.78,40.78,0.00,Alphavantage
2010-07-12,40.75,40.75,40.75,40.75,0.00,Alphavantage
2010-07-13,41.69,41.69,41.69,41.69,0.00,Alphavantage
2010-07-14,41.61,41.61,41.61,41.61,0.00,Alphavantage
2010-07-15,40.97,40.97,40.97,40.97,0.00,Alphavantage
2010-07-16,40.39,40.39,40.39,40.39,0.00,Alphavantage
2010-07-19,40.21,40.21,40.21,39.76,3000.00,Alphavantage
2010-07-20,39.76,39.76,39.76,39.76,0.00,Alphavantage
2010-07-21,40.53,40.53,40.53,40.53,0.00,Alphavantage
2010-07-22,41.13,41.13,41.13,41.13,0.00,Alphavantage
2010-07-23,41.15,41.15,41.15,41.15,0.00,Alphavantage
