date,open,high,low,close,volume
2014-05-30,35.32,35.32,35.25,35.25,10.00,Alphavantage
2014-06-02,35.49,35.49,35.41,35.41,3860.00,Alphavantage
2014-06-03,35.32,35.32,35.30,35.30,100.00,Alphavantage
2014-06-04,35.42,35.43,35.21,35.43,150.00,Alphavantage
2014-06-05,35.58,35.58,35.58,35.58,0.00,Alphavantage
2014-06-06,35.56,35.76,35.56,35.76,4255.00,Alphavantage
2014-06-09,35.69,36.04,35.69,36.04,5828.00,Alphavantage
2014-06-10,36.03,36.03,36.03,36.03,0.00,Alphavantage
2014-06-11,36.13,36.14,35.98,36.01,7693.00,Alphavantage
2014-06-12,35.90,36.10,35.82,35.84,539.00,Alphavantage
2014-06-13,35.81,35.81,35.81,35.81,0.00,Alphavantage
2014-06-16,35.82,35.88,35.66,35.66,2750.00,Alphavantage
2014-06-17,35.85,35.96,35.85,35.88,2656.00,Alphavantage
2014-06-18,35.98,35.98,35.88,35.88,6988.00,Alphavantage
2014-06-19,36.04,36.04,35.98,35.98,140.00,Alphavantage
2014-06-20,36.18,36.26,36.17,36.26,3880.00,Alphavantage
2014-06-23,36.29,36.29,36.15,36.15,840.00,Alphavantage
2014-06-24,36.19,36.30,36.04,36.30,1464.00,Alphavantage
2014-06-25,35.99,35.99,35.89,35.89,60.00,Alphavantage
2014-06-26,36.12,36.12,35.97,35.97,1768.00,Alphavantage
2014-06-27,36.03,36.03,35.99,35.99,12.00,Alphavantage
2014-06-30,36.06,36.06,35.94,35.95,297.00,Alphavantage
2014-07-01,36.19,36.19,36.19,36.19,0.00,Alphavantage
2014-07-02,36.23,36.29,36.23,36.29,20.00,Alphavantage
2014-07-03,2900.50,2900.50,2900.50,2900.50,0.00,Alphavantage
2014-07-04,2901.00,2901.00,2901.00,2901.00,0.00,Alphavantage
2014-07-07,2894.50,2894.50,2894.50,2894.50,0.00,Alphavantage
2014-07-08,2873.00,2873.00,2873.00,2873.00,0.00,Alphavantage
2014-07-09,2884.00,2884.00,2884.00,2884.00,0.00,Alphavantage
2014-07-10,2876.00,2876.00,2876.00,2876.00,0.00,Alphavantage
2014-07-11,2877.50,2877.50,2877.50,2877.50,0.00,Alphavantage
2014-07-14,2906.50,2906.50,2906.50,2906.50,0.00,Alphavantage
2014-07-15,2887.00,2887.00,2887.00,2887.00,0.00,Alphavantage
2014-07-16,2896.50,2896.50,2896.50,2896.50,0.00,Alphavantage
2014-07-17,2890.00,2890.00,2890.00,2890.00,0.00,Alphavantage
2014-07-18,2896.00,2896.00,2896.00,2896.00,0.00,Alphavantage
2014-07-21,2897.50,2897.50,2897.50,2897.50,0.00,Alphavantage
2014-07-22,2921.50,2921.50,2921.50,2921.50,0.00,Alphavantage
2014-07-23,2927.00,2927.00,2927.00,2927.00,0.00,Alphavantage
2014-07-24,2939.00,2939.00,2939.00,2939.00,0.00,Alphavantage
2014-07-25,2921.50,2921.50,2921.50,2921.50,0.00,Alphavantage
2014-07-28,2917.50,2917.50,2917.50,2917.50,0.00,Alphavantage
2014-07-29,2928.00,2928.00,2928.00,2928.00,0.00,Alphavantage
2014-07-30,2923.50,2923.50,2923.50,2923.50,0.00,Alphavantage
2014-07-31,2890.00,2890.00,2890.00,2890.00,0.00,Alphavantage
2014-08-01,2873.00,2873.00,2873.00,2873.00,0.00,Alphavantage
2014-08-04,2873.00,2873.00,2873.00,2873.00,0.00,Alphavantage
2014-08-05,2877.00,2877.00,2877.00,2877.00,0.00,Alphavantage
