date,open,high,low,close,volume
2018-10-01,24.58,24.645,24.295,24.645,0,null
2018-11-01,24.645,24.645,24.245001,24.35,0,null
2018-12-01,24.355,25.01,24.355,24.66,0,null
2019-01-01,24.66,24.825001,24.514999,24.75,0,null
2019-02-01,24.809999,24.945,24.67,24.67,0,null
2019-03-01,24.695,25.76,24.695,25.455,0,null
2019-04-01,25.440001,25.469999,24.934999,25.125,0,null
2019-05-01,25.125,25.629999,25.065001,25.17,0,null
2019-06-01,25.629999,26.065001,25.629999,25.895,0,null
2019-07-01,25.879999,26.190001,25.85,26.155001,0,null
2019-08-01,2626.0,2704.0,26.405001,27.215,6809,null
2019-09-01,27.24,27.24,26.620001,26.629999,0,null
2019-09-13,2640.0,2640.0,2631.0,2636.5,377,null
