date,open,high,low,close,volume
2010-06-21,10.28,10.28,10.10,10.10,5720.00,Alphavantage
2010-06-22,9.92,10.00,9.92,9.92,0.00,Alphavantage
2010-06-23,9.68,9.77,9.68,9.68,0.00,Alphavantage
2010-06-24,9.66,9.77,9.66,9.66,0.00,Alphavantage
2010-06-25,9.80,9.89,9.80,9.80,0.00,Alphavantage
2010-06-28,9.86,9.95,9.86,9.86,0.00,Alphavantage
2010-06-29,9.56,9.56,9.56,9.48,200242.00,Alphavantage
2010-06-30,7.97,8.04,7.97,7.97,50507.00,Alphavantage
2010-07-01,7.64,7.71,7.64,7.64,0.00,Alphavantage
2010-07-02,7.78,7.78,7.78,7.69,30.00,Alphavantage
2010-07-05,7.71,7.76,7.71,7.71,0.00,Alphavantage
2010-07-06,7.84,7.91,7.84,7.84,0.00,Alphavantage
2010-07-07,7.93,7.98,7.93,7.93,0.00,Alphavantage
2010-07-08,7.89,7.95,7.89,7.89,0.00,Alphavantage
2010-07-09,7.96,8.01,7.96,7.96,0.00,Alphavantage
2010-07-12,8.12,8.12,8.12,8.12,250.00,Alphavantage
2010-07-13,8.05,8.13,8.05,8.05,0.00,Alphavantage
2010-07-14,8.00,8.07,8.00,8.00,0.00,Alphavantage
2010-07-15,7.96,7.96,7.96,7.96,701.00,Alphavantage
2010-07-16,7.92,7.99,7.92,7.92,0.00,Alphavantage
2010-07-19,7.97,8.04,7.97,7.97,0.00,Alphavantage
2010-07-20,8.11,8.15,8.11,8.13,65811.00,Alphavantage
2010-07-21,8.11,8.17,8.11,8.11,0.00,Alphavantage
2010-07-22,8.07,8.07,8.07,8.07,25000.00,Alphavantage
2010-07-23,8.06,8.06,8.06,8.06,25000.00,Alphavantage
2010-07-26,8.04,8.04,8.00,8.00,5911.00,Alphavantage
2010-07-27,8.03,8.08,8.03,8.03,0.00,Alphavantage
2010-07-28,7.96,7.96,7.96,7.96,10000.00,Alphavantage
2010-07-29,8.15,8.15,8.15,8.15,2460.00,Alphavantage
2010-07-30,8.13,8.13,8.13,8.13,500.00,Alphavantage
2010-08-02,8.00,8.00,7.95,7.97,2315.00,Alphavantage
2010-08-03,7.63,7.63,7.63,7.61,1000.00,Alphavantage
2010-08-04,7.69,7.75,7.69,7.69,0.00,Alphavantage
2010-08-05,7.76,7.80,7.76,7.76,0.00,Alphavantage
2010-08-06,7.78,7.78,7.78,7.67,10314.00,Alphavantage
2010-08-09,7.88,7.88,7.88,7.90,120.00,Alphavantage
2010-08-10,7.86,7.91,7.86,7.86,0.00,Alphavantage
2010-08-11,7.73,7.78,7.73,7.73,0.00,Alphavantage
2010-08-12,7.82,7.82,7.82,7.83,414.00,Alphavantage
2010-08-13,7.91,7.91,7.91,7.91,50.00,Alphavantage
2010-08-16,7.89,7.89,7.89,7.87,2129.00,Alphavantage
2010-08-17,7.89,7.96,7.89,8.03,2025.00,Alphavantage
2010-08-18,7.93,7.93,7.93,7.93,356.00,Alphavantage
2010-08-19,7.93,7.93,7.93,7.91,0.00,Alphavantage
2010-08-20,8.15,8.16,8.15,8.14,5320.00,Alphavantage
2010-08-23,8.11,8.17,8.11,8.11,7217.00,Alphavantage
2010-08-24,8.19,8.23,8.17,8.21,684150.00,Alphavantage
2010-08-25,8.17,8.20,8.16,8.20,26600.00,Alphavantage
2010-08-26,8.14,8.18,8.13,8.16,6579.00,Alphavantage
2010-08-27,8.27,8.27,8.06,8.12,27286.00,Alphavantage
2010-08-31,8.27,8.27,8.06,8.05,0.00,Alphavantage
2010-09-01,8.27,8.27,8.06,8.36,0.00,Alphavantage
2010-09-02,8.27,8.27,8.06,8.19,0.00,Alphavantage
2010-09-03,8.29,8.30,8.29,8.29,3270.00,Alphavantage
2010-09-06,8.43,8.43,8.43,8.43,18086.00,Alphavantage
2010-09-07,8.41,8.41,8.41,8.45,200.00,Alphavantage
2010-09-08,8.33,8.40,8.33,8.44,96650.00,Alphavantage
2010-09-09,8.39,8.50,8.39,8.49,100858.00,Alphavantage
2010-09-10,8.51,8.56,8.51,8.57,123677.00,Alphavantage
2010-09-13,8.58,8.74,8.58,8.69,219150.00,Alphavantage
2010-09-14,8.66,8.66,8.56,8.58,211000.00,Alphavantage
2010-09-15,8.84,8.84,8.84,8.79,1257.00,Alphavantage
2010-09-16,8.73,8.73,8.71,8.68,25700.00,Alphavantage
2010-09-17,9.00,9.00,8.69,8.68,49600.00,Alphavantage
2010-09-20,8.75,8.81,8.75,8.80,3111.00,Alphavantage
2010-09-21,8.65,8.73,8.65,8.65,0.00,Alphavantage
2010-09-22,8.65,8.66,8.65,8.64,25115.00,Alphavantage
2010-09-23,8.65,8.65,8.65,8.63,300.00,Alphavantage
2010-09-24,8.74,8.82,8.74,8.74,0.00,Alphavantage
2010-09-27,8.89,8.89,8.82,8.82,42400.00,Alphavantage
2010-09-28,8.89,8.89,8.89,8.87,1188.00,Alphavantage
2010-09-29,8.85,8.94,8.85,8.89,4500.00,Alphavantage
2010-09-30,8.86,8.97,8.86,8.86,0.00,Alphavantage
2010-10-01,9.08,9.08,9.08,9.02,53.00,Alphavantage
2010-10-04,9.10,9.10,9.10,9.06,1365.00,Alphavantage
2010-10-05,9.09,9.10,9.09,9.14,6839.00,Alphavantage
2010-10-06,9.09,9.16,9.08,9.09,28005.00,Alphavantage
2010-10-07,9.11,9.12,8.99,9.04,186500.00,Alphavantage
2010-10-08,8.90,9.00,8.90,8.90,0.00,Alphavantage
2010-10-11,8.92,8.93,8.90,8.93,28594.00,Alphavantage
2010-10-12,8.96,9.03,8.96,9.00,28990.00,Alphavantage
2010-10-13,9.10,9.20,9.10,9.21,6050.00,Alphavantage
2010-10-14,9.02,9.12,9.02,9.07,3023.00,Alphavantage
2010-10-15,9.10,9.10,8.93,8.88,1060.00,Alphavantage
2010-10-18,8.96,8.96,8.96,8.95,1211.00,Alphavantage
2010-10-19,9.10,9.10,9.10,9.10,2565.00,Alphavantage
2010-10-20,9.04,9.11,9.04,9.04,2280.00,Alphavantage
2010-10-21,9.13,9.13,9.12,9.09,6214.00,Alphavantage
2010-10-22,9.17,9.17,9.17,9.15,554.00,Alphavantage
2010-10-25,9.19,9.30,9.19,9.28,179700.00,Alphavantage
2010-10-26,9.32,9.32,9.27,9.23,3550.00,Alphavantage
2010-10-27,9.10,9.13,9.10,9.10,0.00,Alphavantage
2010-10-28,9.10,9.10,9.10,9.04,314.00,Alphavantage
2010-10-29,9.00,9.08,9.00,9.00,0.00,Alphavantage
2010-11-01,9.08,9.08,9.08,9.04,5000.00,Alphavantage
2010-11-02,9.02,9.08,9.02,9.03,4502.00,Alphavantage
2010-11-03,8.89,8.95,8.89,8.89,0.00,Alphavantage
2010-11-04,8.89,8.89,8.89,8.88,300.00,Alphavantage
2010-11-05,9.01,9.01,8.95,8.97,2083.00,Alphavantage
2010-11-08,9.10,9.10,9.10,9.03,500.00,Alphavantage
2010-11-09,9.20,9.22,9.20,9.29,123525.00,Alphavantage
2010-11-10,9.22,9.22,9.14,9.11,390250.00,Alphavantage
2010-11-11,9.05,9.12,9.03,8.96,365480.00,Alphavantage
2010-11-12,8.87,8.90,8.85,8.94,51576.00,Alphavantage
2010-11-15,8.88,8.92,8.86,8.88,7275.00,Alphavantage
2010-11-16,8.92,8.94,8.92,8.95,3600.00,Alphavantage
2010-11-17,9.04,9.04,8.94,8.96,37200.00,Alphavantage
2010-11-18,8.97,9.03,8.96,9.04,51116.00,Alphavantage
2010-11-19,9.08,9.14,9.08,9.20,376000.00,Alphavantage
2010-11-22,9.19,9.23,9.19,9.22,351200.00,Alphavantage
2010-11-23,9.03,9.03,8.96,8.97,51700.00,Alphavantage
2010-11-24,9.08,9.15,9.08,9.08,0.00,Alphavantage
2010-11-25,9.15,9.15,9.12,9.09,50703.00,Alphavantage
2010-11-26,8.94,9.00,8.94,8.96,25215.00,Alphavantage
2010-11-29,8.96,8.96,8.96,8.89,1459.00,Alphavantage
2010-11-30,8.80,8.80,8.61,8.59,151000.00,Alphavantage
2010-12-01,8.82,8.96,8.82,8.91,56032.00,Alphavantage
2010-12-02,9.15,9.15,9.15,9.16,25000.00,Alphavantage
2010-12-03,9.09,9.09,8.98,8.97,53126.00,Alphavantage
2010-12-06,9.11,9.11,9.11,9.10,10633.00,Alphavantage
2010-12-07,9.00,9.06,9.00,9.05,740227.00,Alphavantage
2010-12-08,9.12,9.15,9.08,9.11,23909.00,Alphavantage
2010-12-09,9.00,9.03,9.00,9.03,21050.00,Alphavantage
2010-12-10,8.85,8.86,8.85,8.91,12550.00,Alphavantage
2010-12-13,8.85,8.87,8.75,8.76,11410.00,Alphavantage
2010-12-14,8.78,8.78,8.78,8.80,20050.00,Alphavantage
2010-12-15,8.69,8.82,8.67,8.82,32430.00,Alphavantage
2010-12-16,8.69,8.82,8.67,8.55,0.00,Alphavantage
2010-12-17,8.56,8.68,8.56,8.65,11955.00,Alphavantage
2010-12-20,8.61,8.70,8.59,8.59,132100.00,Alphavantage
2010-12-21,8.78,8.80,8.78,8.83,11496.00,Alphavantage
2010-12-22,8.80,8.80,8.80,8.85,260.00,Alphavantage
2010-12-23,8.80,8.80,8.80,8.72,2245.00,Alphavantage
2010-12-24,8.67,8.78,8.67,8.67,0.00,Alphavantage
2010-12-29,9.09,9.09,8.96,9.01,2750.00,Alphavantage
2010-12-30,9.06,9.06,9.06,9.02,910.00,Alphavantage
2010-12-31,9.01,9.01,9.01,8.93,50.00,Alphavantage
2011-01-04,9.00,9.01,9.00,9.02,810.00,Alphavantage
2011-01-05,9.18,9.34,9.15,9.34,259839.00,Alphavantage
2011-01-06,9.04,9.12,9.02,9.09,114077.00,Alphavantage
2011-01-07,8.69,8.73,8.65,8.64,116000.00,Alphavantage
2011-01-10,8.62,8.62,8.15,8.18,141409.00,Alphavantage
2011-01-11,8.10,8.11,8.10,8.11,12157.00,Alphavantage
2011-01-12,8.35,8.44,8.34,8.39,140259.00,Alphavantage
2011-01-13,8.35,8.37,8.27,8.27,177780.00,Alphavantage
2011-01-14,8.31,8.31,8.31,8.31,0.00,Alphavantage
2011-01-17,8.13,8.13,8.11,8.15,10018.00,Alphavantage
2011-01-18,8.18,8.18,8.18,8.18,25.00,Alphavantage
2011-01-19,8.25,8.25,8.09,8.04,10325.00,Alphavantage
2011-01-20,7.93,7.95,7.88,7.90,178166.00,Alphavantage
2011-01-21,7.93,7.95,7.88,7.68,0.00,Alphavantage
2011-01-24,7.66,7.66,7.66,7.67,10000.00,Alphavantage
2011-01-25,7.97,8.04,7.93,7.95,102755.00,Alphavantage
2011-01-26,8.17,8.23,8.17,8.20,42356.00,Alphavantage
2011-01-27,8.19,8.19,8.15,8.20,36034.00,Alphavantage
2011-01-28,8.15,8.18,8.09,8.04,80700.00,Alphavantage
2011-01-31,7.91,7.91,7.84,7.86,16260.00,Alphavantage
2011-02-01,7.60,7.93,7.60,7.88,52501.00,Alphavantage
2011-02-02,7.97,7.97,7.97,7.95,3612.00,Alphavantage
2011-02-03,7.94,7.94,7.92,7.95,50000.00,Alphavantage
2011-02-04,8.13,8.13,8.06,8.09,1146.00,Alphavantage
2011-02-07,8.15,8.17,8.15,8.15,8097.00,Alphavantage
2011-02-08,8.03,8.03,8.03,8.06,10000.00,Alphavantage
2011-02-09,7.91,7.96,7.89,7.92,60430.00,Alphavantage
2011-02-10,7.83,7.83,7.76,7.79,82930.00,Alphavantage
2011-02-11,7.97,7.97,7.97,7.97,0.00,Alphavantage
2011-02-14,8.03,8.03,8.02,7.97,2600.00,Alphavantage
2011-02-15,7.94,7.94,7.94,7.94,0.00,Alphavantage
2011-02-16,8.01,8.01,8.01,8.01,10000.00,Alphavantage
2011-02-17,8.06,8.06,8.01,8.02,10750.00,Alphavantage
2011-02-18,8.21,8.21,8.21,8.21,0.00,Alphavantage
2011-02-21,8.28,8.28,8.20,8.11,4145.00,Alphavantage
2011-02-22,8.14,8.14,8.14,8.14,0.00,Alphavantage
2011-02-23,8.11,8.11,8.10,8.12,20000.00,Alphavantage
2011-02-24,8.05,8.12,8.05,8.10,10400.00,Alphavantage
2011-02-25,8.14,8.14,8.14,8.14,0.00,Alphavantage
2011-02-28,8.19,8.19,8.19,8.19,0.00,Alphavantage
2011-03-01,8.16,8.16,8.16,8.16,0.00,Alphavantage
2011-03-02,8.24,8.25,8.24,8.22,10500.00,Alphavantage
2011-03-03,8.33,8.33,8.33,8.35,120.00,Alphavantage
2011-03-04,8.33,8.38,7.08,8.38,20106.00,Alphavantage
2011-03-07,8.49,8.49,8.49,8.49,0.00,Alphavantage
2011-03-08,8.56,8.62,8.56,8.62,42095.00,Alphavantage
2011-03-09,8.61,8.61,8.61,8.61,0.00,Alphavantage
2011-03-10,8.62,8.62,8.56,8.65,1250.00,Alphavantage
2011-03-11,8.48,8.53,8.48,8.47,81050.00,Alphavantage
2011-05-16,9.33,9.41,9.32,9.38,40000.00,Alphavantage
2011-05-17,9.36,9.36,9.36,9.27,100.00,Alphavantage
2011-05-18,9.50,9.51,9.50,9.53,12520.00,Alphavantage
2011-05-19,9.61,9.61,9.58,9.56,12473.00,Alphavantage
2011-05-20,9.59,9.60,9.55,9.55,39400.00,Alphavantage
2011-05-23,9.38,9.38,9.30,9.30,30751.00,Alphavantage
2011-05-24,9.30,9.31,9.29,9.28,13802.00,Alphavantage
2011-05-25,9.24,9.24,9.24,9.27,10000.00,Alphavantage
2011-05-26,9.31,9.32,9.28,9.27,31800.00,Alphavantage
2011-05-27,9.30,9.30,9.30,9.30,0.00,Alphavantage
2011-05-31,9.31,9.31,9.28,9.31,5100.00,Alphavantage
2011-06-01,9.35,9.38,9.33,9.34,103150.00,Alphavantage
2011-06-02,9.27,9.32,9.26,9.30,80050.00,Alphavantage
2011-06-03,9.35,9.42,9.35,9.39,10350.00,Alphavantage
2011-06-06,9.39,9.46,9.39,9.44,56400.00,Alphavantage
2011-06-07,9.35,9.41,9.34,9.39,38200.00,Alphavantage
2011-06-08,9.36,9.36,9.35,9.37,40000.00,Alphavantage
2011-06-09,9.26,9.32,9.26,9.37,25610.00,Alphavantage
2011-06-10,9.28,9.28,9.28,9.28,0.00,Alphavantage
2011-06-13,9.20,9.22,9.19,9.21,61172.00,Alphavantage
2011-06-14,9.21,9.30,9.18,9.29,103300.00,Alphavantage
2011-06-15,9.30,9.35,9.28,9.34,90200.00,Alphavantage
2011-06-16,9.24,9.25,9.20,9.27,91450.00,Alphavantage
2011-06-17,9.19,9.28,9.17,9.22,183926.00,Alphavantage
2011-06-20,9.20,9.21,9.13,9.24,61400.00,Alphavantage
2011-06-21,9.26,9.33,9.26,9.38,93050.00,Alphavantage
2011-06-22,9.31,9.49,9.31,9.45,93189.00,Alphavantage
2011-06-23,9.44,9.45,9.44,9.44,20000.00,Alphavantage
2011-06-24,9.58,9.59,9.50,9.52,91640.00,Alphavantage
2011-06-27,9.53,9.54,9.52,9.51,22410.00,Alphavantage
2011-06-28,9.57,9.57,9.57,9.59,10000.00,Alphavantage
2011-06-29,9.65,9.73,9.64,9.68,197680.00,Alphavantage
2011-06-30,9.68,9.82,9.63,9.80,124409.00,Alphavantage
2011-07-01,9.88,9.95,9.88,9.98,11320.00,Alphavantage
2011-07-04,9.94,10.06,9.94,10.05,21524.00,Alphavantage
2011-07-05,9.94,9.94,9.89,9.91,18500.00,Alphavantage
2011-07-06,9.93,9.95,9.84,9.87,62858.00,Alphavantage
2011-07-07,9.99,10.05,9.92,10.04,28199.00,Alphavantage
2011-07-08,10.09,10.09,10.05,10.05,30000.00,Alphavantage
2011-07-11,10.17,10.17,10.12,10.12,35000.00,Alphavantage
2011-07-12,10.08,10.15,10.03,10.07,37345.00,Alphavantage
2011-07-13,10.12,10.18,10.09,10.11,49549.00,Alphavantage
2011-07-14,10.00,10.06,10.00,10.10,108550.00,Alphavantage
2011-07-15,10.10,10.18,10.10,10.15,42999.00,Alphavantage
2011-07-18,10.13,10.16,10.12,10.14,55354.00,Alphavantage
2011-07-19,10.06,10.06,10.04,10.11,4932.00,Alphavantage
2011-07-20,10.09,10.09,10.09,10.11,100.00,Alphavantage
2011-07-21,10.18,10.18,10.13,10.20,750.00,Alphavantage
2011-07-22,10.19,10.19,10.19,10.18,10000.00,Alphavantage
2011-07-25,10.16,10.18,10.13,10.19,108450.00,Alphavantage
2011-07-26,10.26,10.29,10.26,10.26,16300.00,Alphavantage
2011-07-27,10.39,10.39,10.39,10.38,10000.00,Alphavantage
2011-07-28,10.27,10.36,10.27,10.36,31220.00,Alphavantage
2011-07-29,10.22,10.31,10.18,10.27,97860.00,Alphavantage
2011-08-01,10.45,10.50,10.24,10.45,38630.00,Alphavantage
2011-08-02,10.55,10.57,10.50,10.47,61460.00,Alphavantage
2011-08-03,10.42,10.42,10.18,10.25,151116.00,Alphavantage
2011-08-04,10.26,10.26,10.26,10.05,14619.00,Alphavantage
2011-08-05,9.70,9.80,9.48,9.59,142135.00,Alphavantage
2011-08-08,9.40,9.51,9.29,9.34,53399.00,Alphavantage
2011-08-09,9.43,9.51,9.15,9.38,363347.00,Alphavantage
2011-08-10,9.55,9.81,9.37,9.37,245994.00,Alphavantage
2011-08-11,9.63,9.86,9.44,9.81,289199.00,Alphavantage
2011-08-12,9.68,9.76,9.57,9.77,216423.00,Alphavantage
2011-08-15,9.79,9.79,9.79,9.77,20648.00,Alphavantage
2011-08-16,9.84,9.84,9.72,9.79,37450.00,Alphavantage
2011-08-17,9.70,9.82,9.70,9.73,155901.00,Alphavantage
2011-08-18,9.81,9.81,9.60,9.62,190843.00,Alphavantage
2011-08-19,9.36,9.44,9.29,9.40,124982.00,Alphavantage
2011-08-22,9.20,9.42,9.20,9.32,53050.00,Alphavantage
2011-08-23,9.44,9.44,9.40,9.41,11988.00,Alphavantage
2011-08-24,9.45,9.46,9.36,9.47,27384.00,Alphavantage
2011-08-25,9.32,9.35,9.26,9.32,848.00,Alphavantage
2011-08-26,9.40,9.52,9.35,9.46,34681.00,Alphavantage
2011-08-30,9.67,9.71,9.55,9.68,73086.00,Alphavantage
2011-08-31,9.55,9.81,9.55,9.82,71626.00,Alphavantage
2011-09-01,9.83,9.87,9.72,9.95,40950.00,Alphavantage
2011-09-02,9.75,9.80,9.64,9.68,42046.00,Alphavantage
2011-09-05,9.66,9.70,9.56,9.57,56200.00,Alphavantage
2011-09-06,9.70,9.70,9.64,9.68,92000.00,Alphavantage
2011-09-07,9.96,10.01,9.96,10.18,10400.00,Alphavantage
2011-09-08,10.03,10.03,10.03,10.00,56.00,Alphavantage
2011-09-09,9.87,9.87,9.84,9.84,3300.00,Alphavantage
2011-09-12,9.75,9.77,9.74,9.74,30546.00,Alphavantage
2011-09-13,9.72,9.72,9.64,9.68,72430.00,Alphavantage
2011-09-14,9.50,9.50,9.17,9.32,193340.00,Alphavantage
2011-09-15,9.04,9.21,9.04,9.20,30000.00,Alphavantage
2011-09-16,9.44,9.45,9.43,9.38,11060.00,Alphavantage
2011-09-19,9.10,9.14,9.04,9.04,53720.00,Alphavantage
2011-09-20,9.14,9.37,9.14,9.13,200.00,Alphavantage
2011-09-21,8.92,8.94,8.83,8.60,154699.00,Alphavantage
2011-09-22,8.25,8.31,7.82,7.88,193737.00,Alphavantage
2011-09-23,8.43,8.44,8.00,8.11,143751.00,Alphavantage
2011-09-26,7.72,7.96,7.70,7.82,113368.00,Alphavantage
2011-09-27,8.53,8.64,8.50,8.63,16372.00,Alphavantage
2011-09-28,8.60,8.64,8.54,8.60,74929.00,Alphavantage
2011-09-29,8.69,8.82,8.64,8.70,51034.00,Alphavantage
2011-09-30,8.80,8.80,8.64,8.65,116694.00,Alphavantage
2011-10-03,8.27,8.27,8.13,8.04,92413.00,Alphavantage
2011-10-04,8.11,8.11,7.80,7.75,55700.00,Alphavantage
2011-10-05,8.06,8.06,8.05,8.18,20326.00,Alphavantage
2011-10-06,8.56,8.57,8.46,8.55,31818.00,Alphavantage
2011-10-07,8.59,8.59,8.48,8.41,17350.00,Alphavantage
2011-10-10,8.51,8.58,8.51,8.59,20164.00,Alphavantage
2011-10-11,8.69,8.77,8.69,8.79,5960.00,Alphavantage
2011-10-12,8.97,9.10,8.96,9.17,5976.00,Alphavantage
2011-10-13,9.26,9.26,9.14,9.12,1516.00,Alphavantage
2011-10-14,9.21,9.21,9.21,9.21,0.00,Alphavantage
2011-10-17,9.25,9.41,9.05,9.10,56150.00,Alphavantage
2011-10-18,9.03,9.10,8.98,9.09,77250.00,Alphavantage
2011-10-19,9.26,9.26,9.26,9.26,0.00,Alphavantage
2011-10-20,9.07,9.09,8.95,9.00,18386.00,Alphavantage
2011-10-21,9.07,9.07,9.07,9.06,10000.00,Alphavantage
2011-10-24,9.13,9.13,9.13,9.39,5050.00,Alphavantage
2011-10-25,9.25,9.25,9.25,9.24,5000.00,Alphavantage
2011-10-26,9.30,9.30,9.30,9.30,0.00,Alphavantage
2011-10-27,9.45,9.68,9.45,9.60,26286.00,Alphavantage
2011-10-28,9.58,9.58,9.58,9.58,0.00,Alphavantage
2011-10-31,9.35,9.35,9.35,9.31,3000.00,Alphavantage
2011-11-01,9.19,9.19,8.93,8.97,45494.00,Alphavantage
2011-11-02,9.26,9.26,9.26,9.26,6000.00,Alphavantage
2011-11-03,9.13,9.13,9.13,9.29,700.00,Alphavantage
2011-11-04,9.32,9.32,9.26,9.32,35050.00,Alphavantage
2011-11-07,9.36,9.36,9.36,9.36,0.00,Alphavantage
2011-11-08,9.40,9.40,9.40,9.40,0.00,Alphavantage
2011-11-09,9.46,9.46,9.42,9.43,25250.00,Alphavantage
2011-11-10,9.41,9.41,9.41,9.41,0.00,Alphavantage
2011-11-11,9.43,9.43,9.32,9.46,14101.00,Alphavantage
2011-11-14,9.49,9.58,9.42,9.58,123952.00,Alphavantage
2011-11-15,9.45,9.50,9.39,9.48,262025.00,Alphavantage
2011-11-16,9.52,9.52,9.52,9.51,10000.00,Alphavantage
2011-11-17,9.37,9.37,9.30,9.30,15150.00,Alphavantage
2011-11-18,9.20,9.20,9.20,9.17,108.00,Alphavantage
2011-11-21,9.06,9.06,8.95,8.87,490.00,Alphavantage
2011-11-22,9.12,9.14,9.12,8.94,10253.00,Alphavantage
2011-11-23,8.89,8.89,8.89,8.89,0.00,Alphavantage
2011-11-24,9.15,9.15,9.07,9.10,20100.00,Alphavantage
2011-11-25,8.86,8.90,8.86,8.90,70400.00,Alphavantage
2011-11-28,8.88,8.88,8.77,8.87,5300.00,Alphavantage
2011-11-29,9.03,9.03,9.03,9.05,15050.00,Alphavantage
2011-11-30,8.99,9.34,8.99,9.35,23416.00,Alphavantage
2011-12-01,9.38,9.38,9.35,9.32,26118.00,Alphavantage
2011-12-02,9.30,9.33,9.21,9.34,146515.00,Alphavantage
2011-12-05,9.33,9.43,9.31,9.39,16059.00,Alphavantage
2011-12-06,9.29,9.29,9.29,9.29,0.00,Alphavantage
2011-12-07,9.30,9.30,9.30,9.27,5000.00,Alphavantage
2011-12-08,9.30,9.31,9.29,9.18,10636.00,Alphavantage
2011-12-09,9.27,9.32,9.17,9.35,28785.00,Alphavantage
2011-12-12,9.38,9.40,9.33,9.21,5709.00,Alphavantage
2011-12-13,9.29,9.29,9.25,9.20,3364.00,Alphavantage
2011-12-14,9.19,9.20,9.04,9.06,10752.00,Alphavantage
2011-12-15,8.95,9.07,8.95,9.01,99579.00,Alphavantage
2011-12-16,9.28,9.33,9.26,9.34,13041.00,Alphavantage
2011-12-19,9.29,9.36,9.29,9.22,1577.00,Alphavantage
2011-12-20,9.15,9.24,9.15,9.27,31950.00,Alphavantage
2011-12-21,9.22,9.22,9.20,9.14,15050.00,Alphavantage
2011-12-22,9.32,9.32,9.32,9.32,0.00,Alphavantage
2011-12-23,9.25,9.30,9.25,9.27,5156.00,Alphavantage
2011-12-28,9.11,9.20,9.11,9.21,60600.00,Alphavantage
2011-12-29,9.37,9.43,9.37,9.47,81000.00,Alphavantage
2011-12-30,9.48,9.48,9.48,9.41,5050.00,Alphavantage
2012-01-03,9.46,9.53,9.46,9.49,511.00,Alphavantage
2012-01-04,9.56,9.56,9.56,9.56,0.00,Alphavantage
2012-01-05,9.55,9.55,9.55,9.65,5050.00,Alphavantage
2012-01-06,9.58,9.60,9.55,9.55,6513.00,Alphavantage
2012-01-09,9.47,9.58,9.47,9.56,10493.00,Alphavantage
2012-01-10,9.69,9.78,9.69,9.79,4708.00,Alphavantage
2012-01-11,9.69,9.69,9.54,9.66,360.00,Alphavantage
2012-01-12,9.68,9.69,9.68,9.66,10200.00,Alphavantage
2012-01-13,9.64,9.66,9.56,9.65,61190.00,Alphavantage
2012-01-16,9.62,9.62,9.61,9.67,2440.00,Alphavantage
2012-01-17,9.75,9.75,9.75,9.75,0.00,Alphavantage
2012-01-18,9.90,9.95,9.90,9.98,14000.00,Alphavantage
2012-01-19,10.05,10.16,10.01,10.10,97973.00,Alphavantage
2012-01-20,10.07,10.07,9.95,9.95,80682.00,Alphavantage
2012-01-23,9.99,10.20,9.99,10.14,2725.00,Alphavantage
2012-01-24,10.03,10.03,9.96,10.04,45224.00,Alphavantage
2012-01-25,9.76,9.82,9.68,9.81,37148.00,Alphavantage
2012-01-26,9.96,10.02,9.96,9.91,2067.00,Alphavantage
2012-01-27,9.92,9.92,9.83,9.86,5561.00,Alphavantage
2012-01-30,9.53,9.62,9.53,9.62,1065.00,Alphavantage
2012-01-31,9.74,9.74,9.61,9.59,1602.00,Alphavantage
2012-02-01,9.59,9.68,9.59,9.66,238596.00,Alphavantage
2012-02-02,9.79,9.79,9.79,9.80,305.00,Alphavantage
2012-02-03,9.85,9.93,9.67,9.90,32661.00,Alphavantage
2012-02-06,9.79,9.79,9.58,9.62,1012.00,Alphavantage
2012-02-07,9.44,9.58,9.44,9.51,1850.00,Alphavantage
2012-02-08,9.56,9.68,9.56,9.60,11461.00,Alphavantage
2012-02-09,9.59,9.59,9.52,9.52,9510.00,Alphavantage
2012-02-10,9.35,9.35,9.32,9.29,113.00,Alphavantage
2012-02-13,9.41,9.52,9.49,9.43,1309.00,Alphavantage
2012-02-14,9.52,9.52,9.49,9.46,14859.00,Alphavantage
2012-02-15,9.51,9.51,9.46,9.41,500.00,Alphavantage
2012-02-16,9.37,9.37,9.31,9.31,1172.00,Alphavantage
2012-02-17,9.39,9.45,9.37,9.46,13292.00,Alphavantage
2012-02-20,9.39,9.39,9.39,9.53,180.00,Alphavantage
2012-02-21,9.45,9.54,9.45,9.52,8334.00,Alphavantage
2012-02-22,9.52,9.54,9.48,9.48,15188.00,Alphavantage
2012-02-23,9.35,9.35,9.35,9.35,106.00,Alphavantage
2012-02-24,9.08,9.09,9.04,9.02,28727.00,Alphavantage
2012-02-27,8.88,8.88,8.79,8.92,9907.00,Alphavantage
2012-02-28,9.12,9.12,9.10,9.06,2300.00,Alphavantage
2012-02-29,9.29,9.37,9.29,9.27,2947.00,Alphavantage
2012-03-01,9.26,9.30,9.26,9.21,2051.00,Alphavantage
2012-03-02,9.39,9.46,9.39,9.36,1000.00,Alphavantage
2012-03-05,9.34,9.34,9.30,9.23,5284.00,Alphavantage
2012-03-06,9.19,9.19,9.10,9.14,2514.00,Alphavantage
2012-03-07,9.18,9.26,9.17,9.19,208734.00,Alphavantage
2012-03-08,9.21,9.34,9.21,9.23,20202.00,Alphavantage
2012-03-09,9.33,9.33,9.28,9.38,12100.00,Alphavantage
2012-03-12,9.34,9.39,9.34,9.30,10022.00,Alphavantage
2012-03-13,9.41,9.41,9.41,9.38,50.00,Alphavantage
2012-03-14,9.54,9.54,9.54,9.51,142.00,Alphavantage
