date,open,high,low,close,volume
2018-10-01,50.419998,50.419998,50.419998,50.419998,0,null
2018-11-01,50.419998,50.419998,50.419998,50.419998,0,null
2018-12-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-01-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-02-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-03-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-04-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-05-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-06-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-07-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-08-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-09-01,50.419998,50.419998,50.419998,50.419998,0,null
2019-09-12,3778.0,3781.0,3778.0,3753.0,54,null
