date,open,high,low,close,volume
2008-01-02,2250.00,2250.00,2250.00,2196.38,533.00,Alphavantage
2008-01-03,2201.63,2201.63,2201.63,2201.63,0.00,Alphavantage
2008-01-04,2172.00,2172.00,2172.00,2172.00,0.00,Alphavantage
2008-01-07,2168.38,2168.38,2168.38,2168.38,0.00,Alphavantage
2008-01-08,2185.00,2185.00,2185.00,2192.25,600.00,Alphavantage
2008-01-09,2198.38,2198.38,2198.38,2198.38,0.00,Alphavantage
2008-01-10,2196.00,2196.00,2196.00,2196.00,0.00,Alphavantage
2008-01-11,2210.75,2210.75,2210.75,2207.13,200.00,Alphavantage
2008-01-14,2182.00,2182.00,2182.00,2206.38,390.00,Alphavantage
2008-01-15,2168.00,2168.00,2108.00,2122.38,1020.00,Alphavantage
2008-01-16,2109.25,2109.25,2109.25,2074.63,966.00,Alphavantage
2008-01-17,2053.00,2053.00,2053.00,2045.88,2046.00,Alphavantage
2008-01-18,2053.00,2053.00,2019.13,2019.13,0.00,Alphavantage
2008-01-21,1900.00,1900.00,1900.00,1888.13,4080.00,Alphavantage
2008-01-22,1839.00,1839.00,1839.00,1935.50,4432.00,Alphavantage
2008-01-23,1872.50,1872.50,1872.50,1877.25,2432.00,Alphavantage
2008-01-24,1968.50,1968.50,1952.50,1963.13,2767.00,Alphavantage
2008-01-25,2007.75,2009.50,1988.75,2009.50,10858.00,Alphavantage
2008-01-28,1946.50,1946.50,1946.50,1951.13,1369.00,Alphavantage
2008-01-29,1965.75,1965.75,1965.75,1981.25,2719.00,Alphavantage
2008-01-30,1938.50,1944.75,1938.00,1936.75,15619.00,Alphavantage
2008-01-31,1945.00,1945.00,1945.00,1931.00,14970.00,Alphavantage
2008-02-01,1973.50,1978.75,1973.50,1978.75,4230.00,Alphavantage
2008-02-04,2045.00,2051.50,2045.00,2045.13,1500.00,Alphavantage
2008-02-05,2058.00,2058.00,2058.00,1999.88,400.00,Alphavantage
2008-02-06,2002.50,2008.25,2002.50,2017.50,8250.00,Alphavantage
2008-02-07,2001.50,2001.50,2001.50,1972.50,8049.00,Alphavantage
2008-02-08,1995.00,1995.00,1995.00,1979.63,2163.00,Alphavantage
2008-02-11,1951.25,1951.25,1950.50,1952.50,3786.00,Alphavantage
2008-02-12,2023.25,2038.00,2023.25,2023.25,0.00,Alphavantage
2008-02-13,2021.75,2021.75,2021.75,2024.63,1116.00,Alphavantage
2008-02-14,2034.25,2034.25,2034.25,2063.88,1118.00,Alphavantage
2008-02-15,2044.00,2044.00,2044.00,2044.00,0.00,Alphavantage
2008-02-18,2090.00,2090.00,2090.00,2090.00,0.00,Alphavantage
2008-02-19,2111.25,2111.25,2089.25,2095.88,6368.00,Alphavantage
2008-02-20,2068.00,2068.00,2068.00,2078.38,6400.00,Alphavantage
2008-02-21,2084.75,2084.75,2084.75,2089.63,7369.00,Alphavantage
2008-02-22,2053.25,2053.25,2053.25,2051.63,1719.00,Alphavantage
2008-02-25,2095.50,2095.50,2095.50,2092.00,725.00,Alphavantage
2008-02-26,2102.00,2102.00,2102.00,2123.88,2075.00,Alphavantage
2008-02-27,2130.50,2130.50,2130.50,2130.50,0.00,Alphavantage
2008-02-28,2111.50,2111.50,2111.50,2111.50,0.00,Alphavantage
2008-02-29,2069.00,2069.00,2069.00,2067.00,2125.00,Alphavantage
2008-03-03,2038.00,2038.00,2038.00,2053.13,561.00,Alphavantage
2008-03-04,2031.75,2031.75,2031.75,2008.75,266.00,Alphavantage
2008-03-05,2045.88,2045.88,2045.88,2045.88,0.00,Alphavantage
2008-03-06,2041.50,2041.50,2041.50,2021.50,310.00,Alphavantage
2008-03-07,1971.00,1987.25,1958.00,1971.13,11482.00,Alphavantage
2008-03-10,1929.75,1929.75,1929.75,1932.13,1159.00,Alphavantage
2008-03-11,1978.50,1978.50,1978.50,1978.50,0.00,Alphavantage
2008-03-12,1987.50,2000.50,1987.50,1993.50,80.00,Alphavantage
2008-03-13,1913.75,1913.75,1913.75,1924.88,122.00,Alphavantage
2008-03-14,1902.25,1902.25,1902.25,1899.63,2042.00,Alphavantage
2008-03-17,1848.00,1848.00,1848.00,1836.88,1107.00,Alphavantage
2008-03-18,1871.50,1889.50,1871.50,1903.13,4342.00,Alphavantage
2008-03-19,1908.75,1912.00,1908.75,1901.00,5107.00,Alphavantage
2008-03-20,1882.75,1882.75,1868.00,1859.13,3553.00,Alphavantage
2008-03-25,1976.00,1984.50,1976.00,1986.88,11662.00,Alphavantage
2008-03-26,1983.00,1983.00,1983.00,1963.25,10932.00,Alphavantage
2008-03-27,1962.25,1972.50,1962.25,1971.25,8508.00,Alphavantage
2008-03-28,1994.25,1994.25,1994.25,2003.75,2016.00,Alphavantage
2008-03-31,1974.75,1974.75,1974.75,2002.00,2056.00,Alphavantage
2008-04-01,2018.75,2033.75,2001.25,2030.88,7032.00,Alphavantage
2008-04-02,2061.63,2061.63,2061.63,2061.63,0.00,Alphavantage
2008-04-03,2056.25,2060.00,2033.50,2028.50,31286.00,Alphavantage
2008-04-04,2052.50,2052.50,2051.25,2062.00,7810.00,Alphavantage
2008-04-07,2098.50,2098.50,2098.50,2098.50,0.00,Alphavantage
2008-04-08,2093.75,2093.75,2093.75,2103.88,826.00,Alphavantage
2008-04-09,2102.00,2102.00,2100.00,2111.25,3422.00,Alphavantage
2008-04-10,2109.75,2109.75,2109.75,2104.50,3006.00,Alphavantage
2008-04-11,2096.75,2102.00,2087.00,2093.75,9788.00,Alphavantage
2008-04-14,2044.00,2044.00,2044.00,2032.13,9002.00,Alphavantage
2008-04-15,2074.25,2074.25,2074.25,2070.63,9001.00,Alphavantage
2008-04-16,2086.00,2099.75,2086.00,2110.63,4092.00,Alphavantage
2008-04-17,2092.50,2092.50,2092.50,2092.50,0.00,Alphavantage
2008-04-18,2120.75,2121.75,2120.50,2120.50,3713.00,Alphavantage
2008-04-21,2119.75,2120.75,2119.75,2120.00,8700.00,Alphavantage
