date,open,high,low,close,volume
2011-05-25,1.25,1.25,1.23,1.23,53100.00,Alphavantage
2011-05-26,1.28,1.28,1.28,1.28,50100.00,Alphavantage
2011-06-21,1.22,1.22,1.22,1.22,0.00,Alphavantage
2011-06-22,1.24,1.24,1.24,1.24,0.00,Alphavantage
2011-06-24,1.25,1.25,1.25,1.25,0.00,Alphavantage
2011-06-27,1.26,1.26,1.26,1.26,0.00,Alphavantage
2011-06-28,1.25,1.25,1.25,1.25,0.00,Alphavantage
2011-06-29,1.25,1.27,1.25,1.27,200000.00,Alphavantage
2011-06-30,1.25,1.25,1.25,1.25,0.00,Alphavantage
2011-07-01,1.26,1.27,1.25,1.27,0.00,Alphavantage
2011-07-04,1.29,1.29,1.29,1.29,0.00,Alphavantage
2011-07-05,1.31,1.31,1.31,1.31,0.00,Alphavantage
2011-07-06,1.32,1.32,1.32,1.32,0.00,Alphavantage
2011-07-07,1.31,1.31,1.31,1.31,0.00,Alphavantage
2011-07-08,1.30,1.30,1.30,1.30,0.00,Alphavantage
2011-07-11,1.31,1.31,1.31,1.31,0.00,Alphavantage
2011-07-12,1.30,1.30,1.30,1.30,0.00,Alphavantage
2011-07-13,1.28,1.28,1.28,1.28,0.00,Alphavantage
2011-07-14,1.30,1.30,1.30,1.30,0.00,Alphavantage
2011-07-15,1.31,1.31,1.31,1.31,0.00,Alphavantage
2011-07-18,1.32,1.32,1.32,1.32,0.00,Alphavantage
2011-07-19,1.32,1.32,1.32,1.32,0.00,Alphavantage
2011-07-20,1.33,1.33,1.33,1.33,0.00,Alphavantage
2011-07-21,1.34,1.34,1.34,1.34,0.00,Alphavantage
2011-07-22,1.34,1.36,1.31,1.36,300000.00,Alphavantage
2011-07-25,1.34,1.36,1.34,1.36,100000.00,Alphavantage
2011-07-26,1.35,1.35,1.35,1.35,0.00,Alphavantage
2011-07-27,1.34,1.34,1.34,1.34,0.00,Alphavantage
2011-07-28,1.34,1.37,1.34,1.37,100000.00,Alphavantage
2011-07-29,1.35,1.35,1.35,1.35,0.00,Alphavantage
2011-08-01,1.36,1.36,1.36,1.36,0.00,Alphavantage
2011-08-02,1.36,1.39,1.36,1.39,200300.00,Alphavantage
2011-08-03,1.37,1.37,1.37,1.37,0.00,Alphavantage
2011-08-04,1.35,1.35,1.35,1.35,0.00,Alphavantage
2011-08-05,1.27,1.34,1.26,1.32,615000.00,Alphavantage
2011-08-08,1.34,1.34,1.28,1.29,120000.00,Alphavantage
2011-08-09,1.28,1.28,1.28,1.28,0.00,Alphavantage
2011-08-10,1.25,1.31,1.25,1.28,245000.00,Alphavantage
2011-08-11,1.29,1.29,1.27,1.27,20000.00,Alphavantage
2011-08-12,1.28,1.28,1.28,1.28,0.00,Alphavantage
2011-08-15,82.35,82.35,82.35,82.35,0.00,Alphavantage
2011-08-16,1.28,1.28,1.28,1.28,0.00,Alphavantage
2011-08-17,1.27,1.30,1.27,1.30,80000.00,Alphavantage
2011-08-18,1.26,1.31,1.26,1.31,80000.00,Alphavantage
2011-08-19,1.31,1.31,1.29,1.29,80000.00,Alphavantage
2011-08-22,1.30,1.30,1.30,1.30,80000.00,Alphavantage
2011-08-23,1.26,1.26,1.26,1.26,0.00,Alphavantage
2011-08-24,1.29,1.29,1.29,1.29,0.00,Alphavantage
2011-08-25,1.30,1.31,1.30,1.30,82000.00,Alphavantage
2011-08-26,1.29,1.29,1.29,1.29,0.00,Alphavantage
2011-08-30,78.80,78.80,78.80,78.80,0.00,Alphavantage
2011-08-31,1.30,1.30,1.30,1.30,160000.00,Alphavantage
2011-09-01,1.30,1.30,1.30,1.30,20000.00,Alphavantage
2011-09-02,1.33,1.33,1.30,1.33,230000.00,Alphavantage
2011-09-05,1.33,1.33,1.32,1.32,120000.00,Alphavantage
2011-09-06,1.31,1.31,1.31,1.31,0.00,Alphavantage
2011-09-07,1.28,1.28,1.28,1.28,0.00,Alphavantage
2011-09-08,1.29,1.29,1.29,1.29,50000.00,Alphavantage
2011-09-09,1.32,1.32,1.30,1.32,150000.00,Alphavantage
2011-09-12,1.30,1.30,1.30,1.30,0.00,Alphavantage
2011-09-13,1.29,1.29,1.29,1.29,1000.00,Alphavantage
2011-09-14,1.27,1.27,1.27,1.27,0.00,Alphavantage
2011-09-15,1.26,1.26,1.26,1.26,40000.00,Alphavantage
2011-09-16,1.29,1.29,1.29,1.29,40000.00,Alphavantage
2011-09-19,1.26,1.26,1.26,1.26,0.00,Alphavantage
2011-09-20,1.26,1.26,1.26,1.26,0.00,Alphavantage
2011-09-21,1.24,1.24,1.24,1.24,0.00,Alphavantage
2011-09-22,1.24,1.24,1.20,1.21,382000.00,Alphavantage
2011-09-23,1.20,1.20,1.15,1.15,762000.00,Alphavantage
2011-09-26,1.13,1.13,1.13,1.13,0.00,Alphavantage
2011-09-27,1.10,1.10,1.10,1.10,80000.00,Alphavantage
2011-09-28,1.11,1.17,1.11,1.14,560100.00,Alphavantage
2011-09-29,1.15,1.15,1.12,1.12,240130.00,Alphavantage
2011-09-30,1.15,1.18,1.14,1.17,140000.00,Alphavantage
2011-10-03,1.18,1.18,1.13,1.15,560000.00,Alphavantage
2011-10-04,1.14,1.14,1.10,1.13,961000.00,Alphavantage
2011-10-05,1.11,1.13,1.11,1.11,320100.00,Alphavantage
2011-10-06,1.13,1.14,1.13,1.14,280000.00,Alphavantage
2011-10-07,1.17,1.18,1.16,1.17,1041100.00,Alphavantage
2011-10-10,1.19,1.19,1.18,1.19,405300.00,Alphavantage
2011-10-11,1.23,1.23,1.22,1.22,198900.00,Alphavantage
2011-10-12,1.22,1.22,1.21,1.22,560000.00,Alphavantage
2011-10-13,1.24,1.24,1.23,1.23,325000.00,Alphavantage
2011-10-14,1.23,1.23,1.22,1.23,495000.00,Alphavantage
2011-10-17,1.25,1.27,1.23,1.27,1477000.00,Alphavantage
2011-10-18,1.25,1.25,1.22,1.24,430000.00,Alphavantage
2011-10-19,1.25,1.26,1.23,1.25,1114000.00,Alphavantage
2011-10-20,1.25,1.25,1.23,1.24,770000.00,Alphavantage
2011-10-21,1.25,1.26,1.23,1.25,642900.00,Alphavantage
2011-10-24,1.25,1.25,1.24,1.24,410000.00,Alphavantage
2011-10-25,1.25,1.26,1.25,1.26,187100.00,Alphavantage
2011-10-26,82.25,82.25,82.25,82.25,0.00,Alphavantage
2011-10-27,1.25,1.26,1.24,1.26,290000.00,Alphavantage
2011-10-28,1.30,1.31,1.30,1.30,230000.00,Alphavantage
2011-10-31,1.29,1.29,1.29,1.29,140000.00,Alphavantage
2011-11-01,1.27,1.28,1.27,1.28,150000.00,Alphavantage
2011-11-02,1.28,1.28,1.26,1.26,230000.00,Alphavantage
2011-11-03,1.26,1.26,1.24,1.25,570000.00,Alphavantage
2011-11-04,1.29,1.29,1.26,1.27,560000.00,Alphavantage
2011-11-07,79.20,79.20,79.20,79.20,0.00,Alphavantage
2011-11-08,1.27,1.29,1.26,1.29,230000.00,Alphavantage
2011-11-09,1.29,1.29,1.28,1.28,150000.00,Alphavantage
2011-11-10,1.27,1.27,1.26,1.27,300000.00,Alphavantage
2011-11-11,1.27,1.27,1.26,1.26,525000.00,Alphavantage
2011-11-14,1.29,1.29,1.29,1.29,40000.00,Alphavantage
2011-11-15,1.27,1.29,1.27,1.29,105000.00,Alphavantage
2011-11-16,1.29,1.29,1.29,1.29,140000.00,Alphavantage
2011-11-17,78.45,78.45,78.45,78.45,0.00,Alphavantage
2011-11-18,1.25,1.27,1.25,1.26,151000.00,Alphavantage
2011-11-21,79.30,79.80,79.30,78.70,50000.00,Alphavantage
2011-11-22,79.70,79.70,79.30,78.80,70000.00,Alphavantage
2011-11-23,78.80,78.80,78.80,78.80,0.00,Alphavantage
2011-11-24,78.80,78.80,78.80,78.80,0.00,Alphavantage
2011-11-25,1.21,1.21,1.21,1.21,0.00,Alphavantage
2011-11-28,1.24,1.25,1.24,1.24,120000.00,Alphavantage
2011-11-29,1.21,1.21,1.21,1.21,0.00,Alphavantage
2011-11-30,1.21,1.21,1.21,1.21,0.00,Alphavantage
2011-12-01,1.28,1.28,1.24,1.25,145000.00,Alphavantage
2011-12-02,1.24,1.24,1.24,1.24,0.00,Alphavantage
2011-12-05,1.24,1.24,1.24,1.24,0.00,Alphavantage
2011-12-06,1.24,1.24,1.24,1.24,0.00,Alphavantage
2011-12-07,1.23,1.23,1.23,1.23,0.00,Alphavantage
2011-12-08,1.25,1.25,1.25,1.25,0.00,Alphavantage
2011-12-09,1.24,1.24,1.24,1.24,1000.00,Alphavantage
2011-12-12,1.23,1.23,1.23,1.23,0.00,Alphavantage
2011-12-13,1.24,1.24,1.24,1.24,40000.00,Alphavantage
2011-12-14,1.22,1.22,1.22,1.22,0.00,Alphavantage
2011-12-15,1.21,1.21,1.21,1.21,0.00,Alphavantage
