date,open,high,low,close,volume
2018-10-01,1218.400024,1330.0,1212.199951,1290.199951,2506692,null
2018-11-01,1278.400024,1325.599976,1252.599976,1300.300049,69261,null
2018-12-01,1285.0,1428.800049,1285.0,1373.900024,102423,null
2019-01-01,1373.900024,1410.400024,1263.400024,1268.800049,623694,null
2019-02-01,1278.800049,1284.400024,1189.199951,1189.199951,651321,null
2019-03-01,1187.0,1207.800049,1146.5,1174.199951,598862,null
2019-04-01,1161.199951,1162.800049,1117.0,1110.199951,490225,null
2019-05-01,1107.0,1208.0,13.386,13.518,1546965,null
2019-06-01,1203.400024,1207.800049,1132.400024,1140.800049,1104480,null
2019-07-01,1125.400024,1168.0,1109.400024,1159.599976,4659481,null
2019-08-01,1160.400024,1250.800049,1155.199951,1158.599976,5930932,null
2019-09-01,1159.800049,1171.180054,1112.0,1113.0,783652,null
2019-09-13,1110.0,1110.199951,1096.199951,1097.300049,2210,null
