date,open,high,low,close,volume
2018-10-01,3963.5,3969.0,3498.0,3640.75,306588,null
2018-11-01,3643.0,3711.0,3461.0,3505.5,20076,null
2018-12-01,3567.0,3567.0,3247.0,3328.5,124779,null
2019-01-01,3328.5,3554.5,3325.0,3517.0,118138,null
2019-02-01,3540.929932,3600.25,3488.0,3566.5,250707,null
2019-03-01,3589.5,3688.0,3540.5,3643.5,95596,null
2019-04-01,3667.5,3826.0,3657.5,3803.0,72662,null
2019-05-01,3803.5,3803.5,3638.0,3679.0,119663,null
2019-06-01,3633.0,3837.72998,3633.0,3839.0,97345,null
2019-07-01,3868.0,3946.0,3851.0,3896.0,73952,null
2019-08-01,3910.0,3910.0,3667.570068,3797.5,72208,null
2019-09-01,3822.0,3859.5,3801.0,3858.25,9108,null
2019-09-13,3884.0,3884.0,3884.0,3891.75,65,null
